start,end,size,shape,tags,count
21482,21584,102,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
25778,25877,99,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4
36724,36828,104,primary_chain_no4,BX*Hd|BX91|BXA0|BXQ,4
51440,51548,108,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4
73474,73547,73,variant_chain,BX91|BXBa|BX{,3
77346,77432,86,variant_chain,BX91|BXBa|BX{,3
88126,88231,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
92063,92168,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
103047,103160,113,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
117891,117963,72,primary_chain_no4,BX*Hd|BX91|BXA0,3
141047,141087,40,mixed,BX91|BX{,2
160612,160617,5,mixed,BX91,1
171528,171533,5,mixed,BX91,1
221597,221602,5,mixed,BX91,1
234806,234811,5,mixed,BX91,1
248616,248621,5,mixed,BX91,1
300641,300646,5,mixed,BX91,1
310440,310445,5,mixed,BXQ,1
344886,344923,37,mixed,BX91|BXA0,2
348062,348095,33,mixed,BX91|BXA0,2
357473,357510,37,mixed,BX91|BXA0,2
370497,370541,44,mixed,BXA0|BXU,2
393123,393128,5,mixed,BX{,1
396526,396531,5,mixed,BX{,1
405812,405896,84,mixed,BX91|BXA0|BXI1,3
418385,418478,93,mixed,BX91|BXI1,2
421746,421835,89,mixed,BX91|BXI1,2
430980,430985,5,mixed,BX91,1
453100,453105,5,mixed,BXU,1
464535,464598,63,primary_chain_no4,BX*Hd|BX91|BXA0,3
475862,475977,115,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4
487277,487348,71,primary_chain_no4,BX*Hd|BX91|BXA0,3
509266,509271,5,mixed,BX{,1
512338,512343,5,mixed,BX{,1
520777,520813,36,mixed,BX91|BXA0,2
532590,532678,88,mixed,BX91|BXA0|BXI1,3
545269,545312,43,mixed,BX91|BXA0,2
580996,581001,5,mixed,BX91,1
595030,595066,36,mixed,BX91|BXBa,2
611053,611088,35,mixed,BX91|BXA0,2
650957,650999,42,mixed,BXA0|BXI1,2
665917,665988,71,primary_chain_no4,BX*Hd|BX91|BXA0,3
670313,670423,110,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
682188,682258,70,primary_chain_no4,BX*Hd|BX91|BXA0,3
686459,686571,112,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
707613,707618,5,mixed,BX{,1
712166,712171,5,mixed,BX{,1
724213,724280,67,primary_chain_no4,BX*Hd|BX91|BXA0,3
728631,728698,67,primary_chain_no4,BX*Hd|BX91|BXA0,3
741234,741305,71,mixed,BX91|BXA0|BXU,3
758490,758526,36,mixed,BX91|BXA0,2
784561,784566,5,mixed,BX{,1
800410,800452,42,mixed,BXA0|BXI1,2
804631,804636,5,mixed,BX91,1
815859,815931,72,mixed,BX*Hd|BXBa,2
831944,832015,71,mixed,BX*Hd|BX91|BXU,3
836228,836233,5,mixed,BXA0,1
871194,871199,5,mixed,BX91,1
885513,885518,5,mixed,BXU,1
899795,899867,72,mixed,BX91|BXI1|BXT,3
923765,923770,5,mixed,BX{,1
