offset,kind,text,before_hex,after_hex
4051,partial_path,\TNG\DATAPSM\FONTS\MRALLYE,003c916000f478bc2d7f0468d65e78008c000012,5c544e475c4441544150534d5c464f4e54535c4d52414c4c59450069
4104,full_path,COMMONTEXTURES\MASTERRAL-TGA.GXI,0500006c0022fc30600601030000002bcc000019,434f4d4d4f4e54455854555245535c4d415354455252414c2d544741
4159,partial_path,URSE\SPAIN_W_FLIP\ITALIAN GRASSSW)H,8df42245084000006e00f40abd2401301c01000f,555253455c535041494e5f575f464c49505c4954414c49414e204752
4215,partial_path,SCENE\RACETEST,06696e340249089f00006e005871ac1b2b6c020b,5343454e455c524143455445535488090d5953312e584d4c001ef8e8
4232,fragment,YS1.XML,6c020b5343454e455c524143455445535488090d,5953312e584d4c001ef8e83dda2900006e0000c4ac212bec006c212d
4301,partial_path,FRANCE_S1\NOISE',79ef023f9c1f00006e0024de311c02ac098c1b0c,4652414e43455f53315c4e4f49534527100105ab973f47ba3f00006c
4437,fragment,_SMALL.PSB,1600006c00ec032fcc02bc4976003130904b0004,5f534d414c4c2e5053420069696995bee940153f00006e00ac09379c
4517,partial_path,ND\NEW,4fa8ec47ef1100006e007c6e354e014652645603,4e445c4e45579d1253950032b0140332305f303035cc5705f979d247
4630,partial_path,1\NEU DRYROCK-SAND-RHT)H,6e7045ec3e00006e0014b237ec0a9c08ac450004,315c4e455520445259524f434b2d53414e442d5248542948010669c4
4795,partial_path,1\BIGBARN',010570fb9c469e3300006c007ccd3a8c04fc1106,315c4249474241524e2714010769694a37ca43d72800006d00dc4cfc
4829,partial_path,M\ROOF),694a37ca43d72800006d00dc4cfc3a1c01bc1103,4d5c524f4f462908010669505d583f762600006e00c4d03c0c08bc35
4858,partial_path,_W\EL+,0669505d583f762600006e00c4d03c0c08bc3502,5f575c454c2b0c0105ee74cd3da42900006e00707a370c012b8c1001
