sig8,count
0000010c43fc6585,432
0000010c42542563,324
0000010c42542561,230
0000010c43fc6d91,170
0000010c43fc98e9,163
0000010c43fc9ae9,104
0000010c43fc6f92,101
0000010c43fc6785,96
0000010c43fc7f92,96
0000010c42542562,94
0000010c43fc6f91,90
0000010c4254358d,78
0000010c43fc8192,78
0000010c43fc7d92,73
0000010c43f897b6,66
0000010c43f88fb6,65
0000010c4320c798,64
0000010c425bbf21,61
0000010c423f8880,59
0000010c43f887b6,55
0000010c42768140,53
0000010c423f8d00,53
0000010c4254358f,50
0000010c43fc6f8b,46
0000010c42562541,45
0000010c423f8b00,44
0000010c43f8cfb3,44
0000010c43fc8592,43
0000010c43a0c50e,41
0000010c42483126,41
0000010c4358f50d,41
0000010c423f8780,40
0000010c43fc6791,40
0000010c4320c7d8,40
0000010c43fc9bc4,39
0000010c4350f58d,39
0000010c43d0418e,38
0000010c423f8b80,38
0000010c43fc6f85,38
0000010c427634fa,38
0000010c43f87fb6,37
0000010c425bf618,37
0000010c43f89fb6,35
0000010c43fc96e9,35
0000010c43fc86e9,35
0000010c423fcbc0,34
0000010c423f8900,33
0000010c43d04185,33
0000010c43e831d4,33
0000010c436831f6,33
0000010c425bbf31,33
0000010c4358b1e8,32
0000010c42543d8f,32
0000010c42a87618,31
0000010c437cbdf9,31
0000010c4350a1ec,31
0000010c427ba924,31
0000010c423f8800,30
0000010c42543d86,30
0000010c4358a1a8,30
0000010c43f8cfc6,30
0000010c43f8d7b3,30
0000010c436831b6,30
0000010c423f8c80,29
0000010c4358a1e8,29
0000010c42542bd6,29
0000010c437a9063,29
0000010c427634fb,29
0000010c4350b1ac,28
0000010c43a0c505,28
0000010c42562543,28
0000010c4350f58f,28
0000010c425a3418,27
0000010c42683005,27
0000010c425bbe48,27
0000010c43fc7b92,27
0000010c425bbe5b,27
0000010c43fc9d99,26
0000010c423fc805,26
0000010c425ef721,26
0000010c43a0c20c,26
0000010c42ac6e83,26
0000010c43fc444c,26
0000010c42683146,26
0000010c42683062,25
0000010c43fca132,25
0000010c423f8600,25
0000010c43a0c509,25
0000010c423f8c00,25
0000010c437bf618,25
0000010c4350fd8e,25
0000010c43fc88e9,25
0000010c43fc84e9,25
0000010c423f8881,24
0000010c43a2d50e,24
0000010c423fc985,24
0000010c43fc46d1,24
0000010c4254358e,24
0000010c42543d8e,24
0000010c43f9eb9a,24
0000010c4256350d,24
0000010c0100040f,24
0000010c423f8980,23
0000010c43fc8392,23
0000010c425efff7,23
0000010c42776460,23
0000010c42483198,23
0000010c425bbf20,23
0000010c425ef720,23
0000010c4350fd8f,23
0000010c423f8781,22
0000010c43418303,22
0000010c43a0c50f,22
0000010c43fcc7d4,22
0000010c425bff40,22
0000010c4321f31d,22
0000010c42683142,22
0000010c43a0c507,21
0000010c425ffb6b,21
0000010c43a0820c,21
0000010c43f8a8a9,21
0000010c437ff8f7,21
0000010c425bbfa0,21
0000010c43f8d8aa,21
0000010c425d7bf3,21
0000010c42562741,21
0000010c424831d8,21
0000010c43fc80e9,20
0000010c43d04187,20
0000010c42bdfd86,20
0000010c424866c6,20
0000010c4358f50f,20
0000010c43a0cd0e,19
0000010c423fcfe9,19
0000010c426939d2,19
0000010c423f8d80,19
0000010c425bbfb1,19
0000010c42980272,19
0000010c42a84bdd,19
0000010c425bbfd8,19
0000010c425bbfb0,19
0000010c43e8311e,19
0000010c4258c9e5,19
0000010c4320c50e,19
0000010c4248731f,19
0000010c43a1e3dd,18
0000010c43d8a1bd,18
0000010c43fcba00,18
0000010c43a4d50e,18
0000010c42e828ad,18
0000010c423f8280,18
0000010c423f9100,18
0000010c423f9a80,18
0000010c423fcf65,18
0000010c423fcfa4,18
0000010c4350b1d0,18
0000010c425bd861,18
0000010c43fcc7d6,18
0000010c43f89f53,18
0000010c42770e86,18
0000010c43d0418d,18
0000010c42562542,18
0000010c43fc718b,18
0000010c43fc464c,18
0000010c437cb3ba,17
0000010c43e831c0,17
0000010c43d04184,17
0000010c43903084,17
0000010c425bbf68,17
0000010c423fcfa0,17
0000010c43fc82e9,17
0000010c42d09803,17
0000010c423f8200,17
0000010c425ff8f7,17
0000010c425bbfd0,17
0000010c42a86ec3,17
0000010c4350b1ec,17
0000010c43a08208,17
0000010c425ef731,17
0000010c426831a7,17
0000010c42562740,17
0000010c43763741,17
0000010c43fc87c4,16
0000010c423f9c80,16
0000010c43418ea1,16
0000010c4320c58e,16
0000010c425f6184,16
0000010c4358418f,16
0000010c428449d0,16
0000010c43913030,16
0000010c423f8532,16
0000010c43f415f5,16
0000010c43f83a38,16
0000010c43c80360,16
0000010c437a9043,16
0000010c43aa6080,16
0000010c42ec19fc,16
0000010c425bbe6c,16
0000010c4276c597,16
0000010c425b2593,16
0000010c4276bf80,16
0000010c437cbdfd,16
0000010c43d8a5cf,15
0000010c42768e80,15
0000010c43913006,15
0000010c425bfda8,15
0000010c43743761,15
0000010c43a5d013,15
0000010c4390e03a,15
0000010c43a0c71c,15
0000010c423f9600,15
0000010c423f8a00,15
0000010c423f9206,15
0000010c423f9b80,15
0000010c423fce24,15
0000010c42543a16,15
0000010c437bd0b1,15
0000010c43a0c58d,15
0000010c42a86ec4,15
0000010c423f8c10,15
0000010c43e84c1d,15
0000010c437cbdf2,15
0000010c42a87410,15
0000010c43fc6d8b,15
0000010c425ffdef,15
0000010c429b5fa9,15
0000010c43d0b1bd,14
0000010c437b2d5f,14
0000010c425bfc58,14
0000010c43fcf200,14
0000010c43a0c6a6,14
0000010c42fb2690,14
0000010c4349d425,14
0000010c43d458d2,14
0000010c42f32da2,14
0000010c43d0b19d,14
0000010c423f9f80,14
0000010c423fcd40,14
0000010c423fcea0,14
0000010c42d0437b,14
0000010c42ac7410,14
0000010c437cbe82,14
0000010c425bbfa1,14
0000010c429063ec,14
0000010c437a98fd,14
0000010c43a809cb,14
0000010c43e831c4,14
0000010c423f826d,14
0000010c4281c076,14
0000010c43fd00ca,14
0000010c43889880,14
0000010c43f8cfb6,14
0000010c43fdd7fa,14
0000010c429f1dea,14
0000010c42d09883,14
0000010c43f89753,14
0000010c42682064,14
0000010c43f9c836,14
0000010c425ffbef,14
0000010c425bf62e,14
0000010c43e825c9,14
0000010c43f9803a,14
0000010c43f81a75,14
0000010c43d8a103,14
0000010c43f86131,14
0000010c43fbaca3,14
0000010c425bf43c,14
0000010c425b5e41,14
0000010c4350418f,14
0000010c43743f63,14
0000010c425bbee8,14
0000010c42e9b5e6,14
0000010c4321f31f,14
0000010c427d0422,14
0000010c425bff3a,14
0000010c425bbe5a,14
0000010c437a9861,14
0000010c4321418e,14
0000010c42c4d8da,14
0000010c437a9041,14
0000010c437cb32a,13
0000010c4281001d,13
0000010c43d041ae,13
0000010c43f61fcf,13
0000010c4276c7ba,13
0000010c42c9a210,13
0000010c437bfe4d,13
0000010c43a0d497,13
0000010c42810035,13
0000010c43fc9b56,13
0000010c423f8c06,13
0000010c423f8e00,13
0000010c423f8493,13
0000010c423f8f80,13
0000010c423fcd84,13
0000010c427c1802,13
0000010c43a08588,13
0000010c4320858f,13
0000010c43fef7fc,13
0000010c437ffaef,13
0000010c426830a5,13
0000010c427ba02e,13
0000010c423f8000,13
0000010c425a98a0,13
0000010c425bd0b1,13
0000010c42542762,13
0000010c42562742,13
0000010c43a1efbb,13
0000010c425a2632,13
0000010c43e831bd,13
0000010c437a90b1,13
0000010c437ffbe7,13
0000010c437ad041,13
0000010c4256350f,13
0000010c42703470,13
0000010c43a0c7d4,12
0000010c426830d4,12
0000010c437a9863,12
