sig7,hits,unique_branches,repeat_branches,repeat_hits,singleton_branches,repeat_ratio,top_branch,top_count
0000010c43fc7b,64,29,16,51,13,0.7969,0000010c43fc7b92 | c900 | 0000010d43fc95b2,6
0000010c43fcfb,40,16,9,33,7,0.825,0000010c43fcfbf7 | f9f7,7
0000010c43fc44,32,13,8,27,5,0.8438,0000010c43fc444c | 4242 | 0000010d43fc4072,6
0000010c43fcfd,28,7,7,28,0,1.0,0000010c43fcfdc9 | ba85 | 0000010d43fcc132,7
0000010c43fcfe,28,8,7,27,1,0.9643,0000010c43fcfe1f | 6e2a | 0000010d43f062e4,7
0000010c43fc87,28,10,7,25,3,0.8929,0000010c43fc87c4 | 442f | 0000010d43f8b802,7
0000010c43fc82,27,9,7,25,2,0.9259,0000010c43fc82e9 | 6484 | 0000010d43fcf000,7
0000010c43fc83,27,11,6,22,5,0.8148,0000010c43fc8392 | e484 | 0000010d43f022e4,7
0000010c43fca1,25,5,5,25,0,1.0,0000010c43fca132 | ce32 | 0000010d43f082e4,9
0000010c43fc88,25,8,7,24,1,0.96,0000010c43fc88e9 | 530f,6
0000010c43fcf6,24,6,5,23,1,0.9583,0000010c43fcf6fb | bec2 | 0000010d43fcea00,7
0000010c43fc80,23,6,5,22,1,0.9565,0000010c43fc80e9 | 7321 | 0000010d43f9f7ba,7
0000010c43fcce,23,6,5,22,1,0.9565,0000010c43fcceec | b9d6 | 0000010d43f9b3ae,7
0000010c43fc4d,22,11,6,17,5,0.7727,0000010c43fc4d8d | bfcc,4
0000010c43fc4c,21,9,5,17,4,0.8095,0000010c43fc4c8c | 9fee,5
0000010c43fccc,20,4,4,20,0,1.0,0000010c43fccc2b | 2cc7 | 0000010d43fcf8f9,9
0000010c43fcd2,20,8,6,18,2,0.9,0000010c43fcd288 | 0673 | 0000010d42ec1e74,4
0000010c43fc79,20,9,6,17,3,0.85,0000010c43fc7992 | c900 | 0000010d43fc91b2,3
0000010c43fcba,19,4,3,18,1,0.9474,0000010c43fcba00 | fb8f | 0000010d43fc97ce,9
0000010c43fcc4,18,5,4,17,1,0.9444,0000010c43fcc4fc | a2f8 | 0000010d43f18264,7
0000010c43fc8a,17,7,5,15,2,0.8824,0000010c43fc8ae9 | 530f | 0000010d43fc9db2,5
0000010c43fcda,17,7,5,15,2,0.8824,0000010c43fcda25 | 7db8 | 0000010d43f002e4,5
0000010c43fc9f,17,8,4,13,4,0.7647,0000010c43fc9fd6 | 7964,5
0000010c43fcac,16,3,3,16,0,1.0,0000010c43fcac46 | ea39 | 0000010d43fcb8f8,9
0000010c43fcfa,16,4,4,16,0,1.0,0000010c43fcfafb | bf85 | 0000010d43f082e4,5
0000010c43fc48,16,8,5,13,3,0.8125,0000010c43fc48a1 | 0ced | 0000010d43fc59dc,3
0000010c43fced,15,5,4,14,1,0.9333,0000010c43fcedf6 | e2fc | 0000010d43fcfdcc,7
0000010c43fcf2,14,3,3,14,0,1.0,0000010c43fcf200 | ea50 | 0000010d43fca9f3,7
0000010c43fc8b,14,6,3,11,3,0.7857,0000010c43fc8b5d | b921 | 0000010d43f9f8b9,6
0000010c43fc8c,13,3,3,13,0,1.0,0000010c43fc8c29 | cb62 | 0000010d43f87002,7
0000010c43fcbb,13,4,4,13,0,1.0,0000010c43fcbb9f | f46d,4
0000010c43fcaf,12,2,2,12,0,1.0,0000010c43fcafae | d273 | 0000010d43f082e4,9
0000010c43fce2,12,3,3,12,0,1.0,0000010c43fce22d | 4571,5
0000010c43fc0c,12,5,4,11,1,0.9167,0000010c43fc0c80 | 5f57,3
0000010c43fcd7,12,4,3,11,1,0.9167,0000010c43fcd7ed | 97f0 | 0000010d43f80779,7
0000010c43fcd8,12,3,2,11,1,0.9167,0000010c43fcd826 | 0058 | 0000010d43fcc7f6,7
0000010c43fc61,12,6,4,10,2,0.8333,0000010c43fc6194 | 00fd | 0000010d43fc5bc9,3
0000010c43fcf9,12,6,4,10,2,0.8333,0000010c43fcf93e | fef4,3
0000010c43fc4b,12,6,3,9,3,0.75,0000010c43fc4b3b | df33,4
0000010c43fc75,12,8,4,8,4,0.6667,0000010c43fc7587 | 0151,2
0000010c43fcd3,11,2,2,11,0,1.0,0000010c43fcd3ce | 512e | 0000010d43f1a264,9
0000010c43fc66,11,3,2,10,1,0.9091,0000010c43fc66e8 | 6642 | 0000010d43fc654b,7
0000010c43fca3,11,2,1,10,1,0.9091,0000010c43fca332 | e3b2 | 0000010d43f0c264,10
