sig7,hits,repeat_hits,repeat_ratio,singleton,top_branch,top_count
43fc7b,64,51,0.7969,13,0000010c43fc7b92 | c900 | 0000010d43fc95b2,6
43fc44,32,27,0.8438,5,0000010c43fc444c | 4242 | 0000010d43fc4072,6
43fc87,28,25,0.8929,3,0000010c43fc87c4 | 442f | 0000010d43f8b802,7
43fc83,27,22,0.8148,5,0000010c43fc8392 | e484 | 0000010d43f022e4,7
43fc4d,22,17,0.7727,5,0000010c43fc4d8d | bfcc,4
43fc4c,21,17,0.8095,4,0000010c43fc4c8c | 9fee,5
43fccc,20,20,1.0,0,0000010c43fccc2b | 2cc7 | 0000010d43fcf8f9,9
43fcd2,20,18,0.9,2,0000010c43fcd288 | 0673 | 0000010d42ec1e74,4
43fc79,20,17,0.85,3,0000010c43fc7992 | c900 | 0000010d43fc91b2,3
43fcba,19,18,0.9474,1,0000010c43fcba00 | fb8f | 0000010d43fc97ce,9
43fcc4,18,17,0.9444,1,0000010c43fcc4fc | a2f8 | 0000010d43f18264,7
43fc8a,17,15,0.8824,2,0000010c43fc8ae9 | 530f | 0000010d43fc9db2,5
43fcda,17,15,0.8824,2,0000010c43fcda25 | 7db8 | 0000010d43f002e4,5
43fc9f,17,13,0.7647,4,0000010c43fc9fd6 | 7964,5
43fcac,16,16,1.0,0,0000010c43fcac46 | ea39 | 0000010d43fcb8f8,9
43fcfa,16,16,1.0,0,0000010c43fcfafb | bf85 | 0000010d43f082e4,5
43fc48,16,13,0.8125,3,0000010c43fc48a1 | 0ced | 0000010d43fc59dc,3
43fced,15,14,0.9333,1,0000010c43fcedf6 | e2fc | 0000010d43fcfdcc,7
43fcf2,14,14,1.0,0,0000010c43fcf200 | ea50 | 0000010d43fca9f3,7
43fc8b,14,11,0.7857,3,0000010c43fc8b5d | b921 | 0000010d43f9f8b9,6
43fc8c,13,13,1.0,0,0000010c43fc8c29 | cb62 | 0000010d43f87002,7
43fcbb,13,13,1.0,0,0000010c43fcbb9f | f46d,4
43fcaf,12,12,1.0,0,0000010c43fcafae | d273 | 0000010d43f082e4,9
43fce2,12,12,1.0,0,0000010c43fce22d | 4571,5
43fc0c,12,11,0.9167,1,0000010c43fc0c80 | 5f57,3
43fcd7,12,11,0.9167,1,0000010c43fcd7ed | 97f0 | 0000010d43f80779,7
43fcd8,12,11,0.9167,1,0000010c43fcd826 | 0058 | 0000010d43fcc7f6,7
43fc61,12,10,0.8333,2,0000010c43fc6194 | 00fd | 0000010d43fc5bc9,3
43fcf9,12,10,0.8333,2,0000010c43fcf93e | fef4,3
43fc4b,12,9,0.75,3,0000010c43fc4b3b | df33,4
43fc75,12,8,0.6667,4,0000010c43fc7587 | 0151,2
43fcd3,11,11,1.0,0,0000010c43fcd3ce | 512e | 0000010d43f1a264,9
43fc66,11,10,0.9091,1,0000010c43fc66e8 | 6642 | 0000010d43fc654b,7
43fca3,11,10,0.9091,1,0000010c43fca332 | e3b2 | 0000010d43f0c264,10
43fce0,11,10,0.9091,1,0000010c43fce02a | 57e3 | 0000010d43fcf9cc,5
43fc74,11,9,0.8182,2,0000010c43fc7421 | c401 | 0000010d43fc654b,9
43fc77,11,8,0.7273,3,0000010c43fc7716 | 4805 | 0000010d43fc97b2,3
43fcd9,11,8,0.7273,3,0000010c43fcd94d | b14b | 0000010d43fca110,3
43fc4a,11,7,0.6364,4,0000010c43fc4a73 | 2b59 | 0000010d43fc5073,3
43fc69,11,4,0.3636,7,0000010c43fc69f5 | eab0,2
43fcb8,10,10,1.0,0,0000010c43fcb844 | 75f6 | 0000010d43fcb3b2,7
43fcb4,10,9,0.9,1,0000010c43fcb4f7 | 578a | 0000010d43f10fae,7
43fcd5,10,9,0.9,1,0000010c43fcd599 | 402c,4
43fc49,10,7,0.7,3,0000010c43fc490a | b848 | 0000010d43fc4072,3
43fca7,10,7,0.7,3,0000010c43fca7ce | bf65 | 0000010d43f8773f,3
43fcec,10,6,0.6,4,0000010c43fcec00 | db9a | 0000010d43fc510a,3
43fc68,9,9,1.0,0,0000010c43fc68e8 | 63a4 | 0000010d43fc654b,4
43fcae,9,9,1.0,0,0000010c43fcae00 | e3a0 | 0000010d43fcf800,9
43fccb,9,9,1.0,0,0000010c43fccbd4 | bc3b | 0000010d43f9a003,9
43fce5,9,9,1.0,0,0000010c43fce5e5 | 22d2 | 0000010d43f82f29,3
43fc45,9,8,0.8889,1,0000010c43fc4592 | 3745 | 0000010d43fc5cfc,3
43fc89,9,8,0.8889,1,0000010c43fc89c4 | b65a | 0000010d43fc4c4d,3
43fc8e,9,8,0.8889,1,0000010c43fc8e29 | cb62 | 0000010d43fcd600,6
43fc9c,9,7,0.7778,2,0000010c43fc9ce9 | 7321 | 0000010d43f0c2e4,4
43fc73,9,6,0.6667,3,0000010c43fc7322 | 4805 | 0000010d43fc93b2,4
43fc52,9,5,0.5556,4,0000010c43fc52c1 | 91a3 | 0000010d43fc4b59,3
43fc90,8,7,0.875,1,0000010c43fc9095 | a5b4 | 0000010d425b3ecb,3
43fcb5,8,7,0.875,1,0000010c43fcb5b9 | 778e | 0000010d43f062e4,4
43fc42,8,6,0.75,2,0000010c43fc4273 | 2b34 | 0000010d43fc40d6,3
43fc91,8,6,0.75,2,0000010c43fc91d7 | d50e,3
43fca5,7,7,1.0,0,0000010c43fca5ef | d5c9 | 0000010d43f022e4,7
43fca9,7,7,1.0,0,0000010c43fca9ed | c476 | 0000010d43f83003,4
43fcc8,7,7,1.0,0,0000010c43fcc800 | f851 | 0000010d43fcb5b2,4
43fc3e,7,6,0.8571,1,0000010c43fc3ed1 | ae7c | 0000010d43fc67d4,3
43fc63,7,6,0.8571,1,0000010c43fc63ef | 1a8e | 0000010d43fcfe99,3
43fc6e,7,6,0.8571,1,0000010c43fc6e27 | a7e9 | 0000010d43f898ac,3
43fc70,7,6,0.8571,1,0000010c43fc70fc | a8ad | 0000010d43fc48f8,3
43fcf1,7,6,0.8571,1,0000010c43fcf1d7 | 7f9b,6
43fcf5,7,6,0.8571,1,0000010c43fcf5df | 5aec | 0000010d43f00238,3
43fc47,7,5,0.7143,2,0000010c43fc4792 | 6be4 | 0000010d43fc3ec5,3
43fc7c,7,5,0.7143,2,0000010c43fc7ce2 | a43f | 0000010d43fc7743,3
43fca0,7,5,0.7143,2,0000010c43fca0e7 | 4d74 | 0000010d43fc5321,3
43fc5a,6,6,1.0,0,0000010c43fc5a8b | 55ae | 0000010d43fc962e,3
43fcc2,6,6,1.0,0,0000010c43fcc2ab | 53f7,3
43fcc5,6,6,1.0,0,0000010c43fcc5e8 | 51d3,4
43fce7,6,6,1.0,0,0000010c43fce732 | e176 | 0000010d43f8b898,3
43fce8,6,6,1.0,0,0000010c43fce8fb | b96d | 0000010d43fcf664,3
43fce9,6,6,1.0,0,0000010c43fce9ce | 3df5 | 0000010d43fcfd93,3
43fcee,6,6,1.0,0,0000010c43fcee2b | bfbd | 0000010d43fcca00,3
43fcf4,6,6,1.0,0,0000010c43fcf4f7 | 6bb5 | 0000010d43fb6ef3,3
43fcf8,6,6,1.0,0,0000010c43fcf8d9 | 17bf,6
43fc51,6,5,0.8333,1,0000010c43fc51bb | 34ac | 0000010d43e311c3,3
43fc5b,6,5,0.8333,1,0000010c43fc5bde | 5f7e | 0000010d43f3af98,3
43fcb6,6,5,0.8333,1,0000010c43fcb626 | 68b2 | 0000010d43fc8d89,3
43fcc3,6,5,0.8333,1,0000010c43fcc30d | fb99 | 0000010d43fc4472,3
43fc58,6,4,0.6667,2,0000010c43fc58e9 | 5b4d,2
43fc72,6,4,0.6667,2,0000010c43fc7245 | 15bf,2
43fc93,6,4,0.6667,2,0000010c43fc93d5 | a00f,2
43fc6b,6,3,0.5,3,0000010c43fc6b91 | 2402 | 0000010d43fc7543,3
43fc50,5,3,0.6,2,0000010c43fc50b6 | b3eb | 0000010d43fc79c3,3
43fcb0,5,3,0.6,2,0000010c43fcb025 | 7949 | 0000010d43fcd600,3
43fcdd,5,3,0.6,2,0000010c43fcdd78 | ddd3 | 0000010d43f92716,3
43fc0d,5,2,0.4,3,0000010c43fc0d8d | bfbc,2
43fc57,5,2,0.4,3,0000010c43fc5785 | dc24,2
43fc95,4,4,1.0,0,0000010c43fc955a | ff25,2
43fcdf,4,4,1.0,0,0000010c43fcdff3 | b787 | 0000010d43f022e4,4
43fc43,4,3,0.75,1,0000010c43fc430b | ac49 | 0000010d43fc3ede,3
43fc62,4,3,0.75,1,0000010c43fc6244 | 1595 | 0000010d43f8f706,3
43fc6a,4,3,0.75,1,0000010c43fc6ab3 | 6334 | 0000010d43fc4b98,3
43fc8d,4,3,0.75,1,0000010c43fc8db3 | b5fe,3
43fc9e,4,3,0.75,1,0000010c43fc9ee9 | 6643 | 0000010d43f0e264,3
43fcab,4,3,0.75,1,0000010c43fcabd5 | d7ea | 0000010d43fc528a,3
43fcbf,4,3,0.75,1,0000010c43fcbfde | 5d8b | 0000010d43fca15c,3
43fcc0,4,3,0.75,1,0000010c43fcc0ee | 6ed5 | 0000010d43fcc7c7,3
43fcca,4,3,0.75,1,0000010c43fccafc | da59 | 0000010d43fce2ec,3
43fcf3,4,3,0.75,1,0000010c43fcf3c0 | add8 | 0000010d43f8cf32,3
43fc4f,4,2,0.5,2,0000010c43fc4f14 | b6ad,2
43fcf7,4,2,0.5,2,0000010c43fcf7cd | a8a5,2
43fc19,3,3,1.0,0,0000010c43fc1953 | dff7,3
43fc21,3,3,1.0,0,0000010c43fc2130 | 0be9,3
43fc2a,3,3,1.0,0,0000010c43fc2a96 | c6c4,3
43fc3b,3,3,1.0,0,0000010c43fc3b1d | 3ff9,3
43fc41,3,3,1.0,0,0000010c43fc4158 | d959 | 0000010d43fc4d6b,3
43fc56,3,3,1.0,0,0000010c43fc5673 | 21cd | 0000010d43fce200,3
43fc78,3,3,1.0,0,0000010c43fc781e | f6e8 | 0000010d43fca42a,3
43fc7a,3,3,1.0,0,0000010c43fc7ae2 | a43f | 0000010d43fc754b,3
43fc8f,3,3,1.0,0,0000010c43fc8f92 | 84b2,3
43fca2,3,3,1.0,0,0000010c43fca26d | 144e | 0000010d43fca446,3
43fca8,3,3,1.0,0,0000010c43fca855 | fe21 | 0000010d427d5762,3
43fcb9,3,3,1.0,0,0000010c43fcb9a6 | a2ae | 0000010d43fcd6ec,3
43fcbd,3,3,1.0,0,0000010c43fcbd66 | d5a5 | 0000010d43fcb392,3
43fcc9,3,3,1.0,0,0000010c43fcc9c3 | f38e | 0000010d43fc46d1,3
43fccd,3,3,1.0,0,0000010c43fccd80 | 673f | 0000010d43687b0c,3
43fcdc,3,3,1.0,0,0000010c43fcdc00 | f9e4 | 0000010d43fc48d1,3
43fceb,3,3,1.0,0,0000010c43fcebd1 | 3f64 | 0000010d43f80913,3
43fc4e,3,2,0.6667,1,0000010c43fc4e73 | 2331,2
43fc5e,3,2,0.6667,1,0000010c43fc5e8b | 1a0d,2
43fc5f,3,2,0.6667,1,0000010c43fc5f64 | b1ae,2
43fc64,3,2,0.6667,1,0000010c43fc64ef | ceb8,2
43fc94,3,2,0.6667,1,0000010c43fc9427 | ad8f,2
43fcb3,3,2,0.6667,1,0000010c43fcb3c6 | 72e8,2
43fcb7,3,2,0.6667,1,0000010c43fcb7ee | e797,2
43fcc6,3,2,0.6667,1,0000010c43fcc662 | c55d,2
43fcd1,3,2,0.6667,1,0000010c43fcd1de | 6c74,2
43fcd6,3,2,0.6667,1,0000010c43fcd600 | fc01,2
43fcdb,3,2,0.6667,1,0000010c43fcdb90 | a55e,2
43fcde,3,2,0.6667,1,0000010c43fcde6a | eaa5,2
43fcfc,3,2,0.6667,1,0000010c43fcfc27 | 8ba5,2
43fc05,2,2,1.0,0,0000010c43fc05c8 | 4d2f,2
43fc76,2,0,0.0,2,0000010c43fc765c | 9094 | 0000010d43fc99b2,1
43fc59,1,0,0.0,1,0000010c43fc592d | 086b | 0000010d43fc7912,1
43fc5d,1,0,0.0,1,0000010c43fc5dec | e3ed | 0000010d43fcec00,1
43fc60,1,0,0.0,1,0000010c43fc60fc | aa31 | 0000010d43fc5fed,1
43fc97,1,0,0.0,1,0000010c43fc97f6 | dbf2 | 0000010d43fc46d1,1
43fcaa,1,0,0.0,1,0000010c43fcaa00 | d7a3 | 0000010d43fcee23,1
43fcbc,1,0,0.0,1,0000010c43fcbce7 | 4d7a | 0000010d43fcf0e3,1
43fce3,1,0,0.0,1,0000010c43fce3ca | ed96 | 0000010d43fce79d,1
43fcff,1,0,0.0,1,0000010c43fcff3a | a8b0 | 0000010d43f883b3,1
