start,end,size,shape,tags,count,mirror_partner,is_mirrored,is_canonical,mirror_exact
103047,103160,113,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,405855610.0,True,True,True
117891,117963,72,primary_chain_no4,BX*Hd|BX91|BXA0,3,405870454.0,True,True,True
141047,141087,40,mixed,BX91|BX{,2,405893610.0,True,True,True
160612,160617,5,mixed,BX91,1,405913175.0,True,True,True
171528,171533,5,mixed,BX91,1,405924091.0,True,True,True
221597,221602,5,mixed,BX91,1,405974160.0,True,True,True
234806,234811,5,mixed,BX91,1,405987369.0,True,True,True
248616,248621,5,mixed,BX91,1,406001179.0,True,True,True
300641,300646,5,mixed,BX91,1,406053204.0,True,True,True
310440,310445,5,mixed,BXQ,1,406063003.0,True,True,True
344886,344923,37,mixed,BX91|BXA0,2,406097449.0,True,True,True
348062,348095,33,mixed,BX91|BXA0,2,406100625.0,True,True,True
357473,357510,37,mixed,BX91|BXA0,2,406110036.0,True,True,True
370497,370541,44,mixed,BXA0|BXU,2,406123060.0,True,True,True
393123,393128,5,mixed,BX{,1,406145686.0,True,True,True
396526,396531,5,mixed,BX{,1,406149089.0,True,True,True
405812,405896,84,mixed,BX91|BXA0|BXI1,3,406158375.0,True,True,True
418385,418478,93,mixed,BX91|BXI1,2,406170948.0,True,True,True
421746,421835,89,mixed,BX91|BXI1,2,406174309.0,True,True,True
430980,430985,5,mixed,BX91,1,406183543.0,True,True,True
453100,453105,5,mixed,BXU,1,406205663.0,True,True,True
464535,464598,63,primary_chain_no4,BX*Hd|BX91|BXA0,3,406217098.0,True,True,True
475862,475977,115,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4,406228425.0,True,True,True
487277,487348,71,primary_chain_no4,BX*Hd|BX91|BXA0,3,406239840.0,True,True,True
509266,509271,5,mixed,BX{,1,406261829.0,True,True,True
512338,512343,5,mixed,BX{,1,406264901.0,True,True,True
520777,520813,36,mixed,BX91|BXA0,2,406273340.0,True,True,True
532590,532678,88,mixed,BX91|BXA0|BXI1,3,406285153.0,True,True,True
545269,545312,43,mixed,BX91|BXA0,2,406297832.0,True,True,True
580996,581001,5,mixed,BX91,1,406333559.0,True,True,True
595030,595066,36,mixed,BX91|BXBa,2,406347593.0,True,True,True
611053,611088,35,mixed,BX91|BXA0,2,406363616.0,True,True,True
650957,650999,42,mixed,BXA0|BXI1,2,406403520.0,True,True,True
665917,665988,71,primary_chain_no4,BX*Hd|BX91|BXA0,3,406418480.0,True,True,True
670313,670423,110,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,406422876.0,True,True,True
682188,682258,70,primary_chain_no4,BX*Hd|BX91|BXA0,3,406434751.0,True,True,True
686459,686571,112,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,406439022.0,True,True,True
707613,707618,5,mixed,BX{,1,406460176.0,True,True,True
712166,712171,5,mixed,BX{,1,406464729.0,True,True,True
724213,724280,67,primary_chain_no4,BX*Hd|BX91|BXA0,3,406476776.0,True,True,True
728631,728698,67,primary_chain_no4,BX*Hd|BX91|BXA0,3,406481194.0,True,True,True
741234,741305,71,mixed,BX91|BXA0|BXU,3,406493797.0,True,True,True
758490,758526,36,mixed,BX91|BXA0,2,406511053.0,True,True,True
784561,784566,5,mixed,BX{,1,406537124.0,True,True,True
800410,800452,42,mixed,BXA0|BXI1,2,406552973.0,True,True,True
804631,804636,5,mixed,BX91,1,406557194.0,True,True,True
815859,815931,72,mixed,BX*Hd|BXBa,2,406568422.0,True,True,True
831944,832015,71,mixed,BX*Hd|BX91|BXU,3,406584507.0,True,True,True
836228,836233,5,mixed,BXA0,1,406588791.0,True,True,True
871194,871199,5,mixed,BX91,1,406623757.0,True,True,True
885513,885518,5,mixed,BXU,1,406638076.0,True,True,True
899795,899867,72,mixed,BX91|BXI1|BXT,3,406652358.0,True,True,True
923765,923770,5,mixed,BX{,1,406676328.0,True,True,True
937658,937663,5,mixed,BX*Hd,1,406690221.0,True,True,True
966892,966897,5,mixed,BXA0,1,406719455.0,True,True,True
1005821,1005899,78,mixed,BX91|BXA0|BXI1,3,406758384.0,True,True,True
1021784,1021838,54,mixed,BXA0|BXI1,2,406774347.0,True,True,True
1037529,1037569,40,mixed,BX91|BXA0,2,406790092.0,True,True,True
1062316,1062321,5,mixed,BXA0,1,406814879.0,True,True,True
1078998,1079086,88,mixed,BX91|BXA0|BXI1,3,406831561.0,True,True,True
1096074,1096157,83,mixed,BX91|BXI1,2,406848637.0,True,True,True
1113019,1113107,88,mixed,BX91|BXI1,2,406865582.0,True,True,True
1139516,1139569,53,mixed,BXBa|BX{,2,406892079.0,True,True,True
1156661,1156752,91,mixed,BX91|BXA0|BXI1,3,406909224.0,True,True,True
1172915,1173014,99,mixed,BX91|BXA0|BXI1,3,406925478.0,True,True,True
1189343,1189436,93,mixed,BX91|BXA0|BXI1,3,406941906.0,True,True,True
1215325,1215330,5,mixed,BX{,1,406967888.0,True,True,True
1230772,1230777,5,mixed,BX91,1,406983335.0,True,True,True
1246449,1246454,5,mixed,BX91,1,406999012.0,True,True,True
1250923,1250928,5,mixed,BXQ,1,407003486.0,True,True,True
1262473,1262478,5,mixed,BX91,1,407015036.0,True,True,True
1266850,1266855,5,mixed,BXT,1,407019413.0,True,True,True
1303186,1303191,5,mixed,BXA0,1,407055749.0,True,True,True
1307452,1307457,5,mixed,BX91,1,407060015.0,True,True,True
1319594,1319599,5,mixed,BX91,1,407072157.0,True,True,True
1324185,1324190,5,mixed,BXBa,1,407076748.0,True,True,True
1336012,1336055,43,mixed,BX91|BXA0,2,407088575.0,True,True,True
1376893,1376977,84,mixed,BX91|BXA0|BXI1,3,407129456.0,True,True,True
1394255,1394295,40,mixed,BX91|BXA0,2,407146818.0,True,True,True
1399663,1399708,45,mixed,BX91|BXA0,2,407152226.0,True,True,True
1413497,1413543,46,mixed,BX91|BXA0,2,407166060.0,True,True,True
1440878,1440926,48,mixed,BXU|BX{,2,407193441.0,True,True,True
1459233,1459326,93,mixed,BX91|BXA0|BXI1,3,407211796.0,True,True,True
1464207,1464212,5,mixed,BXQ,1,407216770.0,True,True,True
1477251,1477352,101,mixed,BX91|BXBa|BXQ,3,407229814.0,True,True,True
1481996,1482050,54,mixed,BXBa|BXQ,2,407234559.0,True,True,True
1495247,1495343,96,mixed,BX91|BXQ,2,407247810.0,True,True,True
1521697,1521702,5,mixed,BX{,1,407274260.0,True,True,True
1538619,1538657,38,mixed,BX*Hd|BX91,2,407291182.0,True,True,True
1555508,1555547,39,mixed,BX*Hd|BX91,2,407308071.0,True,True,True
1571991,1572069,78,mixed,BX*Hd|BXQ|BXQ,3,407324554.0,True,True,True
1576344,1576349,5,mixed,BX91,1,407328907.0,True,True,True
1614000,1614005,5,mixed,BX91,1,407366563.0,True,True,True
1618416,1618421,5,mixed,BXQ,1,407370979.0,True,True,True
1630318,1630359,41,mixed,BX91|BXBa,2,407382881.0,True,True,True
1646661,1646666,5,mixed,BXA0,1,407399224.0,True,True,True
1689148,1689153,5,mixed,BX91,1,407441711.0,True,True,True
1693552,1693557,5,mixed,BX*Hd,1,407446115.0,True,True,True
1705031,1705069,38,mixed,BX*Hd|BX91,2,407457594.0,True,True,True
1709392,1709397,5,mixed,BXBa,1,407461955.0,True,True,True
1720263,1720369,106,mixed,BX*Hd|BX91|BXBa|BXQ,4,407472826.0,True,True,True
1761047,1761129,82,mixed,BX91|BXI1,2,407513610.0,True,True,True
1771580,1771701,121,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,407524143.0,True,True,True
1775215,1775220,5,mixed,BXU,1,407527778.0,True,True,True
1785494,1785539,45,mixed,BX91|BXA0,2,407538057.0,True,True,True
1808810,1808897,87,mixed,BX91|BXA0|BX{,3,407561373.0,True,True,True
1822642,1822647,5,mixed,BX91,1,407575205.0,True,True,True
1826221,1826226,5,mixed,BX*Hd,1,407578784.0,True,True,True
1836671,1836714,43,mixed,BX91|BXA0,2,407589234.0,True,True,True
1851134,1851176,42,mixed,BX91|BXA0,2,407603697.0,True,True,True
1874660,1874777,117,mixed,BX91|BX{,2,407627223.0,True,True,True
1888085,1888183,98,mixed,BX91|BXA0|BXI1,3,407640648.0,True,True,True
1901030,1901128,98,mixed,BX91|BXI1,2,407653593.0,True,True,True
1936349,1936457,108,mixed,BX91|BXA0|BX{,3,407688912.0,True,True,True
1948778,1948783,5,mixed,BXI1,1,407701341.0,True,True,True
1952049,1952139,90,mixed,BX91|BXA0|BXI1,3,407704612.0,True,True,True
1961252,1961353,101,mixed,BX91|BXA0|BXI1,3,407713815.0,True,True,True
1974227,1974320,93,mixed,BX91|BXA0|BXI1,3,407726790.0,True,True,True
1997243,1997248,5,mixed,BXBa,1,407749806.0,True,True,True
2000921,2000926,5,mixed,BXBa,1,407753484.0,True,True,True
2010518,2010607,89,mixed,BX91|BXA0|BXI1,3,407763081.0,True,True,True
2024694,2024780,86,mixed,BX91|BXA0,2,407777257.0,True,True,True
2039703,2039708,5,mixed,BX91,1,407792266.0,True,True,True
2044056,2044061,5,mixed,BX91,1,407796619.0,True,True,True
2078538,2078579,41,mixed,BX*Hd|BX91,2,407831101.0,True,True,True
2092836,2092875,39,mixed,BX*Hd|BX91,2,407845399.0,True,True,True
2107252,2107292,40,mixed,BX*Hd|BX91,2,407859815.0,True,True,True
2145913,2145954,41,mixed,BX91|BXA0,2,407898476.0,True,True,True
2150546,2150591,45,mixed,BX91|BXA0,2,407903109.0,True,True,True
2162514,2162519,5,mixed,BX91,1,407915077.0,True,True,True
2167636,2167641,5,mixed,BX91,1,407920199.0,True,True,True
2180171,2180176,5,mixed,BX91,1,407932734.0,True,True,True
2220499,2220585,86,mixed,BX91|BXA0|BXI1,3,407973062.0,True,True,True
2224416,2224504,88,mixed,BX91|BXA0|BXI1,3,407976979.0,True,True,True
2235054,2235135,81,mixed,BX91|BXA0|BXI1,3,407987617.0,True,True,True
2238960,2239046,86,mixed,BX91|BXA0|BXI1,3,407991523.0,True,True,True
2249729,2249810,81,mixed,BX91|BXA0|BXI1,3,408002292.0,True,True,True
2273148,2273202,54,mixed,BX91|BXA0,2,408025711.0,True,True,True
2287236,2287241,5,mixed,BXI1,1,408039799.0,True,True,True
2290944,2290991,47,mixed,BX91|BXA0,2,408043507.0,True,True,True
2301256,2301334,78,mixed,BX91|BXA0|BXI1,3,408053819.0,True,True,True
2305127,2305169,42,mixed,BX91|BXA0,2,408057690.0,True,True,True
2315461,2315508,47,mixed,BX91|BXA0,2,408068024.0,True,True,True
2339198,2339203,5,mixed,BX{,1,408091761.0,True,True,True
2352647,2352723,76,mixed,BX91|BXA0|BXI1,3,408105210.0,True,True,True
2356142,2356218,76,primary_chain_no4,BX*Hd|BX91|BXA0,3,408108705.0,True,True,True
2366185,2366263,78,primary_chain_no4,BX*Hd|BX91|BXA0,3,408118748.0,True,True,True
2379718,2379755,37,mixed,BX*Hd|BX91,2,408132281.0,True,True,True
2383120,2383125,5,mixed,BXA0,1,408135683.0,True,True,True
2402731,2402736,5,mixed,BXU,1,408155294.0,True,True,True
2406307,2406312,5,mixed,BXU,1,408158870.0,True,True,True
2416165,2416250,85,mixed,BX91|BXA0|BXT,3,408168728.0,True,True,True
2419602,2419607,5,mixed,BXQ,1,408172165.0,True,True,True
2429616,2429655,39,mixed,BX91|BXA0,2,408182179.0,True,True,True
2443683,2443724,41,mixed,BX91|BXA0,2,408196246.0,True,True,True
2447470,2447547,77,mixed,BX91|BXA0|BXT,3,408200033.0,True,True,True
2468010,2468015,5,mixed,BXU,1,408220573.0,True,True,True
2471575,2471580,5,mixed,BXU,1,408224138.0,True,True,True
2481989,2482029,40,mixed,BXA0|BXI1,2,408234552.0,True,True,True
2496843,2496914,71,mixed,BX91|BXA0|BXI1,3,408249406.0,True,True,True
2512572,2512642,70,mixed,BX91|BXA0|BXI1,3,408265135.0,True,True,True
2538416,2538493,77,mixed,BXU|BX{,2,408290979.0,True,True,True
2555960,2555998,38,mixed,BX91|BXA0,2,408308523.0,True,True,True
2560793,2560872,79,primary_chain_no4,BX*Hd|BX91|BXA0,3,408313356.0,True,True,True
2574481,2574519,38,mixed,BX91|BXA0,2,408327044.0,True,True,True
2579751,2579821,70,primary_chain_no4,BX*Hd|BX91|BXA0,3,408332314.0,True,True,True
2592692,2592697,5,mixed,BXA0,1,408345255.0,True,True,True
2597312,2597350,38,mixed,BX91|BXA0,2,408349875.0,True,True,True
2619224,2619229,5,mixed,BXU,1,408371787.0,True,True,True
2635394,2635462,68,mixed,BX91|BXA0|BXI1,3,408387957.0,True,True,True
2650722,2650790,68,mixed,BX91|BXA0|BXI1,3,408403285.0,True,True,True
2666007,2666042,35,mixed,BXA0|BXI1,2,408418570.0,True,True,True
2669910,2669978,68,mixed,BX91|BXA0|BXI1,3,408422473.0,True,True,True
2704626,2704695,69,mixed,BX91|BXA0|BXI1,3,408457189.0,True,True,True
2708262,2708267,5,mixed,BXI1,1,408460825.0,True,True,True
2719279,2719347,68,mixed,BX91|BXA0|BXI1,3,408471842.0,True,True,True
2734540,2734608,68,mixed,BX91|BXA0|BXI1,3,408487103.0,True,True,True
2760052,2760057,5,mixed,BXA0,1,408512615.0,True,True,True
2774653,2774721,68,mixed,BX91|BXA0|BXI1,3,408527216.0,True,True,True
2789025,2789094,69,mixed,BX91|BXA0|BXI1,3,408541588.0,True,True,True
2793412,2793480,68,mixed,BX91|BXA0|BXI1,3,408545975.0,True,True,True
