rule_name,off_hex,sig8,body_prefix,prev_key,next_key,tail_sig8
flex_frontier_61_930c,0x382D7374,0000010c42542561,930c,0B@-296,none,
flex_frontier_61_930c,0x382E815A,0000010c42542561,930c,0B@-419,none,
flex_frontier_61_930c,0x38638F33,0000010c42542561,930c,0B@-302,none,
flex_frontier_61_930c,0x38B14E79,0000010c42542561,930c,0B@-328,none,
flex_frontier_61_930c_424864cb,0x3822B908,0000010c42542561,930c,none,0D@662,0000010d424864cb
flex_frontier_61_930c_424864cb,0x382D6290,0000010c42542561,930c,0B@-353,0D@537,0000010d424864cb
flex_frontier_61_930c_424864cb,0x382DE463,0000010c42542561,930c,0B@-434,0D@589,0000010d424864cb
flex_frontier_61_930c_424864cb,0x382DF649,0000010c42542561,930c,0B@-424,0D@575,0000010d424864cb
flex_frontier_61_930c_424864cb,0x382F04A0,0000010c42542561,930c,none,0D@605,0000010d424864cb
flex_frontier_61_930c_424864cb,0x382F177D,0000010c42542561,930c,none,0D@650,0000010d424864cb
flex_frontier_61_930c_424864cb,0x386530BE,0000010c42542561,930c,0B@-323,0D@512,0000010d424864cb
flex_frontier_61_930c_424864cb,0x386F7858,0000010c42542561,930c,0B@-427,0D@518,0000010d424864cb
flex_frontier_61_9e7b,0x3827330B,0000010c42542561,9e7b,0B@-264,none,
flex_frontier_61_9e7b,0x386970CF,0000010c42542561,9e7b,none,none,
flex_frontier_61_9e7b,0x38AB6A17,0000010c42542561,9e7b,0B@-276,none,
flex_frontier_61_a618,0x382DA354,0000010c42542561,a618,0B@-393,none,
flex_frontier_61_a618,0x385500F0,0000010c42542561,a618,0B@-276,none,
flex_frontier_61_a618,0x38552BA4,0000010c42542561,a618,0B@-328,none,
flex_frontier_61_a618,0x38D369D1,0000010c42542561,a618,0B@-466,none,
flex_frontier_61_cc30,0x3854F19F,0000010c42542561,cc30,0B@-252,none,
flex_frontier_61_cc30,0x38567D94,0000010c42542561,cc30,0B@-319,none,
flex_frontier_61_cc30_424864cd,0x382EC2C9,0000010c42542561,cc30,0B@-501,0D@652,0000010d424864cd
flex_frontier_61_cc30_424864cd,0x382ED500,0000010c42542561,cc30,0B@-466,0D@616,0000010d424864cd
flex_frontier_61_cc58,0x381F8B60,0000010c42542561,cc58,0B@-320,none,
flex_frontier_61_cc58,0x38624EA6,0000010c42542561,cc58,0B@-440,none,
flex_frontier_61_cc58,0x3B9A669F,0000010c42542561,cc58,0B@-319,none,
flex_frontier_61_cc6c,0x3B6E8269,0000010c42542561,cc6c,0B@-346,none,
flex_frontier_61_cc6c,0x3BAFAC8F,0000010c42542561,cc6c,0B@-240,none,
flex_frontier_61_df2e_424864cb,0x3833BBD2,0000010c42542561,df2e,none,0D@1022,0000010d424864cb
flex_frontier_61_df2e_424864cb,0x38760CC6,0000010c42542561,df2e,none,0D@1059,0000010d424864cb
flex_frontier_61_ec30,0x385566C6,0000010c42542561,ec30,0B@-420,none,
flex_frontier_61_ec30,0x3898D513,0000010c42542561,ec30,0B@-483,none,
flex_frontier_62_bf49_424864cb,0x385DCA27,0000010c42542562,bf49,none,0D@1124,0000010d424864cb
flex_frontier_62_bf49_424864cb,0x38DB7744,0000010c42542562,bf49,none,0D@884,0000010d424864cb
flex_frontier_63_7b2e_42483126,0x38336B09,0000010c42542563,7b2e,none,0D@1021,0000010d42483126
flex_frontier_63_7b2e_42483126,0x383381C4,0000010c42542563,7b2e,none,0D@1077,0000010d42483126
flex_frontier_63_7cd8_424864cb,0x382325C7,0000010c42542563,7cd8,none,0D@651,0000010d424864cb
flex_frontier_63_7cd8_424864cb,0x3830D193,0000010c42542563,7cd8,0B@-492,0D@675,0000010d424864cb
flex_frontier_63_7cd8_424864cb,0x386591BC,0000010c42542563,7cd8,0B@-331,0D@545,0000010d424864cb
flex_frontier_63_7e2e,0x3860E283,0000010c42542563,7e2e,0B@-447,none,
flex_frontier_63_7e2e,0x38DDE893,0000010c42542563,7e2e,0B@-387,none,
flex_frontier_63_7e41,0x38576C32,0000010c42542563,7e41,0B@-373,none,
flex_frontier_63_7e41,0x38579F2B,0000010c42542563,7e41,0B@-412,none,
flex_frontier_63_7e61,0x38A8CBDA,0000010c42542563,7e61,0B@-331,none,
flex_frontier_63_7e61,0x38AFCD80,0000010c42542563,7e61,0B@-366,none,
flex_frontier_63_7ea0_42486562,0x383828E3,0000010c42542563,7ea0,none,0D@1166,0000010d42486562
flex_frontier_63_7ea0_42486562,0x387A4783,0000010c42542563,7ea0,none,0D@932,0000010d42486562
flex_frontier_63_7fa0,0x3827AD70,0000010c42542563,7fa0,0B@-292,none,
flex_frontier_63_7fa0,0x38280CFC,0000010c42542563,7fa0,0B@-326,none,
flex_frontier_63_7fa1,0x38278038,0000010c42542563,7fa1,0B@-304,none,
flex_frontier_63_7fa1,0x3827BE7D,0000010c42542563,7fa1,0B@-291,none,
flex_frontier_63_7fa1,0x38CFC39A,0000010c42542563,7fa1,0B@-255,none,
flex_frontier_63_7fb1_424864cb,0x3825345B,0000010c42542563,7fb1,0B@-383,0D@706,0000010d424864cb
flex_frontier_63_7fb1_424864cb,0x38257CC4,0000010c42542563,7fb1,0B@-340,0D@665,0000010d424864cb
flex_frontier_63_7fb5_424864cb,0x3824FD07,0000010c42542563,7fb5,0B@-444,0D@766,0000010d424864cb
flex_frontier_63_7fb5_424864cb,0x3825486E,0000010c42542563,7fb5,0B@-347,0D@689,0000010d424864cb
flex_frontier_63_7fb6_424864cb,0x3830E43A,0000010c42542563,7fb6,0B@-486,0D@659,0000010d424864cb
flex_frontier_63_7fb6_424864cb,0x38B44F88,0000010c42542563,7fb6,none,0D@889,0000010d424864cb
flex_frontier_63_b141_424864c3,0x38A3BD37,0000010c42542563,b141,none,0D@920,0000010d424864c3
flex_frontier_63_b141_424864c3,0x38DD4A66,0000010c42542563,b141,none,0D@564,0000010d424864c3
flex_frontier_63_b1e2_424864cb,0x385068EF,0000010c42542563,b1e2,none,0D@507,0000010d424864cb
flex_frontier_63_b1e2_424864cb,0x3850B907,0000010c42542563,b1e2,0B@-416,0D@535,0000010d424864cb
