domain,residual_hits
43fc7b,64
43fc4d,22
43fc4c,21
43fc87,20
43fccc,20
43fcd2,20
43fc79,20
43fcc4,18
43fc9f,17
43fc8a,17
43fcda,17
43fcac,16
43fcfa,16
43fc48,16
43fced,15
43fc8b,14
43fcf2,14
43fcbb,13
43fc8c,13
43fc0c,12
43fcaf,12
43fce2,12
43fcd8,12
43fc61,12
43fcd7,12
43fcf9,12
43fc4b,12
43fc75,12
43fca3,11
43fcd9,11
43fce0,11
43fc69,11
43fc66,11
43fc4a,11
43fc74,11
43fcd3,11
43fc77,11
43fca7,10
43fcb8,10
43fcec,10
43fcd5,10
43fc49,10
43fcb4,10
43fc9c,9
43fc8e,9
43fc68,9
43fce5,9
43fc45,9
43fc89,9
43fc52,9
43fcae,9
43fccb,9
43fc73,9
43fcb5,8
43fc91,8
43fc90,8
43fc42,8
43fca9,7
43fcc8,7
43fca5,7
43fc47,7
43fcf5,7
43fc70,7
43fc3e,7
43fc6e,7
43fc63,7
43fca0,7
43fc7c,7
43fcf1,7
43fcf8,6
43fce7,6
43fc58,6
43fc5a,6
43fcb6,6
43fce9,6
43fcee,6
43fcf4,6
43fcc3,6
43fc51,6
43fc72,6
43fc93,6
43fce8,6
43fc5b,6
43fcc5,6
43fcc2,6
43fc6b,6
43fc50,5
43fcdd,5
43fcb0,5
43fc0d,5
43fc57,5
43fc9e,4
43fcdf,4
43fc95,4
43fc4f,4
43fcab,4
43fcbf,4
43fc6a,4
43fcf3,4
43fcc0,4
43fc43,4
43fcca,4
43fc62,4
43fcf7,4
43fc8d,4
43fc3b,3
43fc21,3
43fc19,3
43fca8,3
43fcdb,3
43fceb,3
43fc78,3
43fc5f,3
43fcfc,3
43fcb3,3
43fc5e,3
43fc41,3
43fcd1,3
43fcc6,3
43fc94,3
43fcbd,3
43fcd6,3
43fcb7,3
43fcb9,3
43fcde,3
43fca2,3
43fcdc,3
43fc56,3
43fc4e,3
43fcc9,3
43fc7a,3
43fc2a,3
43fc8f,3
43fc64,3
43fccd,3
43fc05,2
43fc76,2
43fce3,1
43fc59,1
43fcff,1
43fcbc,1
43fc60,1
43fc5d,1
43fcaa,1
43fc97,1
