domain_sig7,residual_hits
0000010c43fc7b,64
0000010c43fc87,20
0000010c43fccc,20
0000010c43fcd2,20
0000010c43fc79,20
0000010c43fcc4,18
0000010c43fc9f,17
0000010c43fc8a,17
0000010c43fcda,17
0000010c43fcac,16
0000010c43fcfa,16
0000010c43fc48,16
0000010c43fced,15
0000010c43fc8b,14
0000010c43fcf2,14
0000010c43fcbb,13
0000010c43fc8c,13
0000010c43fc0c,12
0000010c43fcaf,12
0000010c43fce2,12
0000010c43fcd8,12
0000010c43fc61,12
0000010c43fcd7,12
0000010c43fcf9,12
0000010c43fc4b,12
0000010c43fc75,12
0000010c43fca3,11
0000010c43fcd9,11
0000010c43fce0,11
0000010c43fc69,11
0000010c43fc66,11
0000010c43fc4a,11
0000010c43fc74,11
0000010c43fcd3,11
0000010c43fc77,11
0000010c43fca7,10
0000010c43fcb8,10
0000010c43fcec,10
0000010c43fcd5,10
0000010c43fc49,10
0000010c43fcb4,10
0000010c43fc9c,9
0000010c43fc8e,9
0000010c43fc68,9
0000010c43fce5,9
0000010c43fc45,9
0000010c43fc89,9
0000010c43fc52,9
0000010c43fcae,9
0000010c43fccb,9
0000010c43fc73,9
0000010c43fcb5,8
0000010c43fc91,8
0000010c43fc90,8
0000010c43fc42,8
0000010c43fca9,7
0000010c43fcc8,7
0000010c43fca5,7
0000010c43fc47,7
0000010c43fcf5,7
0000010c43fc70,7
0000010c43fc3e,7
0000010c43fc6e,7
0000010c43fc63,7
0000010c43fca0,7
0000010c43fc7c,7
0000010c43fcf1,7
0000010c43fcf8,6
0000010c43fce7,6
0000010c43fc58,6
0000010c43fc5a,6
0000010c43fcb6,6
0000010c43fce9,6
0000010c43fcee,6
0000010c43fcf4,6
0000010c43fcc3,6
0000010c43fc51,6
0000010c43fc72,6
0000010c43fc93,6
0000010c43fce8,6
0000010c43fc5b,6
0000010c43fcc5,6
0000010c43fcc2,6
0000010c43fc6b,6
0000010c43fc50,5
0000010c43fcdd,5
0000010c43fcb0,5
0000010c43fc0d,5
0000010c43fc57,5
0000010c43fc9e,4
0000010c43fcdf,4
0000010c43fc95,4
0000010c43fc4f,4
0000010c43fcab,4
0000010c43fcbf,4
0000010c43fc6a,4
0000010c43fcf3,4
0000010c43fcc0,4
0000010c43fc43,4
0000010c43fcca,4
0000010c43fc62,4
0000010c43fcf7,4
0000010c43fc8d,4
0000010c43fc3b,3
0000010c43fc21,3
0000010c43fc19,3
0000010c43fca8,3
0000010c43fcdb,3
0000010c43fceb,3
0000010c43fc78,3
0000010c43fc5f,3
0000010c43fcfc,3
0000010c43fcb3,3
0000010c43fc5e,3
0000010c43fc41,3
0000010c43fcd1,3
0000010c43fcc6,3
0000010c43fc94,3
0000010c43fcbd,3
0000010c43fcd6,3
0000010c43fcb7,3
0000010c43fcb9,3
0000010c43fcde,3
0000010c43fca2,3
0000010c43fcdc,3
0000010c43fc56,3
0000010c43fc4e,3
0000010c43fcc9,3
0000010c43fc7a,3
0000010c43fc2a,3
0000010c43fc8f,3
0000010c43fc64,3
0000010c43fccd,3
0000010c43fc05,2
0000010c43fc76,2
0000010c43fce3,1
0000010c43fc59,1
0000010c43fcff,1
0000010c43fcbc,1
0000010c43fc60,1
0000010c43fc5d,1
0000010c43fcaa,1
0000010c43fc97,1
