sig7,count,unique_sig8,unique_buckets,top_branch_hits,top_branch_ratio,cluster_count,top_bucket,top_branch
0000010c425425,653,4,244,21,0.0322,37,none || none,0000010c42542561 | 930c
0000010c43fc65,439,4,155,222,0.5057,13,none || none,0000010c43fc6585 | 4039 | 0000010d43fc654b
0000010c423fcf,299,55,131,14,0.0468,99,none || none,0000010c423fcf65 | e490 | 0000010d43243460
0000010c425bbf,292,23,151,10,0.0342,83,none || none,0000010c425bbf21 | 6398
0000010c43fc6f,282,6,135,24,0.0851,17,none || none,0000010c43fc6f92 | c807 | 0000010d43fc7943
0000010c43d041,273,33,143,6,0.022,74,none || none,0000010c43d041ae | 4f27
0000010c43a0c5,253,25,129,7,0.0277,101,none || none,0000010c43a0c50f | 2743
0000010c426830,243,47,121,8,0.0329,108,none || none,0000010c42683062 | 8487
0000010c423fce,224,52,98,7,0.0312,89,none || none,0000010c423fcea0 | 0e1d
0000010c43fc6d,218,8,96,37,0.1697,27,none || none,0000010c43fc6d91 | 2402 | 0000010d43fc7743
0000010c425bbe,203,27,128,6,0.0296,59,none || none,0000010c425bbe48 | 21d9
0000010c43e831,196,31,97,25,0.1276,81,none || none,0000010c43e831d4 | 034b
0000010c423fc6,189,50,85,8,0.0423,58,none || none,0000010c423fc668 | ccc0 | 0000010d43874600
0000010c43a0c7,181,32,104,10,0.0552,71,none || none,0000010c43a0c7ef | 9515
0000010c43a0c6,180,39,80,8,0.0444,49,none || none,0000010c43a0c674 | 380e
