rid,role,full_count,variant_count,full_med_len,variant_med_len,full_prefix,variant_prefix,full_suffix,variant_suffix,full_med_entropy,variant_med_entropy,full_unique_md5,variant_unique_md5,len_delta,entropy_delta
1,header,3,5,23,23,17,6,0,0,4.349648912578752,4.349648912578752,3,5,0,0.0
2,header,3,5,22,25,0,0,0,0,4.20184123230257,4.392747410448784,3,5,-3,-0.190906
3,header,3,5,25,29,0,0,0,0,4.483856189774725,4.563856189774725,3,5,-4,-0.08
4,header,3,5,28,30,1,0,0,0,4.532665279941246,4.671780584510634,3,5,-2,-0.139115
5,descriptor,3,5,62,38,0,0,0,0,5.7606479232901,5.195295934496217,3,5,24,0.565352
6,descriptor,3,5,110,49,0,0,0,0,6.360771872556565,5.369811884931535,3,5,61,0.99096
7,descriptor,3,5,186,76,0,0,0,0,6.8177178149140865,5.907071770088827,3,5,110,0.910646
8,data,3,5,198,191,0,0,0,0,6.978881935637837,6.915663415923018,3,5,7,0.063219
9,data,3,5,344,198,0,0,0,0,7.311623466813959,6.871115365169272,3,5,146,0.440508
10,data,3,5,384,245,0,0,0,0,7.45340807636247,7.1180855412720225,3,5,139,0.335323
11,data,3,5,363,289,0,0,0,0,7.393023433926772,7.225433365199076,3,5,74,0.16759
12,data,3,5,357,396,0,0,0,0,7.399664735997482,7.355879951878753,3,5,-39,0.043785
13,data,3,5,289,403,0,0,0,0,7.307167979296063,7.5192131700705875,3,5,-114,-0.212045
14,data,3,5,420,348,0,0,0,0,7.468917684384709,7.327230135479659,3,5,72,0.141688
15,data,3,5,395,294,0,0,0,0,7.387732491519226,7.275878711092049,3,5,101,0.111854
