off,off_hex,sig8,body_prefix,prev_key,next_key,tail_sig8,body_md5,rule_name
983831692,0x3AA4148C,0000010c43fc6f25,9201,none,0D@1596,0000010d43fc8db2,559e4037f30247bcc77739e23d20cb55,v145_singleton_25_9201_559E4037
983495255,0x3A9EF257,0000010c43fc6f85,4805,none,0D@1584,0000010d43fc93b2,fabdf174f5a12488354c8f47737b9670,v145_singleton_85_4805_FABDF174
984007633,0x3AA6C3D1,0000010c43fc6f85,4805,none,0D@1410,0000010d43fc9bb2,847e2565c8c223fe8167d52307d3bc94,v145_singleton_85_4805_847E2565
996300236,0x3B6255CC,0000010c43fc6f8b,2015,none,0D@1528,0000010d43fc7743,f191a30e30048a097ba9c9a6070d73bf,v145_singleton_8b_2015_F191A30E
982198028,0x3A8B270C,0000010c43fc6f8b,201c,none,0D@1593,0000010d43fc97b2,8059d79892b7cc3109c4bb0ad6adf3d2,v145_singleton_8b_201c_8059D798
991456324,0x3B186C44,0000010c43fc6f8b,201c,none,0D@1399,0000010d43fc7b43,713d63231020589e7f0324a86e77254a,v145_singleton_8b_201c_713D6323
983405424,0x3A9D9370,0000010c43fc6f8b,2402,none,0D@1611,0000010d43fc9db2,8d9553c40543e26c2eb05a9b093afd89,v145_singleton_8b_2402_8D9553C4
984095297,0x3AA81A41,0000010c43fc6f8b,2402,none,0D@1536,0000010d43fc97b2,bb25e3cd69dc550db0b6b3ffea1b9f4a,v145_singleton_8b_2402_BB25E3CD
981385757,0x3A7EC21D,0000010c43fc6f92,c807,none,0D@927,0000010d43fc99bf,11f4ee8246851d787685ca0624513a99,v145_singleton_92_c807_11F4EE82
859780612,0x333F3604,0000010c43fc6ff3,d6cd,none,0D@1050,0000010d43fce064,cd6887a6aeebc9825eca1ab7035e64c7,v145_singleton_f3_d6cd_CD6887A6
