start,end,size,shape,tags,count,mirror_partner,is_mirrored,is_canonical,mirror_exact,win1m
21482,21584,102,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,0
25778,25877,99,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4,,False,False,False,0
36724,36828,104,primary_chain_no4,BX*Hd|BX91|BXA0|BXQ,4,,False,False,False,0
51440,51548,108,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4,,False,False,False,0
73474,73547,73,variant_chain,BX91|BXBa|BX{,3,,False,False,False,0
77346,77432,86,variant_chain,BX91|BXBa|BX{,3,,False,False,False,0
88126,88231,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,0
92063,92168,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,0
405774037,405774139,102,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,386
405778338,405778437,99,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4,,False,False,False,386
405789285,405789389,104,primary_chain_no4,BX*Hd|BX91|BXA0|BXQ,4,,False,False,False,386
405804002,405804110,108,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4,,False,False,False,387
405826036,405826109,73,variant_chain,BX91|BXBa|BX{,3,,False,False,False,387
405829908,405829994,86,variant_chain,BX91|BXBa|BX{,3,,False,False,False,387
405840688,405840793,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,387
405844625,405844730,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,387
811526498,811526600,102,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,773
811530769,811530868,99,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4,,False,False,False,773
811541676,811541777,101,primary_chain_no4,BX*Hd|BX91|BXA0|BXQ,4,,False,False,False,773
811556310,811556410,100,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4,,False,False,False,773
811578239,811578312,73,variant_chain,BX91|BXBa|BX{,3,,False,False,False,773
811582084,811582161,77,variant_chain,BX91|BXBa|BX{,3,,False,False,False,773
811592812,811592917,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,773
811596726,811596831,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,773
811607652,811607765,113,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,774
811622433,811622503,70,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
811645473,811645513,40,mixed,BX91|BX{,2,,False,False,False,774
811664930,811664935,5,mixed,BX91,1,,False,False,False,774
811675807,811675812,5,mixed,BX91,1,,False,False,False,774
811725630,811725635,5,mixed,BX91,1,,False,False,False,774
811738767,811738772,5,mixed,BX91,1,,False,False,False,774
811752478,811752483,5,mixed,BX91,1,,False,False,False,774
811804293,811804298,5,mixed,BX91,1,,False,False,False,774
811814050,811814055,5,mixed,BXQ,1,,False,False,False,774
811848328,811848365,37,mixed,BX91|BXA0,2,,False,False,False,774
811851478,811851511,33,mixed,BX91|BXA0,2,,False,False,False,774
811860833,811860870,37,mixed,BX91|BXA0,2,,False,False,False,774
811873790,811873834,44,mixed,BXA0|BXU,2,,False,False,False,774
811877342,811877347,5,mixed,BXA0,1,,False,False,False,774
811896327,811896332,5,mixed,BX{,1,,False,False,False,774
811899711,811899716,5,mixed,BX{,1,,False,False,False,774
811908944,811909028,84,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
811921461,811921554,93,mixed,BX91|BXI1,2,,False,False,False,774
811924794,811924883,89,mixed,BX91|BXI1,2,,False,False,False,774
811933980,811933985,5,mixed,BX91,1,,False,False,False,774
811956001,811956006,5,mixed,BXU,1,,False,False,False,774
811959111,811959116,5,mixed,BXU,1,,False,False,False,774
811967393,811967456,63,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
811978662,811978777,115,primary_chain_no4,BX*Hd|BX91|BXA0|BXU,4,,False,False,False,774
811990012,811990083,71,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812011902,812011907,5,mixed,BX{,1,,False,False,False,774
812014951,812014956,5,mixed,BX{,1,,False,False,False,774
812023338,812023374,36,mixed,BX91|BXA0,2,,False,False,False,774
812035104,812035192,88,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812047710,812047746,36,mixed,BX91|BXA0,2,,False,False,False,774
812083262,812083267,5,mixed,BX91,1,,False,False,False,774
812097223,812097259,36,mixed,BX91|BXBa,2,,False,False,False,774
812113136,812113171,35,mixed,BX91|BXA0,2,,False,False,False,774
812152867,812152909,42,mixed,BXA0|BXI1,2,,False,False,False,774
812156704,812156780,76,mixed,BX91|BXI1,2,,False,False,False,774
812167821,812167935,114,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,774
812172179,812172289,110,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,774
812184009,812184079,70,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812188251,812188363,112,primary_chain,BX*Hd|BX91|BXA0|BXI1,4,,False,False,False,774
812209312,812209317,5,mixed,BX{,1,,False,False,False,774
812213835,812213840,5,mixed,BX{,1,,False,False,False,774
812225832,812225899,67,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812230223,812230290,67,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812242751,812242822,71,mixed,BX91|BXA0|BXU,3,,False,False,False,774
812247481,812247516,35,mixed,BX91|BXA0,2,,False,False,False,774
812259948,812259984,36,mixed,BX91|BXA0,2,,False,False,False,774
812264852,812264888,36,mixed,BX91|BXA0,2,,False,False,False,774
812285921,812285926,5,mixed,BX{,1,,False,False,False,774
812301676,812301718,42,mixed,BXA0|BXI1,2,,False,False,False,774
812305857,812305923,66,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812317058,812317130,72,mixed,BX*Hd|BXBa,2,,False,False,False,774
812321361,812321426,65,mixed,BX*Hd|BX91|BXBa,3,,False,False,False,774
812333093,812333164,71,mixed,BX*Hd|BX91|BXU,3,,False,False,False,774
812337341,812337410,69,primary_chain_no4,BX*Hd|BX91|BXA0,3,,False,False,False,774
812372209,812372214,5,mixed,BX91,1,,False,False,False,774
812386438,812386443,5,mixed,BXU,1,,False,False,False,774
812400644,812400716,72,mixed,BX91|BXI1|BXT,3,,False,False,False,774
812404526,812404603,77,mixed,BX91|BXI1|BXT,3,,False,False,False,774
812424536,812424541,5,mixed,BX{,1,,False,False,False,774
812428416,812428421,5,mixed,BX{,1,,False,False,False,774
812438387,812438392,5,mixed,BX*Hd,1,,False,False,False,774
812467463,812467468,5,mixed,BXA0,1,,False,False,False,774
812506175,812506253,78,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812510320,812510409,89,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812522077,812522131,54,mixed,BXA0|BXI1,2,,False,False,False,774
812526516,812526598,82,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812537753,812537793,40,mixed,BX91|BXA0,2,,False,False,False,774
812541882,812541919,37,mixed,BX91|BXA0,2,,False,False,False,774
812562449,812562454,5,mixed,BXA0,1,,False,False,False,774
812566845,812566850,5,mixed,BXA0,1,,False,False,False,774
812579063,812579151,88,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812583512,812583593,81,mixed,BX91|BXA0|BXI1,3,,False,False,False,774
812596097,812596180,83,mixed,BX91|BXI1,2,,False,False,False,774
