win1m,clusters,primary,no4,variant,start_min,end_max,total_markers,mixed
961,124,2,11,0,1007682752,1008721851,277,111
784,121,0,0,2,822089020,823127064,312,119
783,114,0,0,6,821038062,822077411,277,108
880,113,6,4,0,922747198,923791567,257,103
865,112,5,8,0,907022933,908054017,266,99
796,110,2,3,0,834669212,835708905,239,105
949,110,0,0,0,995098971,996146490,213,110
876,108,4,3,0,918571014,919598073,246,101
964,108,0,7,0,1010839211,1011871219,233,101
946,107,3,6,2,991955060,992987058,258,96
782,106,0,0,2,819988768,821016530,255,104
864,106,0,9,0,905972864,906984969,227,97
945,105,2,9,0,990914425,991951157,241,94
892,105,2,5,0,935334614,936371279,238,98
962,104,11,13,2,1008731443,1009776010,257,78
795,104,1,8,0,833630029,834648975,241,95
960,104,5,1,1,1006638633,1007674150,217,97
794,101,7,8,0,832570066,833617514,224,86
953,101,1,5,0,999325818,1000333546,220,95
891,100,3,3,0,934289015,935321021,211,94
959,99,5,8,0,1005629915,1006627368,206,86
866,98,5,4,2,908092764,909115479,239,87
884,98,2,5,0,926944860,927979938,201,91
938,97,5,3,0,983565324,984605132,232,89
869,97,3,1,1,911219633,912245716,219,92
878,97,2,13,0,920649776,921696443,201,82
948,97,0,0,0,994065891,995087114,184,97
939,96,2,6,0,984639873,985653571,230,88
900,96,3,7,2,943720612,944763435,217,84
947,96,0,0,1,993004851,994045580,196,95
890,95,12,17,1,933233606,934255894,232,65
778,95,0,0,2,815809497,816837782,228,93
874,95,5,21,0,916457278,917498142,219,69
908,95,0,0,6,952116202,953142362,211,89
893,94,3,14,0,936387139,937406080,221,77
877,94,4,15,1,919608739,920645094,215,74
950,94,7,7,0,996176693,997194882,207,80
965,93,5,5,0,1011882566,1012923806,230,83
780,93,0,0,2,817892937,818922497,225,91
944,93,3,6,0,989860588,990900833,213,84
875,92,4,0,0,917530156,918551425,195,88
788,91,2,6,2,826279494,827317376,196,81
963,91,2,2,0,1009780111,1010826620,196,87
957,91,0,7,0,1003500477,1004527146,195,84
942,91,1,1,1,987767139,988785897,186,88
901,90,2,4,0,944769446,945808520,211,84
879,90,0,3,0,921701368,922736571,197,87
955,89,2,13,0,1001390592,1002428075,211,74
868,89,2,1,0,910171304,911202080,177,86
907,88,0,0,0,951070831,952098550,225,88
958,88,10,11,1,1004565864,1005574452,223,66
779,88,0,0,6,816842833,817884767,211,82
943,88,6,14,2,988809231,989850217,206,66
776,88,0,7,2,813715150,814739102,190,79
781,87,0,0,2,818939674,819977922,215,85
897,87,5,6,2,940573751,941610009,205,74
896,87,2,5,0,939527683,940552126,193,80
886,87,1,13,0,929049453,930075108,188,73
941,86,0,5,2,986724305,987757563,185,79
934,86,0,6,0,979370720,980415273,183,80
894,86,3,8,0,937479030,938463347,176,75
787,86,1,4,2,825242257,826274746,172,79
905,85,0,0,1,948974603,950002353,222,84
909,85,0,0,5,953160570,954110560,212,80
888,85,4,4,0,931142200,932183743,197,77
951,85,2,13,0,997204555,998230629,191,70
867,85,7,7,0,909118581,910154335,171,71
954,84,9,12,1,1000346062,1001371089,220,62
966,84,0,0,2,1012928326,1013970527,216,82
936,84,10,8,0,981469471,982514624,196,66
932,84,0,11,0,977275221,978314212,179,73
789,83,7,6,1,827330939,828372704,193,69
935,82,11,3,1,980454762,981458648,222,67
898,82,5,12,1,941622727,942665304,194,64
956,82,1,2,3,1002442468,1003457067,186,76
883,82,3,3,0,925900489,926931038,180,76
895,82,4,1,2,938477429,939522048,178,75
792,82,1,4,0,830486208,831513543,167,77
903,81,0,0,0,946880274,947909004,197,81
933,81,1,6,0,978327777,979322355,195,74
881,81,9,12,0,923795732,924843997,190,60
777,81,0,3,0,814752125,815786546,183,78
899,81,2,0,0,942677986,943679187,165,79
967,80,0,0,1,1013977061,1015010069,195,79
952,80,0,5,0,998246189,999288395,163,75
906,79,0,0,2,950020705,951054835,184,77
793,79,6,12,1,831525257,832565912,175,60
785,78,1,11,0,823137247,824175855,192,66
885,78,9,8,2,927991949,929006824,180,59
872,78,4,3,0,914360166,915398507,175,71
887,78,0,5,0,930090044,931128844,169,73
871,78,4,1,0,913323876,914356344,165,73
774,78,4,9,0,811607652,812639432,159,65
889,77,5,2,0,932188767,933228594,172,70
882,77,3,6,0,924866753,925884953,159,68
904,76,0,0,2,947914440,948958966,177,74
940,76,2,5,0,985663062,986695415,151,69
902,75,0,2,3,945816767,946860098,181,70
791,75,1,2,0,829424561,830467146,155,72
937,75,2,2,0,982527718,983559893,147,71
786,75,0,10,0,824199095,825227342,146,65
873,74,2,3,0,915416538,916436483,150,69
775,74,1,0,0,812656422,813675031,147,73
969,73,0,0,2,1016074845,1016980302,187,71
870,72,4,10,1,912266852,913288306,162,57
968,69,0,0,3,1015025617,1016069909,166,66
790,63,5,4,0,828389063,829385099,127,54
797,58,0,4,0,835715751,836757739,108,54
810,51,0,0,0,849355127,850390891,64,51
799,51,0,0,0,837835771,838837690,63,51
845,50,0,0,0,886077472,887092690,63,50
846,50,0,1,0,887100201,888122642,60,49
863,49,1,15,0,905423255,905964260,118,33
801,49,0,0,0,839923054,840953413,51,49
802,47,0,0,0,840961633,841940927,63,47
832,46,0,0,0,872439914,873434495,62,46
851,46,0,0,0,892354367,893363714,58,46
835,46,0,0,0,875622735,876591986,53,46
856,45,0,0,0,897622425,898626361,59,45
855,45,0,0,0,896559672,897557187,58,45
800,45,0,0,0,838886922,839907237,54,45
836,45,0,0,0,876614056,877612120,54,45
857,44,0,0,0,898634608,899670585,51,44
817,43,0,0,0,856689192,857703450,52,43
858,43,0,0,0,899678753,900718840,47,43
820,42,0,3,0,859845983,860876740,66,39
828,42,0,1,0,868228283,869266745,63,41
829,42,0,0,0,869291216,870312638,53,42
815,40,0,0,0,854591805,855635742,49,40
798,40,0,0,0,836765029,837735809,48,40
843,39,0,0,0,883964012,884981245,54,39
806,39,0,0,0,845197966,846200528,49,39
813,39,0,0,0,852655212,853529590,49,39
848,39,0,0,0,889196148,890152875,49,39
811,39,0,0,0,850438328,851402788,48,39
931,37,8,4,0,976613396,977269436,95,25
854,36,0,0,0,895495700,896513768,54,36
831,36,0,0,0,871381545,872355541,51,36
819,35,0,0,0,858792060,859828155,47,35
821,35,0,0,0,860917521,861926361,46,35
842,35,0,0,0,882903529,883944091,44,35
823,35,0,0,0,862997530,864025611,42,35
834,35,0,0,0,874523137,875497564,42,35
824,35,0,0,0,864132866,864860030,36,35
