sig8,body_prefix,tail_sig8,count
0000010c43fc6f92,c807,0000010d43fc7943,24
0000010c43fc6f91,201c,0000010d43fc7943,24
0000010c43fc6f91,2402,0000010d43fc7743,17
0000010c43fc6f8b,2402,0000010d43fc7743,13
0000010c43fc6f91,2402,0000010d43fc7761,10
0000010c43fc6f91,2402,0000010d43fc7943,10
0000010c43fc6f92,c900,0000010d43fc7943,9
0000010c43fc6f8b,2402,0000010d43fc7943,9
0000010c43fc6f92,c900,0000010d43fc7543,9
0000010c43fc6f85,4805,0000010d43fc7761,7
0000010c43fc6f92,c900,0000010d43fc754b,7
0000010c43fc6f85,4039,0000010d43fc794b,6
0000010c43fc6f92,c900,0000010d43fc7961,6
0000010c43fc6f85,4805,0000010d43fc7743,6
0000010c43fc6f92,c807,0000010d425e418f,5
0000010c43fc6f92,c900,0000010d4276feec,5
0000010c43fc6f8b,2402,0000010d43fc9bb2,4
0000010c43fc6f92,c900,0000010d43fc7b43,4
0000010c43fc6f91,2015,0000010d43fc7743,4
0000010c43fc6f92,c900,0000010d43fc7761,4
0000010c43fc6f25,9201,0000010d43fc93b2,3
0000010c43fc6f92,c807,0000010d43fc7961,3
0000010c43fc6f8b,2402,0000010d43683190,3
0000010c43fc6f92,c900,0000010d4358e90c,3
0000010c43fc6f85,4805,0000010d43fc774b,3
0000010c43fc6f91,201c,0000010d43fc7961,3
0000010c43fc6f85,4805,0000010d43fc7543,3
0000010c43fc6f91,2402,0000010d43fc774b,3
0000010c43fc6f8b,2402,0000010d43fc7961,3
0000010c43fc6f85,4805,0000010d42b921cc,3
0000010c43fc6f85,4805,0000010d43fc7562,3
0000010c43fc6f85,4039,0000010d43fc7943,3
0000010c43fc6f92,c900,0000010d43d8418c,3
0000010c43fc6f92,c900,0000010d4290e418,3
0000010c43fc6f91,2402,0000010d4368721f,3
0000010c43fc6ff3,d6cd,0000010d423fce81,2
0000010c43fc6f85,4805,0000010d436831d8,2
0000010c43fc6f8b,2402,0000010d425ff977,2
0000010c43fc6f91,201c,0000010d427d261e,2
0000010c43fc6f91,201c,0000010d42d9b68f,2
0000010c43fc6f92,c807,0000010d4368314c,2
0000010c43fc6f92,c807,0000010d43d84188,2
0000010c43fc6f92,c807,0000010d427bbc4c,2
0000010c43fc6f91,2402,0000010d42906331,2
0000010c43fc6f92,c900,0000010d429061db,2
0000010c43fc6f91,2015,0000010d425da1be,2
0000010c43fc6f8b,2015,0000010d4321dadd,2
0000010c43fc6f91,2402,0000010d42487586,2
0000010c43fc6f91,2402,0000010d42486543,2
0000010c43fc6f92,c900,0000010d425abe48,2
0000010c43fc6f91,2402,0000010d437f4184,2
0000010c43fc6f8b,2402,0000010d4320c7f6,2
0000010c43fc6f92,c900,0000010d42483148,2
0000010c43fc6f92,c900,0000010d43fc7b61,2
0000010c43fc6f91,2402,0000010d43fc7b43,2
0000010c43fc6f8b,2402,0000010d43fc774b,2
0000010c43fc6ff3,d6cd,0000010d43fce064,1
0000010c43fc6f92,c807,0000010d43fc99bf,1
0000010c43fc6f8b,201c,0000010d43fc97b2,1
0000010c43fc6f8b,2402,0000010d43fc9db2,1
0000010c43fc6f85,4805,0000010d43fc93b2,1
0000010c43fc6f25,9201,0000010d43fc8db2,1
0000010c43fc6f85,4805,0000010d43fc9bb2,1
0000010c43fc6f8b,2402,0000010d43fc97b2,1
0000010c43fc6f92,c807,0000010d427d8606,1
0000010c43fc6f8b,201c,0000010d43fc7b43,1
0000010c43fc6f8b,2015,0000010d43fc7743,1
0000010c43fc6f8b,2402,0000010d427a6bd6,1
