pos,mode,start,end,size_bytes,support,unique_target_offsets,median_delta_from_start,file_ident,ffprobe_rc,streams,format_name,duration,ok
20,abs,879168063,884050495,4882436,21,2,11272,"MPEG sequence, v2, program multiplex",0,1,mpeg,19.800000,True
88,abs,478193930,484739865,6545939,9,1,13460,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.859622,True
20,abs,968039992,976789048,8749060,8,1,7010,"MPEG sequence, v2, program multiplex",0,1,mpeg,55.160000,True
20,abs,912733413,916466430,3733021,8,1,482,"MPEG sequence, v2, program multiplex",0,2,mpeg,22.680000,True
140,abs,606334375,608129660,1795289,7,1,5593,"MPEG sequence, v2, program multiplex",0,2,mpeg,95455.637689,True
140,abs,555337255,572121641,16784390,6,1,15038,"MPEG sequence, v2, program multiplex",0,5,mpeg,98.080000,True
136,abs,582678437,592104270,9425837,6,1,6107,"MPEG sequence, v2, program multiplex",0,1,mpeg,14.094122,True
148,abs,70953405,78987302,8033901,6,1,15312,"MPEG sequence, v2, program multiplex",0,2,mpeg,8.499622,True
148,abs,48063314,54355023,6291713,6,1,36596,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.539400,True
140,abs,436253011,442067494,5814487,6,1,13264,"MPEG sequence, v2, program multiplex",0,1,mpeg,23.340000,True
108,abs,884329027,889932355,5603332,6,1,10712,"MPEG sequence, v2, program multiplex",0,1,mpeg,23.760000,True
164,abs,848054827,853625387,5570564,6,1,8905,"MPEG sequence, v2, program multiplex",0,1,mpeg,23.160000,True
108,abs,443076065,448145427,5069366,6,1,6163,"MPEG sequence, v2, program multiplex",0,1,mpeg,20.680000,True
164,abs,461793930,466512796,4718870,6,1,9987,"MPEG sequence, v2, program multiplex",0,2,mpeg,18.480000,True
148,abs,104894556,109533195,4638643,6,1,10604,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.666156,True
148,abs,50194443,54355023,4160584,6,1,2619,"MPEG sequence, v2, program multiplex",0,1,mpeg,16.900000,True
164,abs,12843068,16856694,4013630,6,1,15747,"MPEG sequence, v2, program multiplex",0,1,mpeg,20.960000,True
108,abs,886082115,889932355,3850244,6,1,166,"MPEG sequence, v2, program multiplex",0,1,mpeg,16.760000,True
136,abs,75260640,78987302,3726666,6,1,519,"MPEG sequence, v2, program multiplex",0,1,mpeg,16.140000,True
164,abs,416917131,417852280,935153,6,1,16952,"MPEG sequence, v2, program multiplex",0,1,mpeg,5.360000,True
140,abs,16296180,16856694,560518,6,1,8186,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.400000,True
20,abs,484220538,484739865,519331,6,1,32796,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.280000,True
136,abs,419438533,422609257,3170728,4,1,7405,"MPEG sequence, v2, program multiplex",0,1,mpeg,16.560000,True
88,abs,15503222,16856694,1353476,4,2,26422,"MPEG sequence, v2, program multiplex",0,1,mpeg,24060.872556,True
280,abs,99231096,101542424,2311332,3,1,11484,"MPEG sequence, v2, program multiplex",0,1,mpeg,16.880000,True
276,abs,2196870,3985856,1788990,3,1,15169,"MPEG sequence, v2, program multiplex",0,1,mpeg,2967.430133,True
88,abs,10538464,12099717,1561257,3,1,4150,"MPEG sequence, v2, program multiplex",0,1,mpeg,9.800000,True
340,abs,922659601,924199697,1540100,3,1,13067,"MPEG sequence, v2, program multiplex",0,1,mpeg,9.920000,True
276,abs,116377223,117913451,1536232,3,1,2444,"MPEG sequence, v2, program multiplex",0,1,mpeg,8.960000,True
88,abs,1034665489,1036058129,1392644,3,1,7473,"MPEG sequence, v2, program multiplex",0,1,mpeg,15.560000,True
276,abs,628152329,629471189,1318864,3,1,11512,"MPEG sequence, v2, program multiplex",0,2,mpeg,27733.702633,True
340,abs,923085585,924199697,1114116,3,1,9997,"MPEG sequence, v2, program multiplex",0,1,mpeg,7.080000,True
280,abs,911483590,912338979,855393,3,1,8561,"MPEG sequence, v2, program multiplex",0,1,mpeg,5.720000,True
256,abs,894798407,895601223,802820,3,1,12358,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.840000,True
256,abs,984899136,985620032,720900,3,1,5857,"MPEG sequence, v2, program multiplex",0,1,mpeg,4.280000,True
256,abs,484204006,484739865,535863,3,1,3236,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.280000,True
256,abs,185832478,186351707,519233,3,1,10174,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.480000,True
136,abs,928164629,928623381,458756,3,1,6064,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.960000,True
280,abs,523219516,523666014,446502,3,1,14955,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.880000,True
340,abs,207976619,208280054,303439,3,1,12227,"MPEG sequence, v2, program multiplex",0,2,mpeg,4.000000,True
108,abs,877660731,877890107,229380,3,1,7104,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.960000,True
276,abs,472463961,472605967,142010,3,1,1455,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.560000,True
340,abs,1035927057,1036058129,131076,3,1,13191,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.520000,True
280,abs,819793426,819809810,16388,3,1,14965,"MPEG sequence, v2, program multiplex",0,1,mpeg,,True
256,rel,988232966,989301284,1068322,1,1,13789,"MPEG sequence, v2, program multiplex",0,1,mpeg,7.080000,True
20,rel,831288191,832195088,906901,1,1,8453,"MPEG sequence, v2, program multiplex",0,1,mpeg,5.320000,True
20,rel,142648398,143544430,896036,1,1,720,SIMH tape data,0,2,mpeg,5.600000,True
20,rel,421767764,422609257,841497,1,1,3850,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.700000,True
256,rel,1035238929,1036058129,819204,1,1,14819,"MPEG sequence, v2, program multiplex",0,1,mpeg,9.400000,True
276,rel,41638062,42392864,754806,1,1,1970,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.700000,True
20,rel,827510298,828263962,753668,1,1,13879,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.400000,True
256,rel,835144223,835881503,737284,1,1,11052,"MPEG sequence, v2, program multiplex",0,1,mpeg,4.800000,True
256,rel,108810105,109533195,723094,1,1,3745,"MPEG sequence, v2, program multiplex",0,1,mpeg,3.980000,True
280,rel,1033155445,1033829890,674449,1,1,1558,"MPEG sequence, v2, program multiplex",0,2,mpeg,5.840000,True
280,rel,16213569,16856694,643129,1,1,950,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.720000,True
148,rel,194668941,195169943,501006,1,1,2812,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.320000,True
280,rel,41919164,42392864,473704,1,1,20181,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.820000,True
148,rel,29769168,30186252,417088,1,1,5477,"MPEG sequence, v2, program multiplex",0,1,mpeg,24060.988022,True
108,rel,101211218,101542424,331210,1,1,10282,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.440000,True
164,rel,66529485,66853404,323923,1,1,3240,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.280000,True
164,rel,472282048,472605967,323923,1,1,3240,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.280000,True
276,rel,859490863,859769391,278532,1,1,1444,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.080000,True
164,rel,459832128,460107586,275462,1,1,15339,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.080000,True
148,rel,1035812369,1036058129,245764,1,1,13980,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.960000,True
280,rel,143307330,143544430,237104,1,1,286,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.880000,True
148,rel,130712005,130932909,220908,1,1,2826,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.880000,True
88,rel,1016773093,1016989798,216709,1,1,14421,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.040000,True
164,rel,992807475,993020467,212996,1,1,3761,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.320000,True
88,rel,1033660670,1033829890,169224,1,1,3346,"MPEG sequence, v2, program multiplex",0,2,mpeg,3.800000,True
276,rel,545397144,545548195,151055,1,1,7686,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.680000,True
136,rel,996526647,996657719,131076,1,1,15202,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.040000,True
136,rel,186228743,186351707,122968,1,1,29351,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.840000,True
136,rel,591981306,592104270,122968,1,1,29351,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.840000,True
276,rel,883935807,884050495,114692,1,1,9397,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.440000,True
140,rel,202265126,202377097,111975,1,1,8801,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.000000,True
140,rel,608017689,608129660,111975,1,1,8801,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.000000,True
140,rel,66760996,66853404,92412,1,1,12863,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.000011,True
108,rel,1033738791,1033829890,91103,1,1,10579,"MPEG sequence, v2, program multiplex",0,2,mpeg,3.040000,True
88,rel,1018037692,1018104722,67034,1,1,10316,"MPEG sequence, v2, program multiplex",0,1,mpeg,2.320000,True
340,rel,819744274,819809810,65540,1,1,5490,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.320000,True
88,rel,992971315,993020467,49156,1,1,8429,"MPEG sequence, v2, program multiplex",0,1,mpeg,0.320000,True
108,rel,1018419607,1018462837,43234,1,1,2402,"MPEG sequence, v2, program multiplex",0,1,mpeg,1.160000,True
