pos_dec,pos_hex,in_range_ratio,align16_ratio,align800_ratio,unique_in_range_values,sample_start_1,sample_start_2,sample_start_3
140,0x08C,0.46099290780141844,0.17692307692307693,0.03076923076923077,44,29f0dc2650120226,653fce2e41bda628,c0e4bbf74e652fa5
164,0x0A4,0.43617021276595747,0.08130081300813008,0.016260162601626018,45,94a799b98781aba6,805056d15bfc57fa,8054581924513316
148,0x094,0.4148936170212766,0.08547008547008547,0.0,43,5c12be0cc0495c0c,862e38da3f80afed,ffc7b28dffad9375
136,0x088,0.3900709219858156,0.16363636363636364,0.01818181818181818,44,a675b685eb6cf69b,9b2b403f1e23d83e,0b921084622bdd02
20,0x014,0.3900709219858156,0.0,0.0,24,b2aa40cfd94d8d91,bdb8ded331a91094,476f06334748500c
88,0x058,0.38652482269503546,0.10091743119266056,0.0,42,7c9493ac3a4c130e,02a506a12c79b9e4,2c260024ed58183f
276,0x114,0.3829787234042553,0.12962962962962962,0.06481481481481481,50,ac060a7bf8723e09,25a109c3360eb9d9,0000000000000000
280,0x118,0.3829787234042553,0.1111111111111111,0.009259259259259259,52,3ca3bd41548e4f9c,843f77ef01503051,418dad4dd044ffb1
36,0x024,0.3829787234042553,0.05555555555555555,0.018518518518518517,33,68c5137a78c46802,3ce4b10843498c9a,000b75bbdbbea5be
28,0x01C,0.37943262411347517,0.028037383177570093,0.028037383177570093,20,2d1c042d3800780c,dd50dd0002336c3e,77fe6424b7679033
428,0x1AC,0.375886524822695,0.09433962264150944,0.0,54,3109518919ab0000,5600888263ff655c,002a9c014c61073f
384,0x180,0.3723404255319149,0.11428571428571428,0.01904761904761905,56,d43c6e44fc425b5c,0081685700725646,04473ce5022dc2ad
272,0x110,0.3723404255319149,0.08571428571428572,0.01904761904761905,50,2d4cd252c8c6c9ff,2b7fb91801010020,625abe0c39465d17
76,0x04C,0.36879432624113473,0.125,0.019230769230769232,37,c570dc1bc2226067,9c01fdbc46e20035,0622c265787a1264
292,0x124,0.3617021276595745,0.14705882352941177,0.0,51,77650c75aae189bb,8dfa58e9df06eda1,2007a007e03b2c06
268,0x10C,0.3617021276595745,0.12745098039215685,0.029411764705882353,49,a9350596ecda38f6,2b7fb91801010020,bffa4842e7b2e8f1
500,0x1F4,0.3617021276595745,0.11764705882352941,0.029411764705882353,50,68f164fbdcc3a589,4f2a0e3d31861b1b,670290b06d3f5a4d
144,0x090,0.35815602836879434,0.19801980198019803,0.0297029702970297,37,1b0ebb1418d329b1,f000000104425849,3472163eb8c01e19
476,0x1DC,0.35815602836879434,0.12871287128712872,0.0,53,1b6f43eef61065bc,47ab41be8d6312c2,ed57c3f79c05e405
444,0x1BC,0.3546099290780142,0.18,0.0,54,41046ef45acde8a5,0a2aa13d2323543e,838d06bfcc06272c
80,0x050,0.35106382978723405,0.1717171717171717,0.020202020202020204,37,a3000751bb493af8,5ff914c1a87e6015,5ee41a3f225762ac
248,0x0F8,0.35106382978723405,0.08080808080808081,0.0,45,2986015291ddbd94,b6b0bad88d110000,3c02efe5d4fffd22
72,0x048,0.35106382978723405,0.030303030303030304,0.0,29,2f6c00023cf5f5f6,92686134af06f422,0000009ba3f4efec
432,0x1B0,0.3475177304964539,0.07142857142857142,0.0,52,31291206a21664f0,e1e11f9022d20156,d2380ebd459f5766
160,0x0A0,0.3475177304964539,0.061224489795918366,0.030612244897959183,34,3688950684ab368e,2a7d13aa6d06b2fc,0a4e001837ec0774
468,0x1D4,0.34397163120567376,0.12371134020618557,0.0,53,dffa007d6ab795f7,2af3bb0d4ed88d2f,08ec44ba4f06054b
452,0x1C4,0.3404255319148936,0.08333333333333333,0.0,51,016c00fc01fc00ec,198b35c1d5492254,9d24551f1129250f
380,0x17C,0.3404255319148936,0.052083333333333336,0.03125,48,5a8b323f7bd3113f,30aadba37d2ef7cc,02d2d8cd066227cf
436,0x1B4,0.33687943262411346,0.10526315789473684,0.0,51,04d21814592beb97,88b65e5edd59f0b7,c42c9049980b9022
84,0x054,0.33687943262411346,0.09473684210526316,0.021052631578947368,38,253f14d32cbf8828,297646c4ec92c2fc,350015b7a380ffc5
472,0x1D8,0.33687943262411346,0.042105263157894736,0.0,50,6d386e74693a6e6e,8d4a5e4161090586,9f4c2205f30a0cc8
460,0x1CC,0.3333333333333333,0.0425531914893617,0.0,48,918d1eccc8e1e7c0,c0a0ce95124a4160,182a9d0190506300
324,0x144,0.32978723404255317,0.13978494623655913,0.0,48,54329d01ea471406,acb490df40b7cb36,65adacc03575dab0
40,0x028,0.3262411347517731,0.21739130434782608,0.021739130434782608,22,0c32dc3320136c02,93316ec12925e729,1088a050333e6558
240,0x0F0,0.3262411347517731,0.07608695652173914,0.0,44,964f611003e01380,8112883ecd8f6e3f,cd1af48c06ecd65d
308,0x134,0.3262411347517731,0.03260869565217391,0.010869565217391304,45,bde1e7368fa70ed7,d547a8b7fd56b2cb,5144cdc62a86e896
264,0x108,0.32269503546099293,0.15384615384615385,0.03296703296703297,44,139c01023614cfbb,032338250f09e95d,2cb1882b34841d76
420,0x1A4,0.32269503546099293,0.08791208791208792,0.0,50,0000000000000000,c6ad0ee29d95f08a,840e920001054004
480,0x1E0,0.32269503546099293,0.08791208791208792,0.02197802197802198,51,516e3d3ad31bc347,aae7ddc10d05ed9e,780fea805b47f1ec
404,0x194,0.3191489361702128,0.13333333333333333,0.022222222222222223,50,e3eeeca140c4a520,d3c0c09f9f9f2964,5900183459001934
400,0x190,0.3191489361702128,0.1,0.044444444444444446,46,e87799eee924af8d,9848bf5d6c0606bb,3c517c40edc912b0
252,0x0FC,0.3191489361702128,0.022222222222222223,0.022222222222222223,43,16913af3c1d52c1a,716ff869d85c90d2,1ee3094e346ae028
256,0x100,0.31560283687943264,0.12359550561797752,0.033707865168539325,42,421600c2483d0260,0c05002a4d143b27,8666ff979c6effd2
116,0x074,0.31560283687943264,0.07865168539325842,0.0,32,0c113f60b59c42cf,407600000bb61977,b21d823a62a9c469
424,0x1A8,0.31560283687943264,0.07865168539325842,0.0,44,1e03e748662c8327,e3ac1f0bf7e8ffff,8d5c4002c52e46c1
260,0x104,0.3120567375886525,0.14772727272727273,0.06818181818181818,43,2d9c006d4d112c8d,743929dd00732246,48abb29b7e18425e
168,0x0A8,0.3120567375886525,0.011363636363636364,0.0,36,e7532c1d38547cde,313e0c01892ca1ac,26d4b0de6d015c18
288,0x120,0.30851063829787234,0.19540229885057472,0.04597701149425287,43,4c132a4c070e8054,be9bbd4f3f470be6,7410e60348cae81c
304,0x130,0.30851063829787234,0.05747126436781609,0.011494252873563218,43,060e2fa40a584f00,4d4024d53d3021d7,a46f3f12c2aabee4
484,0x1E4,0.30851063829787234,0.034482758620689655,0.0,48,e0483437ffdb0ff0,19aec5d2bc0c4c54,50c1007dc0000081
124,0x07C,0.3049645390070922,0.22093023255813954,0.046511627906976744,32,322cb647fa01060c,ac3403606d923d0a,246c06286c0202bf
152,0x098,0.3049645390070922,0.05813953488372093,0.0,31,e46036f12f218756,48dbcc4c43f3a1ab,ad00013f58523f3c
368,0x170,0.30141843971631205,0.10588235294117647,0.047058823529411764,43,2addf5b37e787d80,103ede4724743403,0e8981a9e4c2d283
348,0x15C,0.30141843971631205,0.03529411764705882,0.0,43,08e2943fc1bedfdb,4ffc936c4bd23d36,fd8ed136dc11541d
132,0x084,0.2978723404255319,0.09523809523809523,0.023809523809523808,30,26053fe7d510cb0c,4a6f40e70056e954,e8d88a6d7774d0fc
244,0x0F4,0.2978723404255319,0.09523809523809523,0.023809523809523808,38,5cdd0ba0473fe800,50bd9653d9c1d02e,42ce0a85d98a3ec5
44,0x02C,0.2978723404255319,0.047619047619047616,0.0,24,e593715d26496471,46f8dc235a80609e,200e2ac413a0d335
216,0x0D8,0.2978723404255319,0.03571428571428571,0.03571428571428571,32,00408b3ed5319444,884d2e304c2e0007,9f331f457d9cdc02
52,0x034,0.2978723404255319,0.0,0.0,23,69893429c3533e6b,ba1d87c2311c0654,af173db9c314707a
