rec_off,pos,mode,field_val,cand_off,delta,sig,sig8,body_prefix,tail_sig8
1009308466,20,abs,925530966,925530966,-7,mpeg_seq_ext,0000010c43fc6f92,c900,0000010d43fc754b
180467835,108,rel,4215720961,101221500,17,mpeg_seq_ext,0000010c43fc6f91,201c,0000010d43fc7943
586220398,108,rel,4215720961,506974063,17,mpeg_seq_ext,0000010c43fc6f91,201c,0000010d43fc7943
205290424,140,rel,4114671686,24994814,-19,mpeg_seq_ext,0000010c43fc6f91,2402,0000010d43fc7743
205598348,140,rel,390072560,595670908,7,pss_pack,0000010c43fc6f92,c900,0000010d43fc7543
607374493,140,rel,382340733,989715226,11,mpeg_seq_ext,0000010c43fc6f8b,2402,0000010d43fc7743
611042987,140,rel,4114671686,430747377,-19,mpeg_seq_ext,0000010c43fc6f91,2402,0000010d43fc7743
1016027280,148,rel,4209960198,931020182,-11,mpeg_seq_ext,0000010c43fc6f85,4805,0000010d43fc7743
173723539,256,rel,661431736,835155275,8,mpeg_seq_ext,0000010c43fc6f8b,2402,0000010d425ff977
180862850,280,rel,420323750,601186600,3,pss_pack,0000010c43fc6f85,4805,0000010d43fc774b
204007976,340,rel,621837753,825845729,-22,mpeg_seq_ext,0000010c43fc6f85,4805,0000010d43fc7761
