bank_id,pos,start,end,size_bytes,support,streams,format_name,duration
BANK_01,140,16296180,16856694,560518,6,1,mpeg,2.4
BANK_01,164,12843068,16856694,4013630,6,1,mpeg,20.96
BANK_02,148,48063314,54355023,6291713,6,1,mpeg,1.5394
BANK_02,148,50194443,54355023,4160584,6,1,mpeg,16.9
BANK_03,136,75260640,78987302,3726666,6,1,mpeg,16.14
BANK_03,148,70953405,78987302,8033901,6,2,mpeg,8.499622
BANK_04,148,104894556,109533195,4638643,6,1,mpeg,3.666156
BANK_05,164,416917131,417852280,935153,6,1,mpeg,5.36
BANK_06,136,419438533,422609257,3170728,4,1,mpeg,16.56
BANK_07,140,436253011,442067494,5814487,6,1,mpeg,23.34
BANK_08,108,443076065,448145427,5069366,6,1,mpeg,20.68
BANK_09,164,461793930,466512796,4718870,6,2,mpeg,18.48
BANK_10,20,484220538,484739865,519331,6,1,mpeg,2.28
BANK_11,140,555337255,572121641,16784390,6,5,mpeg,98.08
BANK_12,136,582678437,592104270,9425837,6,1,mpeg,14.094122
BANK_13,140,606334375,608129660,1795289,7,2,mpeg,95455.637689
BANK_14,164,848054827,853625387,5570564,6,1,mpeg,23.16
BANK_15,108,877660731,877890107,229380,3,1,mpeg,0.96
BANK_16,20,879168063,884050495,4882436,21,1,mpeg,19.8
BANK_17,108,884329027,889932355,5603332,6,1,mpeg,23.76
BANK_17,108,886082115,889932355,3850244,6,1,mpeg,16.76
BANK_18,20,912733413,916466430,3733021,8,2,mpeg,22.68
BANK_19,136,928164629,928623381,458756,3,1,mpeg,1.96
BANK_20,20,968039992,976789048,8749060,8,1,mpeg,55.16
