branch_family,sig8,body_prefix,field_pos_dec,field_pos_hex,bank_id,hits,branch_records,coverage_pct
0000010c43fc6f92|c807,0000010c43fc6f92,c807,20,0x014,BANK_16,15,40,37.5
0000010c43fc6f91|201c,0000010c43fc6f91,201c,108,0x06C,BANK_17,12,31,38.71
0000010c43fc6f92|c900,0000010c43fc6f92,c900,20,0x014,BANK_18,8,61,13.11
0000010c43fc6f91|201c,0000010c43fc6f91,201c,140,0x08C,BANK_13,7,31,22.58
0000010c43fc6f91|201c,0000010c43fc6f91,201c,148,0x094,BANK_03,7,31,22.58
0000010c43fc6f85|4039,0000010c43fc6f85,4039,148,0x094,BANK_02,6,9,66.67
0000010c43fc6f85|4805,0000010c43fc6f85,4805,20,0x014,BANK_20,6,29,20.69
0000010c43fc6f91|201c,0000010c43fc6f91,201c,136,0x088,BANK_03,6,31,19.35
0000010c43fc6f91|201c,0000010c43fc6f91,201c,164,0x0A4,BANK_01,6,31,19.35
0000010c43fc6f92|c807,0000010c43fc6f92,c807,108,0x06C,BANK_08,6,40,15.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,136,0x088,BANK_12,6,40,15.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,140,0x08C,BANK_01,6,40,15.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,140,0x08C,BANK_11,6,40,15.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,164,0x0A4,BANK_05,6,40,15.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,164,0x0A4,BANK_09,6,40,15.0
0000010c43fc6f8b|2402,0000010c43fc6f8b,2402,20,0x014,BANK_16,6,41,14.63
0000010c43fc6f8b|2402,0000010c43fc6f8b,2402,148,0x094,BANK_04,6,41,14.63
0000010c43fc6f91|2402,0000010c43fc6f91,2402,20,0x014,BANK_10,6,53,11.32
0000010c43fc6f91|2402,0000010c43fc6f91,2402,136,0x088,BANK_19,6,53,11.32
0000010c43fc6f91|2402,0000010c43fc6f91,2402,164,0x0A4,BANK_09,6,53,11.32
0000010c43fc6f92|c900,0000010c43fc6f92,c900,140,0x08C,BANK_07,6,61,9.84
0000010c43fc6f92|c900,0000010c43fc6f92,c900,148,0x094,BANK_02,6,61,9.84
0000010c43fc6f92|c900,0000010c43fc6f92,c900,164,0x0A4,BANK_14,6,61,9.84
0000010c43fc6f91|2015,0000010c43fc6f91,2015,20,0x014,BANK_20,4,6,66.67
0000010c43fc6f91|2015,0000010c43fc6f91,2015,136,0x088,BANK_06,4,6,66.67
0000010c43fc6f92|c900,0000010c43fc6f92,c900,20,0x014,BANK_20,4,61,6.56
0000010c43fc6f92|c900,0000010c43fc6f92,c900,164,0x0A4,BANK_12,4,61,6.56
0000010c43fc6ff3|d6cd,0000010c43fc6ff3,d6cd,164,0x0A4,BANK_11,3,3,100.0
0000010c43fc6f85|4805,0000010c43fc6f85,4805,20,0x014,BANK_09,3,29,10.34
0000010c43fc6f91|201c,0000010c43fc6f91,201c,136,0x088,BANK_09,3,31,9.68
0000010c43fc6f91|201c,0000010c43fc6f91,201c,136,0x088,BANK_20,3,31,9.68
0000010c43fc6f91|201c,0000010c43fc6f91,201c,164,0x0A4,BANK_19,3,31,9.68
0000010c43fc6f8b|2402,0000010c43fc6f8b,2402,108,0x06C,BANK_15,3,41,7.32
0000010c43fc6f8b|2402,0000010c43fc6f8b,2402,164,0x0A4,BANK_09,3,41,7.32
0000010c43fc6f91|2402,0000010c43fc6f91,2402,108,0x06C,BANK_08,3,53,5.66
0000010c43fc6f91|2402,0000010c43fc6f91,2402,140,0x08C,BANK_02,3,53,5.66
0000010c43fc6f91|2402,0000010c43fc6f91,2402,148,0x094,BANK_14,3,53,5.66
0000010c43fc6f91|2402,0000010c43fc6f91,2402,164,0x0A4,BANK_11,3,53,5.66
0000010c43fc6f92|c900,0000010c43fc6f92,c900,20,0x014,BANK_09,3,61,4.92
0000010c43fc6f92|c900,0000010c43fc6f92,c900,140,0x08C,BANK_01,3,61,4.92
0000010c43fc6f91|2402,0000010c43fc6f91,2402,136,0x088,BANK_20,2,53,3.77
0000010c43fc6f91|2402,0000010c43fc6f91,2402,140,0x08C,BANK_11,2,53,3.77
0000010c43fc6f8b|201c,0000010c43fc6f8b,201c,136,0x088,BANK_07,1,2,50.0
0000010c43fc6f25|9201,0000010c43fc6f25,9201,140,0x08C,BANK_10,1,4,25.0
0000010c43fc6f92|c807,0000010c43fc6f92,c807,108,0x06C,BANK_17,1,40,2.5
0000010c43fc6f92|c807,0000010c43fc6f92,c807,148,0x094,BANK_03,1,40,2.5
0000010c43fc6f92|c900,0000010c43fc6f92,c900,20,0x014,BANK_19,1,61,1.64
0000010c43fc6f92|c900,0000010c43fc6f92,c900,140,0x08C,BANK_12,1,61,1.64
0000010c43fc6f92|c900,0000010c43fc6f92,c900,148,0x094,BANK_01,1,61,1.64
0000010c43fc6f92|c900,0000010c43fc6f92,c900,164,0x0A4,BANK_11,1,61,1.64
