record_index,record_offset,record_offset_hex,sig8,body_prefix,tail_sig8,branch_family,field_pos_dec,field_pos_hex,cand_off,cand_off_hex,cluster_start,cluster_start_hex,cluster_end,cluster_end_hex,bank_id
179,983831692,0x3AA4148C,0000010c43fc6f25,9201,0000010d43fc8db2,0000010c43fc6f25|9201,140,0x08C,481764615,0x1CB72507,481757162,0x1CB707EA,484739865,0x1CE48B19,BANK_10
5,175267938,0x0A726062,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
24,178965752,0x0AAACCF8,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
91,581020501,0x22A1AB55,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
110,584718315,0x22DA17EB,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
183,985629287,0x3ABF8267,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
203,989310428,0x3AF7ADDC,0000010c43fc6f85,4039,0000010d43fc794b,0000010c43fc6f85|4039,148,0x094,50197062,0x02FDF246,50194443,0x02FDE80B,54355023,0x033D644F,BANK_02
53,200020236,0x0BEC110C,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
56,200568764,0x0BF46FBC,0000010c43fc6f85,4805,0000010d43fc7543,0000010c43fc6f85|4805,20,0x014,462937142,0x1B97DC36,462934777,0x1B97D2F9,466512796,0x1BCE6B9C,BANK_09
71,204007976,0x0C28EA28,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
139,605772799,0x241B5BFF,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
142,606321327,0x2423BAAF,0000010c43fc6f85,4805,0000010d43fc7543,0000010c43fc6f85|4805,20,0x014,462937142,0x1B97DC36,462934777,0x1B97D2F9,466512796,0x1BCE6B9C,BANK_09
157,609760539,0x2458351B,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
245,1010240040,0x3C370A28,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
248,1010784178,0x3C3F57B2,0000010c43fc6f85,4805,0000010d43fc7543,0000010c43fc6f85|4805,20,0x014,462937142,0x1B97DC36,462934777,0x1B97D2F9,466512796,0x1BCE6B9C,BANK_09
266,1014206794,0x3C73914A,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20
174,982198028,0x3A8B270C,0000010c43fc6f8b,201c,0000010d43fc97b2,0000010c43fc6f8b|201c,136,0x088,438952418,0x1A29E1E2,438914568,0x1A294E08,442067494,0x1A596A26,BANK_07
15,177571610,0x0A95871A,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
35,181269256,0x0ACDF308,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
101,583324173,0x22C4D20D,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
