bank_id,union_start,union_end,union_size_bytes,rep_start,rep_end,rep_size_bytes,rep_support,support_sum,num_contributors,positions,streams_max,format_name,duration_hint,human_validated,validation_note
BANK_01,12843068,16856694,4013630,12843068,16856694,4013630,6,12,2,0x8C|0xA4,1,mpeg,20.96,False,
BANK_02,48063314,54355023,6291713,48063314,54355023,6291713,6,12,2,0x94,1,mpeg,1.5394,False,
BANK_03,70953405,78987302,8033901,70953405,78987302,8033901,6,12,2,0x88|0x94,2,mpeg,8.499622,False,
BANK_04,104894556,109533195,4638643,104894556,109533195,4638643,6,6,1,0x94,1,mpeg,3.666156,False,
BANK_05,416917131,417852280,935153,416917131,417852280,935153,6,6,1,0xA4,1,mpeg,5.36,False,
BANK_06,419438533,422609257,3170728,419438533,422609257,3170728,4,4,1,0x88,1,mpeg,16.56,False,
BANK_07,436253011,442067494,5814487,436253011,442067494,5814487,6,6,1,0x8C,1,mpeg,23.34,False,
BANK_08,443076065,448145427,5069366,443076065,448145427,5069366,6,6,1,0x6C,1,mpeg,20.68,False,
BANK_09,461793930,466512796,4718870,461793930,466512796,4718870,6,6,1,0xA4,2,mpeg,18.48,False,
BANK_10,484220538,484739865,519331,484220538,484739865,519331,6,6,1,0x14,1,mpeg,2.28,False,
BANK_11,555337255,572121641,16784390,555337255,572121641,16784390,6,6,1,0x8C,5,mpeg,98.08,False,
BANK_12,582678437,592104270,9425837,582678437,592104270,9425837,6,6,1,0x88,1,mpeg,14.094122,False,
BANK_13,606334375,608129660,1795289,606334375,608129660,1795289,7,7,1,0x8C,2,mpeg,95455.637689,False,
BANK_14,848054827,853625387,5570564,848054827,853625387,5570564,6,6,1,0xA4,1,mpeg,23.16,True,user-confirmed clean challenge preview (cand3)
BANK_15,877660731,877890107,229380,877660731,877890107,229380,3,3,1,0x6C,1,mpeg,0.96,False,
BANK_16,879168063,884050495,4882436,879168063,884050495,4882436,21,21,1,0x14,1,mpeg,19.8,True,user-confirmed clean challenge preview (cand1)
BANK_17,884329027,889932355,5603332,884329027,889932355,5603332,6,12,2,0x6C,1,mpeg,23.76,False,
BANK_18,912733413,916466430,3733021,912733413,916466430,3733021,8,8,1,0x14,2,mpeg,22.68,False,
BANK_19,928164629,928623381,458756,928164629,928623381,458756,3,3,1,0x88,1,mpeg,1.96,False,
BANK_20,968039992,976789048,8749060,968039992,976789048,8749060,8,8,1,0x14,1,mpeg,55.16,False,
