record_index,record_offset,record_offset_hex,sig8,body_prefix,tail_sig8,branch_family,field_pos_dec,field_pos_hex,cand_off,cand_off_hex,cluster_start,cluster_start_hex,cluster_end,cluster_end_hex,bank_id,rule_sig8,rule_body_prefix,rule_field_pos_hex,media_class,content_label,human_label,stage7_output_file,stage7_output_path,stage7_sha256,stage7_duration,stage7_stream_types,hex_start,hex_end,record_content_key
53,200020236,0x0BEC110C,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
71,204007976,0x0C28EA28,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
139,605772799,0x241B5BFF,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
157,609760539,0x2458351B,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
245,1010240040,0x3C370A28,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
266,1014206794,0x3C73914A,0000010c43fc6f85,4805,0000010d43fc7761,0000010c43fc6f85|4805,20,0x014,968506668,0x39BA3D2C,968498744,0x39BA1E38,976789048,0x3A389E38,BANK_20,0000010c43fc6f85,4805,0x014,menu_background_fmv,menu_background_01,Main menu background FMV,menu_background_01_BANK_20_39B31E38_3A389E38.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,55.16,video,0x39B31E38,0x3A389E38,menu_background_01::BANK_20
15,177571610,0x0A95871A,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16,0000010c43fc6f8b,2402,0x014,challenge_preview_fmv,challenge_preview_02,Challenge preview B,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,d7f20dc7abe02b461103d5d95460ad8b08e00217e450845120450f8072b218e3,19.8,video,0x34670A3F,0x34B18A3F,challenge_preview_02::BANK_16
35,181269256,0x0ACDF308,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16,0000010c43fc6f8b,2402,0x014,challenge_preview_fmv,challenge_preview_02,Challenge preview B,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,d7f20dc7abe02b461103d5d95460ad8b08e00217e450845120450f8072b218e3,19.8,video,0x34670A3F,0x34B18A3F,challenge_preview_02::BANK_16
101,583324173,0x22C4D20D,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16,0000010c43fc6f8b,2402,0x014,challenge_preview_fmv,challenge_preview_02,Challenge preview B,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,d7f20dc7abe02b461103d5d95460ad8b08e00217e450845120450f8072b218e3,19.8,video,0x34670A3F,0x34B18A3F,challenge_preview_02::BANK_16
121,587021819,0x22FD3DFB,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16,0000010c43fc6f8b,2402,0x014,challenge_preview_fmv,challenge_preview_02,Challenge preview B,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,d7f20dc7abe02b461103d5d95460ad8b08e00217e450845120450f8072b218e3,19.8,video,0x34670A3F,0x34B18A3F,challenge_preview_02::BANK_16
