field_pos,value_hex,support
0x008,48080983,4
0x014,42B7076E,3
0x014,12440D70,3
0x014,030F7C17,3
0x014,450D7015,3
0x014,462BEB42,3
0x014,1623EBC2,3
0x014,3CE3B656,3
0x014,2BEB4233,3
0x01C,3D94C6B6,3
0x01C,0CB8E8F6,3
0x01C,02520F18,3
0x01C,0928343C,3
0x01C,16B7DE30,3
0x01C,07E7B607,3
0x01C,0FCEBDC9,3
0x020,296C7AAD,3
0x020,06B8370C,3
0x020,21B52D3D,3
0x020,459A19B7,3
0x020,246BC8ED,3
0x024,2002500F,3
0x024,301A8D02,3
0x024,04202C06,3
0x024,42BFCD7A,3
0x024,22D3F60C,3
0x024,0DB7FC4C,1
0x028,19A075CB,3
0x028,3F0BB707,3
0x028,1B6D4FA3,3
0x028,054409D0,3
0x028,00EA9603,3
0x028,0F5CDB03,3
0x028,27E9B785,3
0x088,3775C9CD,3
0x088,1D9A0DC3,3
0x088,3D694A69,3
0x088,0F4F8DD7,3
0x088,0AD1487C,3
0x088,4683013B,2
0x088,36A5B1C5,2
0x088,184683D1,1
0x094,04E8BC3D,3
0x094,3DB8D843,3
0x094,279AD8AD,3
0x094,3DB73974,3
0x094,2C46DB63,3
0x094,2D29B19E,1
0x094,026D0AEC,1
0x0A4,2023E17B,3
0x0A4,2212E42E,3
0x0A4,2D4C8D66,3
0x0A4,371A0DC6,2
0x0A4,36B20FB5,1
0x0A4,2D1B86D1,1
