offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
3473424,0000010c43fc7bbf,d75f,1384538071,3669274305,3550443080,2302461926,1641126548,2434789401,485032149,2453957878,1039217688
3785813,0000010c43fc7b3e,7f8b,1201245055,2509115174,2885110088,4053182913,505077171,616566056,3650500649,4014984268,746774190
11874007,0000010c43fc7bbf,d757,2855098327,3963236991,2833681392,4128281844,3355219234,1554746173,3347368416,148373897,2768616746
79727154,0000010c43fc7bdf,1bb2,3718033947,107139810,1659292105,3140069638,2750814813,1529789545,1364778611,3564364950,1651154421
112473964,0000010c43fc7b9f,f75b,4131609591,3639905712,2929590638,325446379,3210865216,3125182016,4017639732,206598626,1532651008
116478887,0000010c43fc7bbf,830b,3297053571,4096615732,4177714189,1432918608,1593457871,2150647995,2353338114,549627547,657225
171110352,0000010c43fc7b16,643f,3033612132,2195933611,2137998774,3994407284,2672952756,571892579,3730349653,2148544618,1392174797
171899722,0000010c43fc7b16,643f,2949726052,3253839053,3216450267,4155140282,916980314,1160562886,1865179989,537177114,3531042654
172254300,0000010c43fc7b92,c909,3037792713,2396460731,3447548781,3887439743,693978027,573512699,1920721012,2594705673,2218844092
174021144,0000010c43fc7b17,2402,4254728740,2903907503,3874719613,2714104610,1819050926,1046398370,3106253094,1176824979,4081502799
184837259,0000010c43fc7bba,0872,3957355016,3895358077,3332470458,411491669,1550348128,2339969527,134062852,1856488089,2112975358
187829966,0000010c43fc7b92,c900,3584426185,477715436,2910692269,3887439743,693978027,3455451387,61283313,3260490514,21143663
188863092,0000010c43fc7b92,c900,3550871753,474995436,3715998637,4088831871,2494472661,1702592765,2988175689,2290400723,3492900756
190454233,0000010c43fc7b92,c90f,1844711369,4072069773,3201390087,3671048174,2929841651,2072051092,1858348917,619486494,2553762430
191255905,0000010c43fc7b92,c90f,1844711369,1803279640,3748178754,3991363443,3620792953,3485892170,123090914,1195779308,304088122
192124063,0000010c43fc7b92,c900,3584426185,477715436,2910692269,3887439743,693978027,3455451387,61283313,3260490514,21143663
192216374,0000010c43fc7b92,c900,3617980617,2027083118,4215692061,1799356346,3129366223,1849095763,4064340806,1893042308,268631538
409225987,0000010c43fc7bbf,d75f,1384538071,3669274305,3550443080,2302461926,1641126548,2434789401,485032149,2453957878,1039217688
409538376,0000010c43fc7b3e,7f8b,1201245055,2509115174,2885110088,4053182913,505077171,616566056,3650500649,4014984268,746774190
417626570,0000010c43fc7bbf,d757,2855098327,3963236991,2833681392,4128281844,3355219234,1554746173,3347368416,148373897,2768616746
485479717,0000010c43fc7bdf,1bb2,3718033947,107139810,1659292105,3140069638,2750814813,1529789545,1364778611,3564364950,1651154421
518226527,0000010c43fc7b9f,f75b,4131609591,3639905712,2929590638,325446379,3210865216,3125182016,4017639732,206598626,1532651008
522231450,0000010c43fc7bbf,830b,3297053571,4096615732,4177714189,1432918608,1593457871,2150647995,2353338114,549627547,657225
576862915,0000010c43fc7b16,643f,3033612132,2195933611,2137998774,3994407284,2672952756,571892579,3730349653,2148544618,1392174797
577652285,0000010c43fc7b16,643f,2949726052,3253839053,3216450267,4155140282,916980314,1160562886,1865179989,537177114,3531042654
578006863,0000010c43fc7b92,c909,3037792713,2396460731,3447548781,3887439743,693978027,573512699,1920721012,2594705673,2218844092
579773707,0000010c43fc7b17,2402,4254728740,2903907503,3874719613,2714104610,1819050926,1046398370,3106253094,1176824979,4081502799
590589822,0000010c43fc7bba,0872,3957355016,3895358077,3332470458,411491669,1550348128,2339969527,134062852,1856488089,2112975358
593582529,0000010c43fc7b92,c900,3584426185,477715436,2910692269,3887439743,693978027,3455451387,61283313,3260490514,21143663
594615655,0000010c43fc7b92,c900,3550871753,474995436,3715998637,4088831871,2494472661,1702592765,2988175689,2290400723,3492900756
596206796,0000010c43fc7b92,c90f,1844711369,4072069773,3201390087,3671048174,2929841651,2072051092,1858348917,619486494,2553762430
597008468,0000010c43fc7b92,c90f,1844711369,1803279640,3748178754,3991363443,3620792953,3485892170,123090914,1195779308,304088122
597876626,0000010c43fc7b92,c900,3584426185,477715436,2910692269,3887439743,693978027,3455451387,61283313,3260490514,21143663
597968937,0000010c43fc7b92,c900,3617980617,2027083118,4215692061,1799356346,3129366223,1849095763,4064340806,1893042308,268631538
814962090,0000010c43fc7bbf,d75f,1384538071,3669274305,3550443080,2302461926,1641126548,2434789401,3697127609,3259017728,392886766
815272674,0000010c43fc7b3e,7f8b,1201245055,2509115174,2885110088,4053182913,505077171,616566056,3650500649,4014984268,746774190
823316080,0000010c43fc7bbf,d757,2855098327,3963236991,2833681392,4128281844,3355219234,1554746173,3347368416,148373897,2768616746
890665629,0000010c43fc7bdf,1bb2,3718033947,107139810,1659292105,3140069638,2750814813,1529789545,1364778611,3564364950,1651154421
903436918,0000010c43fc7bd2,ebeb,3781684203,3791013102,2843916945,2510248767,1540118162,2893834482,4259868490,1319429915,1819146448
919314326,0000010c43fc7b9f,f75b,4131609591,2978841776,2809260850,922024570,105211572,1913282757,1511738723,584162897,2394070784
923201763,0000010c43fc7b9f,f75b,4131609591,3639905712,2929590638,325446379,3210865216,3125182016,4017639732,206598626,1532651008
926707520,0000010c43fc7b3e,ff5d,452746751,1697254200,1185506908,333766545,3201374688,3332332276,1111887031,1668351072,2734376584
927081032,0000010c43fc7baf,55eb,3702254421,1314603728,750669993,2586129824,2955781789,896307741,824970083,1850247329,3483836591
927184146,0000010c43fc7bbf,830b,3297053571,4096615732,4177714189,1432918608,1593457871,2150647995,2353338114,549627547,657225
927495104,0000010c43fc7b9f,f75b,4131609591,1074140098,778290164,3542160838,3830090444,2925379834,1279454634,113256656,2418806321
981503650,0000010c43fc7b16,643f,3033612132,2195933611,2137998774,3994407284,2672952756,571892579,3730349653,2148544618,1392174797
981735061,0000010c43fc7b92,c900,3584426185,945708012,2948165557,4122801907,1067805544,1172596323,4072728902,891445663,3493293898
982286940,0000010c43fc7b16,643f,2949726052,3253839053,3216450267,4155140282,916980314,1160562886,1865179989,537177114,3531042654
982638640,0000010c43fc7b92,c909,3037792713,2396460731,3447548781,3887439743,693978027,573512699,1920721012,2594705673,2218844092
984182744,0000010c43fc7b16,643f,3033612132,3247552461,3216450267,2069181629,2807300525,2294667480,3541814104,4044505096,1113139581
984390620,0000010c43fc7b17,2402,4254728740,2903907503,3874719613,2714104610,1819050926,1046398370,3106253094,1176824979,4081502799
985183824,0000010c43fc7b92,c909,3037792713,481291637,3111103917,3170300847,2775279861,3831915327,3057414330,1361253110,79357517
995144417,0000010c43fc7bba,0872,3957355016,3895358077,3332470458,411491669,1550348128,2339969527,134062852,1856488089,2112975358
996034862,0000010c43fc7bc2,c900,3651535049,2905204934,1230953327,2884070884,4213792067,3754948096,1851122208,1894249690,3729324393
997248823,0000010c43fc7b92,c90f,1844711369,1803279640,3748178754,3991363443,3620792953,3485892170,123090914,1195779308,304088122
998124538,0000010c43fc7b92,c900,3584426185,477715436,2910692269,3887439743,693978027,3455451387,61283313,3260490514,21143663
998218396,0000010c43fc7b92,c900,3617980617,2027083118,4215692061,1799356346,3129366223,1849095763,4064340806,1893042308,268631538
999148608,0000010c43fc7b92,c900,3550871753,474995436,3715998637,4088831871,2494472661,1702592765,2988175689,2290400723,3492900756
