candidate_file,rank,hint_family_id,hint_content_class,candidate_duration,family_median_duration,duration_delta,codec_match,hint_score
43fc7b_stage30_rank01_pos088_075437E2_078037E2.pss,1,menu_background_family_01,menu_background_fmv,18460.050366,40.43,18419.620366,0,-18419.620366
43fc7b_stage30_rank01_pos088_075437E2_078037E2.pss,1,challenge_preview_family_misc,challenge_preview_fmv,18460.050366,19.008000000000003,18441.042365999998,0,-18441.042365999998
43fc7b_stage30_rank01_pos088_075437E2_078037E2.pss,1,track_menu_preview_family_01,track_menu_preview_fmv,18460.050366,13.088,18446.962366,0,-18446.962366
43fc7b_stage30_rank02_pos0a4_0140A06F_016CA06F.pss,2,challenge_preview_family_misc,challenge_preview_fmv,19.54,19.008000000000003,0.5319999999999965,0,-0.5319999999999965
43fc7b_stage30_rank02_pos0a4_0140A06F_016CA06F.pss,2,track_menu_preview_family_01,track_menu_preview_fmv,19.54,13.088,6.452,0,-6.452
43fc7b_stage30_rank02_pos0a4_0140A06F_016CA06F.pss,2,menu_background_family_01,menu_background_fmv,19.54,40.43,20.89,0,-20.89
43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,3,challenge_preview_family_misc,challenge_preview_fmv,19.4,19.008000000000003,0.3919999999999959,1,99.608
43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,3,track_menu_preview_family_01,track_menu_preview_fmv,19.4,13.088,6.311999999999999,1,93.688
43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,3,menu_background_family_01,menu_background_fmv,19.4,40.43,21.03,1,78.97
43fc7b_stage30_rank04_pos094_24EA9D1E_25169D1E.pss,4,track_menu_preview_family_01,track_menu_preview_fmv,10.58,13.088,2.507999999999999,0,-2.507999999999999
43fc7b_stage30_rank04_pos094_24EA9D1E_25169D1E.pss,4,challenge_preview_family_misc,challenge_preview_fmv,10.58,19.008000000000003,8.428000000000003,0,-8.428000000000003
43fc7b_stage30_rank04_pos094_24EA9D1E_25169D1E.pss,4,menu_background_family_01,menu_background_fmv,10.58,40.43,29.85,0,-29.85
43fc7b_stage30_rank05_pos014_1C4DDAEC_1C79DAEC.pss,5,track_menu_preview_family_01,track_menu_preview_fmv,11.42,13.088,1.6679999999999993,0,-1.6679999999999993
43fc7b_stage30_rank05_pos014_1C4DDAEC_1C79DAEC.pss,5,challenge_preview_family_misc,challenge_preview_fmv,11.42,19.008000000000003,7.588000000000003,0,-7.588000000000003
43fc7b_stage30_rank05_pos014_1C4DDAEC_1C79DAEC.pss,5,menu_background_family_01,menu_background_fmv,11.42,40.43,29.009999999999998,0,-29.009999999999998
43fc7b_stage30_rank06_pos088_03A51BF1_03D11BF1.pss,6,track_menu_preview_family_01,track_menu_preview_fmv,10.32,13.088,2.767999999999999,1,97.232
43fc7b_stage30_rank06_pos088_03A51BF1_03D11BF1.pss,6,challenge_preview_family_misc,challenge_preview_fmv,10.32,19.008000000000003,8.688000000000002,1,91.312
43fc7b_stage30_rank06_pos088_03A51BF1_03D11BF1.pss,6,menu_background_family_01,menu_background_fmv,10.32,40.43,30.11,1,69.89
43fc7b_stage30_rank07_pos014_0660D2E2_068CD2E2.pss,7,track_menu_preview_family_01,track_menu_preview_fmv,15.76,13.088,2.6720000000000006,1,97.328
43fc7b_stage30_rank07_pos014_0660D2E2_068CD2E2.pss,7,challenge_preview_family_misc,challenge_preview_fmv,15.76,19.008000000000003,3.248000000000003,1,96.752
43fc7b_stage30_rank07_pos014_0660D2E2_068CD2E2.pss,7,menu_background_family_01,menu_background_fmv,15.76,40.43,24.67,1,75.33
