field_pos,value_u32,support,plausible_offset
32,3887439743,9,False
36,693978027,9,True
8,1844711369,8,False
8,3584426185,8,False
20,477715436,6,True
28,2910692269,6,False
40,3455451387,6,False
136,61283313,6,True
148,3260490514,6,False
164,21143663,6,True
8,4131609591,5,False
36,3129366223,5,False
8,3037792713,4,False
8,3617980617,4,False
8,3033612132,4,False
20,4072069773,4,False
20,1803279640,4,False
20,2027083118,4,False
28,3201390087,4,False
28,3748178754,4,False
28,4215692061,4,False
28,3216450267,4,False
32,3991363443,4,False
32,1799356346,4,False
32,3671048174,4,False
36,3620792953,4,False
36,2929841651,4,False
40,2072051092,4,False
40,3485892170,4,False
40,1849095763,4,False
136,1858348917,4,False
136,123090914,4,True
136,4064340806,4,False
148,619486494,4,True
148,1195779308,4,True
148,1893042308,4,False
164,2553762430,4,False
164,304088122,4,True
164,268631538,4,True
8,1384538071,3,False
8,2855098327,3,False
8,1201245055,3,True
8,3297053571,3,False
8,3718033947,3,False
8,3957355016,3,False
8,4254728740,3,False
8,2949726052,3,False
8,3550871753,3,False
20,3639905712,3,False
20,4096615732,3,False
20,3963236991,3,False
20,107139810,3,True
20,3669274305,3,False
20,2509115174,3,False
20,2903907503,3,False
20,2396460731,3,False
20,3253839053,3,False
20,2195933611,3,False
20,474995436,3,True
20,3895358077,3,False
28,3550443080,3,False
28,2885110088,3,False
28,1659292105,3,False
28,2833681392,3,False
28,3447548781,3,False
28,2137998774,3,False
28,4177714189,3,False
28,2929590638,3,False
28,3715998637,3,False
28,3332470458,3,False
28,3874719613,3,False
32,2302461926,3,False
32,325446379,3,True
32,4053182913,3,False
32,3140069638,3,False
32,4128281844,3,False
32,4155140282,3,False
32,3994407284,3,False
32,1432918608,3,False
32,2714104610,3,False
32,4088831871,3,False
32,411491669,3,True
36,1641126548,3,False
36,505077171,3,True
36,3355219234,3,False
36,2750814813,3,False
36,916980314,3,True
36,2672952756,3,False
36,1593457871,3,False
36,3210865216,3,False
36,2494472661,3,False
36,1550348128,3,False
36,1819050926,3,False
40,3125182016,3,False
40,2150647995,3,False
40,1554746173,3,False
40,1529789545,3,False
40,2434789401,3,False
40,616566056,3,True
40,1046398370,3,True
40,573512699,3,True
40,1160562886,3,True
40,571892579,3,True
40,1702592765,3,False
40,2339969527,3,False
136,4017639732,3,False
136,2353338114,3,False
136,3730349653,3,False
136,1865179989,3,False
136,3650500649,3,False
136,3347368416,3,False
136,1364778611,3,False
136,2988175689,3,False
136,134062852,3,True
136,1920721012,3,False
136,3106253094,3,False
148,206598626,3,True
148,549627547,3,True
148,2148544618,3,False
148,537177114,3,True
148,4014984268,3,False
148,148373897,3,True
148,3564364950,3,False
148,2290400723,3,False
148,1856488089,3,False
148,2594705673,3,False
148,1176824979,3,True
164,1532651008,3,False
164,657225,3,True
164,1392174797,3,False
164,3531042654,3,False
164,746774190,3,True
164,2768616746,3,False
164,1651154421,3,False
164,3492900756,3,False
164,2112975358,3,False
164,2218844092,3,False
164,4081502799,3,False
136,485032149,2,True
148,2453957878,2,False
164,1039217688,2,True
