candidate_file,rank,sig8,body_prefix,count
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,0000010c43fc7f92,c90f,15
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,0000010c43fc7f92,c909,6
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,0000010c43fc7f92,c90f,15
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,0000010c43fc7f92,c909,6
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,3,0000010c43fc7ff1,c4b6,7
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,0000010c43fc7f92,c909,6
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,0000010c43fc7f92,c90f,6
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,0000010c43fc7f8b,243f,1
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,0000010c43fc7f8b,243f,4
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,0000010c43fc7f92,c909,3
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,6,0000010c43fc7f92,c90f,4
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,0000010c43fc7f92,cc87,6
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,0000010c43fc7fc2,cc87,1
