offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
78301919,0000010c43fc7fb7,4202,756548162,2679448876,1459386539,4061913076,3047639987,3174934649,1297193701,3360747113,1563150943
101531913,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
105673986,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
183222809,0000010c43fc7f92,c90f,1844711369,1932846390,2639511409,3933807514,2118834128,412992966,3695769517,613152257,1839287474
185491568,0000010c43fc7f92,c900,3685089481,1839426657,2044448703,1255657706,2731001470,870113161,3800600702,294798563,2629193814
186423570,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
187177216,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
187263333,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2147319203,3589523103,4254379681,2045484059,3664598535,3488192132
188110389,0000010c43fc7f92,c909,3662154185,2106624,4228757028,3688598977,3573719929,16777401,3662671393,1517893368,2600884969
188483969,0000010c43fc7f92,c90f,1175064521,1836475376,3512108516,1341324990,1760935158,1614783851,1542970538,1840732569,1605772577
189082862,0000010c43fc7f92,c90f,1844711369,3728111459,3084577344,4244232156,442121583,131616745,2944101903,2800107633,16304382
189707255,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,4201498146,929226426,4293152803
189792058,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3988089248,126278610,1848770712
189871595,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
190186641,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
190589186,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
190752340,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
190817879,0000010c43fc7f92,c90f,1175064521,3731754214,1528645742,4292541254,2884078911,4213792067,947086297,3081360769,1239257744
190969411,0000010c43fc7f92,c90f,1175064521,3714976998,1443336795,3219570385,3933856719,2118834128,2335389590,2849992022,1384037933
191338019,0000010c43fc7f92,c90f,1175064521,1836005126,2746027556,2675957117,2715153350,2164102318,3739404717,2002496259,1320625188
191490331,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
192306161,0000010c43fc7f92,c90f,1175064521,2075865496,2903383223,2146270627,2884093343,4213792067,3167064859,3148469633,1454842916
192403086,0000010c43fc7f92,c909,3662154185,2044451725,2377527845,4293146103,2253836171,32920506,1876783715,901491157,4236537417
192849520,0000010c43fc7f8b,243f,918699812,1872476977,460158240,2118053870,2253836251,32920506,616833141,3182677981,4234959634
193216249,0000010c43fc7f92,cc87,922388428,3083722008,3512076178,1341324990,3027951352,2963264053,3314752411,3983436302,2178297097
193392223,0000010c43fc7f92,cc87,922388428,3161321158,1874187649,4176719799,901020382,263233490,4244429912,1400086712,8152191
194134124,0000010c43fc7f92,c90f,1175064521,3688787468,3029674439,4088380271,3027951352,2963264053,578052530,3135620786,588445314
194216134,0000010c43fc7f92,c90f,1844711369,3161320902,937085588,4244232157,442121583,131616745,3121738710,2444261242,1117809630
194291332,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2146270627,3589523103,4254379681,3083778481,1798812986,2178166025
194637206,0000010c43fc7f92,c90f,2381320137,3732305507,937093696,4244232158,442121583,131616745,316838882,2074562159,1873083516
195090840,0000010c43fc7f92,c909,3662154185,3688598977,1756038089,3881794527,1760935153,1614783851,1976413528,3721718464,2356037960
195158242,0000010c43fc7f92,c90f,1175064521,3688787468,3029674441,4088379759,3027951352,2980041269,1216892906,3627775419,3729324313
484054482,0000010c43fc7fb7,4202,756548162,2679448876,1459386539,4061913076,3047639987,3174934649,1297193701,3360747113,1563150943
507284476,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
511426549,0000010c43fc7ff1,c4b6,554874564,3353072161,1539545714,1493198463,260112347,2600116872,1831230230,10002419,1742681935
588975372,0000010c43fc7f92,c90f,1844711369,1932846390,2639511409,3933807514,2118834128,412992966,3695769517,613152257,1839287474
591244131,0000010c43fc7f92,c900,3685089481,1839426657,2044448703,1255657706,2731001470,870113161,3800600702,294798563,2629193814
592176133,0000010c43fc7f92,c90f,1175064521,1836529414,2746027556,2675953021,1135339461,469444957,1278730859,588445262,3492769700
592929779,0000010c43fc7f92,c909,3662154185,3740694115,937093696,4244232157,442121583,131616745,3121738710,2444261242,2121868261
593015896,0000010c43fc7f92,c90f,1175064521,3731754214,2907457902,2147319203,3589523103,4254379681,2045484059,3664598535,3488192132
593862952,0000010c43fc7f92,c909,3662154185,2106624,4228757028,3688598977,3573719929,16777401,3662671393,1517893368,2600884969
594236532,0000010c43fc7f92,c90f,1175064521,1836475376,3512108516,1341324990,1760935158,1614783851,1542970538,1840732569,1605772577
