candidate_file,rank,hint_family_id,hint_content_class,candidate_duration,family_median_duration,duration_delta,codec_match,hint_score
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,challenge_preview_family_misc,challenge_preview_fmv,15.58,20.78,5.200000000000001,0,-5.200000000000001
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,track_menu_preview_family_01,track_menu_preview_fmv,15.58,8.84,6.74,0,-6.74
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,menu_background_family_01,menu_background_fmv,15.58,40.43,24.85,0,-24.85
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,challenge_preview_family_misc,challenge_preview_fmv,,20.78,,1,-899.0
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,menu_background_family_01,menu_background_fmv,,40.43,,1,-899.0
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,track_menu_preview_family_01,track_menu_preview_fmv,,8.84,,1,-899.0
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,3,track_menu_preview_family_01,track_menu_preview_fmv,13.78,8.84,4.9399999999999995,0,-4.9399999999999995
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,3,challenge_preview_family_misc,challenge_preview_fmv,13.78,20.78,7.000000000000002,0,-7.000000000000002
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,3,menu_background_family_01,menu_background_fmv,13.78,40.43,26.65,0,-26.65
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,challenge_preview_family_misc,challenge_preview_fmv,,20.78,,1,-899.0
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,menu_background_family_01,menu_background_fmv,,40.43,,1,-899.0
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,track_menu_preview_family_01,track_menu_preview_fmv,,8.84,,1,-899.0
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,track_menu_preview_family_01,track_menu_preview_fmv,11.56,8.84,2.7200000000000006,1,97.28
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,challenge_preview_family_misc,challenge_preview_fmv,11.56,20.78,9.22,1,90.78
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,menu_background_family_01,menu_background_fmv,11.56,40.43,28.869999999999997,1,71.13
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,6,challenge_preview_family_misc,challenge_preview_fmv,15.3,20.78,5.48,0,-5.48
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,6,track_menu_preview_family_01,track_menu_preview_fmv,15.3,8.84,6.460000000000001,0,-6.460000000000001
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,6,menu_background_family_01,menu_background_fmv,15.3,40.43,25.13,0,-25.13
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,challenge_preview_family_misc,challenge_preview_fmv,,20.78,,1,-899.0
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,menu_background_family_01,menu_background_fmv,,40.43,,1,-899.0
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,track_menu_preview_family_01,track_menu_preview_fmv,,8.84,,1,-899.0
