field_pos,value_u32,support,plausible_offset
8,1175064521,47,True
36,442121583,21,True
40,131616745,21,True
8,3662154185,18,False
20,3731754214,14,False
8,1844711369,13,False
28,937093696,13,True
36,3027951352,13,False
32,4244232157,12,False
20,3688787468,10,False
28,2746027556,10,False
28,2907457902,10,False
32,2146270627,10,False
36,3589523103,10,False
40,4254379681,10,False
136,3121738710,10,False
148,2444261242,10,False
40,1614783851,9,False
40,2963264053,9,False
40,4213792067,8,False
8,922388428,7,True
8,554874564,7,True
20,3353072161,7,False
28,1539545714,7,False
28,1756038089,7,False
32,1493198463,7,False
36,260112347,7,True
40,2600116872,7,False
40,32920506,7,True
136,1831230230,7,False
148,10002419,7,True
164,1742681935,7,False
8,2381320137,6,False
20,3740694115,6,False
20,1836529414,6,False
20,3732305507,6,False
20,3161320902,6,False
20,2075865496,6,False
20,3688598977,6,False
28,3029674439,6,False
28,937085588,6,True
32,2675953021,6,False
32,1341324990,6,False
32,4088380271,6,False
32,3881794527,6,False
32,4244232158,6,False
36,1135339461,6,True
36,1760935153,6,False
36,3933856719,6,False
40,2118834128,6,False
40,469444957,6,True
136,1278730859,6,False
136,316838882,6,True
136,1976413528,6,False
136,3083778481,6,False
148,588445262,6,True
148,2074562159,6,False
148,3721718464,6,False
148,1798812986,6,False
164,3492769700,6,False
164,2356037960,6,False
164,2178166025,6,False
164,2121868261,6,False
164,1873083516,6,False
40,2980041269,5,False
40,2164102318,5,False
8,3685089481,4,False
20,1836005126,4,False
20,3714976998,4,False
20,2044451725,4,False
28,1528645742,4,False
28,2903383223,4,False
28,1443336795,4,False
28,3029674441,4,False
32,2147319203,4,False
32,4292541254,4,False
32,4088379759,4,False
32,2675957117,4,False
32,3219570385,4,False
36,2884078911,4,False
36,2715153350,4,False
36,2253836251,4,False
36,2884093343,4,False
136,2045484059,4,False
136,1216892906,4,True
136,3739404717,4,False
136,947086297,4,True
136,2335389590,4,False
148,3664598535,4,False
148,3627775419,4,False
148,2002496259,4,False
148,3081360769,4,False
148,2849992022,4,False
164,3729324313,4,False
164,3488192132,4,False
164,1117809630,4,True
164,1384037933,4,False
164,1239257744,4,False
164,1320625188,4,False
8,756548162,3,True
8,918699812,3,True
20,3728111459,3,False
20,3083722008,3,False
20,1839426657,3,False
20,2679448876,3,False
20,1932846390,3,False
20,1836475376,3,False
20,1872476977,3,False
20,3161321158,3,False
28,1459386539,3,False
28,1874187649,3,False
28,3512108516,3,False
28,3084577344,3,False
28,2044448703,3,False
28,2639511409,3,False
28,2377527845,3,False
28,3512076178,3,False
28,460158240,3,True
32,4061913076,3,False
32,4293146103,3,False
32,4244232156,3,False
32,1255657706,3,False
32,3933807514,3,False
32,4176719799,3,False
32,2118053870,3,False
36,901020382,3,True
36,2731001470,3,False
36,3047639987,3,False
36,1760935158,3,False
36,2118834128,3,False
36,2253836171,3,False
40,3174934649,3,False
40,412992966,3,True
40,870113161,3,True
40,263233490,3,True
136,1297193701,3,False
136,3800600702,3,False
136,3695769517,3,False
136,3167064859,3,False
136,1542970538,3,False
136,1876783715,3,False
136,4244429912,3,False
136,616833141,3,True
136,2944101903,3,False
136,3314752411,3,False
148,3360747113,3,False
148,294798563,3,True
148,613152257,3,True
148,3148469633,3,False
148,1840732569,3,False
148,901491157,3,True
148,1400086712,3,False
148,3182677981,3,False
148,2800107633,3,False
148,3983436302,3,False
164,1563150943,3,False
164,2629193814,3,False
164,1839287474,3,False
164,1605772577,3,False
164,1454842916,3,False
164,4234959634,3,False
164,8152191,3,True
164,4236537417,3,False
164,16304382,3,True
164,2178297097,3,False
20,2106624,2,True
20,3690360332,2,False
28,4228757028,2,False
28,1453728951,2,False
32,3688598977,2,False
32,3220094673,2,False
36,3573719929,2,False
40,16777401,2,True
136,4201498146,2,False
136,3988089248,2,False
136,3662671393,2,False
136,578052530,2,True
136,1858387317,2,False
136,1658764005,2,False
148,929226426,2,True
148,126278610,2,True
148,1517893368,2,False
148,3135620786,2,False
148,619451552,2,True
148,4135779037,2,False
164,4293152803,2,False
164,1848770712,2,False
164,2600884969,2,False
164,588445314,2,True
164,795845884,2,True
164,455672724,2,True
