record_offset,sig8,body_prefix,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
61440718,0000010c43fc8165,d8ad,1444941277,2462169681,1442966976,3486245342,2762401172,1227996375,2903469002,3132358762
183153405,0000010c43fc8192,c900,928373599,3034147951,3538681086,933145869,1957162092,3644466037,935665990,662716928
183906181,0000010c43fc8192,c900,2611538806,2382011775,2680615893,2712573181,2375524203,464250355,2739929329,2150578075
184679350,0000010c43fc8192,c90f,834109668,3314416443,3751790323,3584146506,2126527920,3475126103,1377069632,3269988480
186101989,0000010c43fc8192,c909,3907026200,469097215,1064167339,1130179067,455853075,2296209135,342507550,24755423
186163010,0000010c43fc8192,c900,3453253335,1836461167,3547069694,933145869,1957161987,2427898321,635921040,3683835970
186361905,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
186590253,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
187458474,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
188199957,0000010c43fc8192,c90f,2553396091,3072069293,2742934911,2680547243,1130179067,462875513,2178263485,671142153
188294294,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
188392103,0000010c43fc8192,cc87,104297325,3816936885,1874571047,4234082996,902995888,3677182125,470706799,105400686
189017992,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,3931680129,673012379,4068478224
189210806,0000010c43fc8192,c900,2268558189,3816936884,1874571251,4175329972,902995888,3182610150,3800159657,26350171
189353637,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
189949211,0000010c43fc8192,c90f,3859574502,1849171291,1459346175,1066127190,2260358134,462875623,1969909214,1231985916
190028548,0000010c43fc8192,c90f,1623649901,3816936885,1874440179,4175329972,902995888,2379211486,2572852155,153997471
