offset,sig8,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
195287425,0000010c43fc86e9,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
195890308,0000010c43fc86e9,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
195954235,0000010c43fc86e9,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
196160710,0000010c43fc86e9,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
196524627,0000010c43fc86e9,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
196598496,0000010c43fc86e9,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
196890762,0000010c43fc86e9,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,1025707560,2496477063
197418381,0000010c43fc86e9,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
197584664,0000010c43fc86e9,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
197931551,0000010c43fc86e9,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
198186576,0000010c43fc86e9,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
601039988,0000010c43fc86e9,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
601642871,0000010c43fc86e9,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
601706798,0000010c43fc86e9,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
601913273,0000010c43fc86e9,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
602277190,0000010c43fc86e9,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
602351059,0000010c43fc86e9,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
602643325,0000010c43fc86e9,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,1025707560,2496477063
603170944,0000010c43fc86e9,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
603337227,0000010c43fc86e9,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
603684114,0000010c43fc86e9,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
603939139,0000010c43fc86e9,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
1005539958,0000010c43fc86e9,3722977106,3174168784,1672152546,1648586511,670797157,1761234934,3157031129,2130325252,4088819821,1863200183,4060940080
1005683021,0000010c43fc86e9,1861488467,2071144575,1816816193,215707343,3735347080,748355324,1856324455,1423389776,2414505483,3896903266,1779121157
1006138454,0000010c43fc86e9,2445460300,3174667455,908440992,2255337319,1070755652,1171488690,3071442787,890066041,4235015998,2757598215,4191906116
1006201978,0000010c43fc86e9,3722977106,3174168784,817265378,641135862,2142363480,2342977380,3927846701,3574808573,3191459803,1839869661,2371537726
1006406939,0000010c43fc86e9,3722977106,1846450623,3285740225,243061211,2462047087,2286228345,2168055239,1201360264,3392386914,3048487336,3006368057
1006767870,0000010c43fc86e9,595953508,2378270574,2243024275,607581398,4267622321,374210505,3872669174,2167065015,3070709248,1138641417,591085342
1006841143,0000010c43fc86e9,2445460300,3449945317,698942853,1824210355,603825712,889006075,3303004362,438841755,1050898190,1138421108,2380808364
1007130993,0000010c43fc86e9,1861488467,3617268607,2070326021,1181014134,1341535997,380725498,1136120481,917127835,3816021339,4178757372,3850798285
1007654588,0000010c43fc86e9,3722977106,3726146792,2983527025,2980165511,2482882098,889006075,3161255961,386058094,2715466328,2023661018,3500291642
1007819638,0000010c43fc86e9,2445427570,3123820724,3079123157,1873737894,1069498335,3021048742,3855065814,1612970534,2120866230,1519508058,1408948940
1008108392,0000010c43fc86e9,1407721298,2378270574,3394636622,217832726,2141970312,2342977380,4160274635,2095780082,1973073797,2386463199,1183891185
1008164955,0000010c43fc86e9,2445460300,3449945325,1722484101,1691907707,4213439814,1479867687,4162542585,2828197524,2370650847,4200637379,3271675611
1008418041,0000010c43fc86e9,1861488467,4123451459,258321191,294251886,4189868991,2337813757,601832665,1094864538,529922134,909485932,2443287661
