field,value_hex,start_hex,end_hex,support,rank_in_field,video_streams,audio_streams,video_codec,width,height,duration_s,family_hint,candidate_file
pos028,34FD27FB,34FD27FB,34FFE7FB,6,1,1,0,mpeg2video,512.0,256.0,0.96,possible_track_or_menu_preview,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos028_34FD27FB_34FFE7FB.pss
pos01c,3625B5A0,3625B5A0,362875A0,3,1,1,0,mpeg2video,512.0,256.0,1.36,possible_track_or_menu_preview,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos01c_3625B5A0_362875A0.pss
pos094,36AA429B,36AA429B,36AD029B,3,4,1,0,mpeg2video,512.0,256.0,1.16,possible_track_or_menu_preview,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos094_36AA429B_36AD029B.pss
pos020,2436F4D6,2436F4D6,2439B4D6,3,3,1,0,,0.0,0.0,1.059633,video_like_nonstandard,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos020_2436F4D6_2439B4D6.pss
pos01c,30B67AE2,30B67AE2,30B93AE2,3,2,1,0,mpeg2video,512.0,256.0,1.0,possible_track_or_menu_preview,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos01c_30B67AE2_30B93AE2.pss
pos094,350D5479,350D5479,35101479,3,1,1,0,mpeg2video,512.0,256.0,0.96,possible_track_or_menu_preview,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos094_350D5479_35101479.pss
pos008,23858764,23858764,23884764,3,1,1,0,,0.0,0.0,0.6,video_like_nonstandard,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos008_23858764_23884764.pss
pos148,3D230E28,3D230E28,3D25CE28,2,4,1,0,,0.0,0.0,0.64,video_like_nonstandard,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos148_3D230E28_3D25CE28.pss
pos01c,29A90585,29A90585,29ABC585,3,3,0,0,,,,,none,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos01c_29A90585_29ABC585.pss
pos01c,0F65AB27,0F65AB27,0F686B27,3,4,0,0,,,,,none,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos01c_0F65AB27_0F686B27.pss
pos020,2636F4F6,2636F4F6,2639B4F6,3,1,0,0,,,,,none,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/__tmp_pos020_2636F4F6_2639B4F6.pss
