domain,hit_count,lane_hint
425425,653,unclassified
43fc65,439,unclassified
423fcf,299,unclassified
425bbf,292,unclassified
43fc6f,282,unclassified
43d041,273,unclassified
43a0c5,253,unclassified
426830,243,unclassified
423fce,224,unclassified
43fc6d,218,unclassified
425bbe,203,unclassified
43e831,196,unclassified
423fc6,189,unclassified
43a0c7,181,unclassified
43a0c6,180,unclassified
423fc7,179,unclassified
424831,170,unclassified
425eff,170,unclassified
423fcd,166,unclassified
43fc98,163,unclassified
425435,163,unclassified
423f88,162,unclassified
43fc67,159,unclassified
423fc8,156,unclassified
423fc9,155,unclassified
423fc5,153,unclassified
425bfe,150,unclassified
423f8b,141,unclassified
423f87,140,unclassified
423fcc,140,unclassified
423f8c,140,unclassified
423f8d,135,unclassified
423fcb,130,unclassified
423f89,126,unclassified
423fca,125,unclassified
425ef7,125,unclassified
4320c7,123,unclassified
426831,123,unclassified
423fc4,114,unclassified
437bfe,112,unclassified
43fc7f,112,unclassified
425ef9,109,unclassified
43d0b1,108,unclassified
423f85,108,unclassified
43a0c2,108,unclassified
423f9f,107,unclassified
423f97,105,unclassified
43fc7d,105,seeded_clean
43fc9a,104,seeded_clean
425bff,103,unclassified
425bfc,103,unclassified
437a98,102,unclassified
42543d,102,unclassified
436831,101,unclassified
423f82,100,unclassified
437ffd,99,unclassified
43d841,98,unclassified
423f96,97,unclassified
423f98,96,unclassified
43d8a1,95,unclassified
423f8f,95,unclassified
423f9c,94,unclassified
43f8cf,94,unclassified
425625,93,unclassified
437ff8,92,unclassified
42d060,92,unclassified
4276c5,91,unclassified
423f86,89,unclassified
437a90,89,unclassified
423f9a,89,unclassified
437cbd,89,unclassified
423f91,88,unclassified
423f99,88,unclassified
423f9b,87,unclassified
43f897,87,unclassified
423f8a,85,unclassified
423f9d,84,unclassified
425ffb,84,unclassified
423f92,84,unclassified
4350b1,83,unclassified
423f9e,82,unclassified
43fc81,81,unclassified
428100,81,unclassified
4350f5,80,unclassified
43f89f,79,unclassified
427681,78,unclassified
423f93,78,unclassified
43f88f,78,unclassified
423f80,77,unclassified
425bf6,76,unclassified
4320c5,75,unclassified
43a085,75,unclassified
423f94,74,unclassified
427634,74,unclassified
423f8e,73,unclassified
425ffd,73,unclassified
423f84,72,unclassified
425b3e,72,unclassified
425bd8,72,unclassified
42bdff,72,unclassified
43a082,71,unclassified
425ff8,71,unclassified
423f95,71,unclassified
423f90,71,unclassified
4358f5,70,unclassified
4350a1,69,unclassified
423f83,68,unclassified
4358a1,68,unclassified
437ffb,67,unclassified
43d8a0,66,unclassified
437cbf,65,unclassified
43fc7b,64,unclassified
43f887,62,unclassified
43e830,61,unclassified
43fc9b,61,seeded_clean
42d098,60,unclassified
4276c4,60,unclassified
434103,58,unclassified
426820,58,unclassified
423f1c,58,unclassified
42e9b5,58,unclassified
425bfd,57,unclassified
437ffc,56,unclassified
437b2d,56,unclassified
425627,56,unclassified
43fc46,56,unclassified
423f24,56,unclassified
43d0b0,55,unclassified
423f81,55,unclassified
4350fd,53,unclassified
425bd0,52,unclassified
43a860,52,unclassified
425efb,52,unclassified
43f87f,52,unclassified
42a86e,51,unclassified
42d062,50,unclassified
42d063,50,unclassified
437bff,49,unclassified
42542b,49,unclassified
437ff9,49,unclassified
43fc71,48,unclassified
423f1e,48,unclassified
43d843,48,unclassified
425bf4,48,unclassified
43fc85,47,unclassified
4321f3,47,unclassified
42d061,47,unclassified
4276d8,47,unclassified
43a0cd,46,unclassified
4358b1,46,unclassified
42760d,46,unclassified
427ba9,46,unclassified
435841,46,unclassified
43a1b0,46,unclassified
423f20,46,unclassified
425cfd,45,unclassified
43a840,45,unclassified
437ff7,45,unclassified
425a90,45,unclassified
425a98,44,unclassified
43fc96,44,selective_scout
439030,44,unclassified
423f16,44,unclassified
43fcc7,44,selective_scout
425635,43,unclassified
43d0a1,43,unclassified
429801,43,unclassified
43d842,43,unclassified
423f00,43,unclassified
437bfc,42,unclassified
425a34,42,unclassified
423f06,42,unclassified
423f36,42,unclassified
42e828,42,unclassified
423f1a,41,unclassified
426821,41,unclassified
43fc9d,41,unclassified
43fcfb,40,unclassified
429063,40,unclassified
42740c,40,unclassified
42563d,39,unclassified
4276c7,39,unclassified
423f26,39,unclassified
423f04,39,unclassified
423f08,39,unclassified
427bbd,39,unclassified
42a876,38,unclassified
437ad0,38,unclassified
429800,38,unclassified
43a2d5,38,unclassified
4358fd,38,unclassified
437cb3,38,unclassified
425b7d,38,unclassified
425ff9,38,unclassified
423f02,38,unclassified
4276c6,38,unclassified
437ff6,38,unclassified
423f28,37,unclassified
435041,37,unclassified
4276bf,37,unclassified
432141,37,unclassified
43a034,37,unclassified
437bf6,37,unclassified
439130,37,unclassified
42487b,36,unclassified
425d7b,36,unclassified
437b5e,36,unclassified
424866,36,unclassified
4276d9,36,unclassified
437ff3,36,unclassified
437ffa,36,unclassified
43418e,36,unclassified
434183,36,unclassified
425a26,36,unclassified
429843,36,unclassified
427ba6,36,unclassified
424873,36,unclassified
426a10,36,unclassified
427ba5,36,unclassified
423f14,35,unclassified
4320c2,35,unclassified
437637,35,unclassified
4382d0,35,unclassified
43e820,35,unclassified
437b2f,35,unclassified
425efa,35,unclassified
43fc84,35,selective_scout
43743f,35,unclassified
43fc86,35,field_aware_promotion
423f0c,34,unclassified
425cfb,34,unclassified
427689,34,unclassified
425cf5,34,unclassified
43900a,34,unclassified
43d043,34,unclassified
43f9c4,33,unclassified
425b5d,33,unclassified
425d7f,33,unclassified
437d7b,33,unclassified
423f0e,32,unclassified
432143,32,unclassified
424821,32,unclassified
424864,32,unclassified
42ac6e,32,unclassified
437cb9,32,unclassified
43b066,32,unclassified
43fc44,32,unclassified
4381c0,32,unclassified
42760c,32,unclassified
4276c3,32,unclassified
425624,31,unclassified
432085,31,unclassified
432082,31,unclassified
423f10,31,unclassified
423f32,31,unclassified
438520,31,unclassified
438280,31,unclassified
427aea,31,unclassified
437d7f,31,unclassified
437bfd,30,unclassified
42d9b5,30,unclassified
4341a3,30,unclassified
425b3d,30,unclassified
42bdee,30,unclassified
4276db,30,unclassified
43f867,30,unclassified
427410,30,unclassified
423f0a,30,unclassified
423f3e,30,unclassified
43f8d7,30,unclassified
42e818,30,unclassified
42ea72,30,unclassified
427ad3,29,unclassified
43fef7,29,unclassified
43d049,29,unclassified
43a1ef,29,unclassified
434180,29,unclassified
438240,29,unclassified
423f2e,29,unclassified
429802,29,unclassified
4276fa,29,unclassified
427b66,29,unclassified
437bd8,29,unclassified
4276c0,28,unclassified
42770e,28,unclassified
425efe,28,unclassified
43fcfd,28,unclassified
43fcfe,28,unclassified
423f2a,28,unclassified
43a2d7,28,unclassified
425b5e,28,unclassified
427b11,28,unclassified
43fc87,28,unclassified
437aec,28,unclassified
426832,28,unclassified
42a84b,28,unclassified
423e90,28,unclassified
423e00,27,unclassified
427d04,27,unclassified
42e995,27,unclassified
43e858,27,unclassified
42bdfd,27,unclassified
43fc82,27,unclassified
437cfb,27,unclassified
43d042,27,unclassified
425b26,27,unclassified
438250,27,unclassified
43f437,27,unclassified
427b7d,27,unclassified
439720,27,unclassified
43fc83,27,unclassified
