record_offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
173548478,0000010c43fc7d92,c900,3601203401,594500539,3144660565,1593637308,3526734970,1812967583,158449400,458666139,455729662,2630413111,2681133907
175186694,0000010c43fc7d92,c900,3584426185,2044451213,3748440835,4227464297,901019742,1036021456,3061036693,3862406923,3957703646,3530010017,39450745
186811565,0000010c43fc7d92,c900,3584426185,3832394523,2107878670,3063906269,2929841651,2542665108,1618297666,1428361974,1117809630,3850653293,2600699853
187552617,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,3691836012,1076601567,2886606007,1149923250,1135032210
187732349,0000010c43fc7d92,c900,3584426185,2396485238,3737047382,4091203519,2494472661,2677771773,1858798501,4178816538,3104378882,650530238,4281475080
188769694,0000010c43fc7d92,c900,3584426185,2396485238,3602829654,4091203519,2494472661,1045925373,2781941001,4226048068,957350084,2821099188,3858815672
189488311,0000010c43fc7d92,c900,3584426185,1205761654,1876912299,2045634399,1255657706,3368797822,3089960868,3880777834,3878043656,457348668,1414279294
189565806,0000010c43fc7d92,c900,3601203401,1205037623,1742694571,2045634399,1255657706,3007168638,3070711351,1071736435,152044253,280604904,2917086055
191180083,0000010c43fc7d92,c900,3584426185,481291756,3179127725,3887439743,693978027,573512699,3085271506,4228472717,3691251841,3840249711,3360610430
191850545,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,481797385,3466566762,1930633220,226514583,3722974570
193029119,0000010c43fc7d92,c900,3584426185,2396485238,3602829654,4091203519,2494472661,1045401085,3384294865,2414147273,3750356800,1080901368,4131816768
193969485,0000010c43fc7d92,c900,3601203401,1205037623,1742694571,2045634399,1255657706,3007168638,3070711351,1071736435,152044253,2465577490,1123186423
194813645,0000010c43fc7d92,c900,3550871753,481242486,3179127725,3887439743,693978027,574036987,1016117777,1923813641,21143663,3972140417,1956865946
579301041,0000010c43fc7d92,c900,3601203401,594500539,3144660565,1593637308,3526734970,1812967583,158449400,458666139,455729662,2630413111,2681133907
580939257,0000010c43fc7d92,c900,3584426185,2044451213,3748440835,4227464297,901019742,1036021456,3061036693,3862406923,3957703646,3530010017,39450745
592564128,0000010c43fc7d92,c900,3584426185,3832394523,2107878670,3063906269,2929841651,2542665108,1618297666,1428361974,1117809630,3850653293,2600699853
593305180,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,3691836012,1076601567,2886606007,1149923250,1135032210
593484912,0000010c43fc7d92,c900,3584426185,2396485238,3737047382,4091203519,2494472661,2677771773,1858798501,4178816538,3104378882,650530238,4281475080
594522257,0000010c43fc7d92,c900,3584426185,2396485238,3602829654,4091203519,2494472661,1045925373,2781941001,4226048068,957350084,2821099188,3858815672
595240874,0000010c43fc7d92,c900,3584426185,1205761654,1876912299,2045634399,1255657706,3368797822,3089960868,3880777834,3878043656,457348668,1414279294
595318369,0000010c43fc7d92,c900,3601203401,1205037623,1742694571,2045634399,1255657706,3007168638,3070711351,1071736435,152044253,280604904,2917086055
596932646,0000010c43fc7d92,c900,3584426185,481291756,3179127725,3887439743,693978027,573512699,3085271506,4228472717,3691251841,3840249711,3360610430
597603108,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,481797385,3466566762,1930633220,226514583,3722974570
598781682,0000010c43fc7d92,c900,3584426185,2396485238,3602829654,4091203519,2494472661,1045401085,3384294865,2414147273,3750356800,1080901368,4131816768
599722048,0000010c43fc7d92,c900,3601203401,1205037623,1742694571,2045634399,1255657706,3007168638,3070711351,1071736435,152044253,2465577490,1123186423
600566208,0000010c43fc7d92,c900,3550871753,481242486,3179127725,3887439743,693978027,574036987,1016117777,1923813641,21143663,3972140417,1956865946
983921745,0000010c43fc7d92,c900,3601203401,594500539,3144660565,1593637308,3526734970,1812967583,158449400,458666139,455729662,2630413111,2681133907
985547353,0000010c43fc7d92,c900,3584426185,2044451213,3748440835,4227464297,901019742,1036021456,3061036693,3862406923,3957703646,3530010017,39450745
997113905,0000010c43fc7d92,c900,3584426185,3832394523,2107878670,3063906269,2929841651,2542665108,1618297666,1428361974,1117809630,4002639801,92315255
997185389,0000010c43fc7d92,c900,3584426185,481291756,3179127725,3887439743,693978027,573512699,3085271506,4228472717,3691251841,1942117563,2724433172
997849595,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,1485057612,2842390060,1782891230,3114197977,3287731325
998027827,0000010c43fc7d92,c900,3584426185,2396485238,3737047382,4091203519,2494472661,2677771773,1858798501,4178816538,3104378882,650530238,4281475080
999056067,0000010c43fc7d92,c900,3584426185,2396485238,3602829654,4091203519,2494472661,1045925373,2781941001,4226048068,957350084,2821099188,3858815672
999769509,0000010c43fc7d92,c900,3584426185,1205761654,1876912299,2045634399,1255657706,3368797822,3089960868,3880777834,3878043656,457348668,1414279294
999846432,0000010c43fc7d92,c900,3601203401,1205037623,1742694571,2045634399,1255657706,3007168638,3070711351,1071736435,152044253,280604904,2917086055
1000627763,0000010c43fc7d92,c900,3550871753,481242486,3179127725,3887439743,693978027,574036987,1016117777,1923813641,21143663,112371184,3134312822
1001384947,0000010c43fc7d92,c900,3584426185,3832394523,2107878670,3063906269,2929841651,2542665108,1618297666,1428361974,1117809630,1999487750,733089280
1001454622,0000010c43fc7d92,c900,3584426185,481291756,3179127725,3887439743,693978027,573512699,3085271506,4228472717,3691251841,3840249711,3360610430
1002119933,0000010c43fc7d92,c900,3617980617,3345693627,1944021163,3169707871,2775279861,3882181439,481797385,3466566762,1930633220,226514583,3722974570
