route_type,window_state,status,content_class,family_id,route_count
pair_only,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,57
pair_only,pair_only_no_window,clean,challenge_preview_fmv,43fc7d_challenge_preview_01,29
field_aware,out_of_bounds,evidence,challenge_preview,challenge_preview_family_misc,13
field_aware,out_of_bounds,clean,track_menu_preview,track_menu_preview_family_01,11
field_aware,routable,clean,track_menu_preview,track_menu_preview_family_01,9
field_aware,routable,evidence,challenge_preview,challenge_preview_family_misc,9
field_aware,routable,rejected,video_like_nonstandard,video_like_nonstandard,6
field_aware,routable,clean,challenge_preview,challenge_preview_family_misc,6
field_aware,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,6
field_aware,out_of_bounds,clean,challenge_preview,challenge_preview_family_misc,3
field_aware,out_of_bounds,soft_clean,track_menu_preview,track_menu_preview_family_01,3
pair_only,pair_only_no_window,rejected,video_like_nonstandard,video_like_nonstandard,3
