family,body_prefix,field,raw_value,normalization_const,normalized_value,window_start,window_end,file,ffprobe_rc,stream_count,codecs,duration,format_name,has_video,has_audio,contact_sheet
43fc86,7243,pos008,2445427570,0x60000000,834814834,834683762,837567346,43fc86_7243_pos008_91C24372_minus_60000000_31C24372.pss,0,1,mpeg2video,,mpeg,True,False,43fc86_7243_pos008_91C24372_minus_60000000_31C24372.png
43fc86,7243,pos014,3123820724,0xa0000000,439466164,439335092,442218676,43fc86_7243_pos014_BA31B8B4_minus_A0000000_1A31B8B4.pss,0,1,mpeg2video,11.64,mpeg,True,False,43fc86_7243_pos014_BA31B8B4_minus_A0000000_1A31B8B4.png
43fc86,7243,pos028,3021048742,0x80000000,873565094,873434022,876317606,43fc86_7243_pos028_B4118BA6_minus_80000000_34118BA6.pss,0,1,mpeg2video,11.96,mpeg,True,False,43fc86_7243_pos028_B4118BA6_minus_80000000_34118BA6.png
43fc86,7243,pos088,3855065814,0xb0000000,902275798,902144726,905028310,43fc86_7243_pos088_E5C7A2D6_minus_B0000000_35C7A2D6.pss,0,1,mpeg2video,17.48,mpeg,True,False,43fc86_7243_pos088_E5C7A2D6_minus_B0000000_35C7A2D6.png
43fc86,7243,pos024,1069498335,0x20000000,532627423,532496351,535379935,43fc86_7243_pos024_3FBF3FDF_minus_20000000_1FBF3FDF.pss,0,1,mpeg1video,15.78,mpeg,True,False,43fc86_7243_pos024_3FBF3FDF_minus_20000000_1FBF3FDF.png
43fc9a,7321,pos020,4003739520,0xd0000000,514078592,513947520,516831104,43fc9a_7321_pos020_EEA43780_minus_D0000000_1EA43780.pss,0,2,"mp2,mpeg2video",,mpeg,True,True,43fc9a_7321_pos020_EEA43780_minus_D0000000_1EA43780.png
43fc9a,7321,pos020,1264352611,0x40000000,190610787,190479715,193363299,43fc9a_7321_pos020_4B5C7D63_minus_40000000_0B5C7D63.pss,0,2,mpeg1video,,mpeg,True,False,43fc9a_7321_pos020_4B5C7D63_minus_40000000_0B5C7D63.png
43fc9a,7321,pos020,1558100056,0x20000000,1021229144,1021098072,1023981656,43fc9a_7321_pos020_5CDEB858_minus_20000000_3CDEB858.pss,0,1,mpeg2video,10.68,mpeg,True,False,43fc9a_7321_pos020_5CDEB858_minus_20000000_3CDEB858.png
43fc9a,7321,pos020,2474588544,0x70000000,595540352,595409280,598292864,43fc9a_7321_pos020_937F3980_minus_70000000_237F3980.pss,0,2,mpeg1video,,mpeg,True,False,43fc9a_7321_pos020_937F3980_minus_70000000_237F3980.png
43fc9a,7321,pos020,2633239968,0x80000000,485756320,485625248,488508832,43fc9a_7321_pos020_9CF40DA0_minus_80000000_1CF40DA0.pss,0,2,"mp2,mpeg1video",11.3,mpeg,True,True,43fc9a_7321_pos020_9CF40DA0_minus_80000000_1CF40DA0.png
43fc9a,7321,pos020,2633812737,0x80000000,486329089,486198017,489081601,43fc9a_7321_pos020_9CFCCB01_minus_80000000_1CFCCB01.pss,0,3,"mp2,mpeg1video",11.9,mpeg,True,True,
43fc9a,7321,pos020,2633812737,0x90000000,217893633,217762561,220646145,43fc9a_7321_pos020_9CFCCB01_minus_90000000_0CFCCB01.pss,0,2,mp3,10.72,mpeg,True,True,
