record_offset,sig8,body_prefix,route_layer,matched_field,field_value,window_start,window_end,window_state,status,content_class,family_id,confidence,semantic_label,source_stage,source_candidate,rationale
173548478,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
175186694,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
186811565,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
187552617,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
187732349,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
188769694,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
189488311,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
189565806,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
191180083,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
191850545,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
193029119,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
193969485,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
194813645,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
579301041,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
580939257,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
592564128,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
593305180,0000010c43fc7d92,c900,pair_only,,,,,pair_only_no_window,clean,track_menu_preview_fmv,track_menu_preview_family_01,high,43fc7d_track_menu_preview_01,stage49,43fc7d,pair_only_integrated_stage53
