sig8,body_prefix,status,content_class,family_id,record_count
0000010c43fc7d92,c900,clean,track_menu_preview_fmv,track_menu_preview_family_01,44
0000010c43fc7d92,c90f,clean,challenge_preview_fmv,43fc7d_challenge_preview_01,29
0000010c43fc86e9,4cc3,clean,challenge_preview,challenge_preview_family_misc,9
0000010c43fc86e9,521f,clean,track_menu_preview,track_menu_preview_family_01,13
0000010c43fc86e9,530f,clean,track_menu_preview,track_menu_preview_family_01,7
0000010c43fc86e9,6487,rejected,video_like_nonstandard,video_like_nonstandard,3
0000010c43fc86e9,7243,soft_clean,challenge_preview,challenge_preview_family_misc,3
0000010c43fc9ae9,71d0,soft_clean,track_menu_preview,track_menu_preview_family_01,5
0000010c43fc9ae9,7321,clean,challenge_preview,challenge_preview_family_misc,6
0000010c43fc9ae9,7321,clean,track_menu_preview,track_menu_preview_family_01,6
0000010c43fc9ae9,7321,deferred_oob,deferred_oob,deferred_oob_43fc9a,1
0000010c43fc9ae9,7321,evidence,track_menu_preview,track_menu_preview_family_01,16
0000010c43fc9ae9,7321,rejected,audio_only,reject_audio_only_family,3
0000010c43fc9ae9,7321,rejected,degraded_video,reject_black_video_family,21
0000010c43fc9ae9,7321,rejected,nonstandard,reject_nonstandard_family,9
0000010c43fc9ae9,7321,soft_clean,challenge_preview,challenge_preview_family_misc,20
0000010c43fc9ae9,7321,soft_clean,track_flythrough_preview,track_flythrough_family_01,10
0000010c43fc9ae9,7321,unresolved,unresolved,unresolved,7
0000010c43fc9b4d,7f94,clean,track_menu_preview_fmv,track_menu_preview_family_01,5
0000010c43fc9bf6,ba01,clean,track_menu_preview_fmv,track_menu_preview_family_01,1
