record_offset,sig8,body_prefix,status,family_id,content_class,routing_result,record_offset_hex
68966,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00010D66
265660,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00040DBC
447457,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0006D3E1
778056,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,000BDF48
1133158,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00114A66
1868899,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,001C8463
1930605,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,001D756D
2267183,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0022982F
3084231,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,002F0FC7
3990595,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,003CE443
4240891,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0040B5FB
5104799,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,004DE49F
5581666,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00552B62
6024836,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,005BEE84
6117662,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,005D591E
6563410,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00642652
6992822,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,006AB3B6
7597666,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0073EE62
8620055,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00838817
8826465,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0086AE61
9345101,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,008E984D
9574459,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0092183B
10368402,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,009E3592
10725334,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00A3A7D6
11539647,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,00B014BF
19677091,0000010c43fc9b4d,7f94,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,012C3FA3
120103137,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0728A0E1
120556372,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,072F8B54
128578709,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,07A9F495
129034696,0000010c43fc9ae9,7321,confirmed_clean,43fc9a_challenge_preview_01,challenge_preview_fmv,seed_pair_match,07B0E9C8
173548478,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0A5823BE
175186694,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0A712306
186744207,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B217D8F
186811565,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B2284AD
187552617,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B2DD369
187643069,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B2F34BD
187732349,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B30917D
188769694,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B40659E
189416077,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B4A428D
189488311,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B4B5CB7
189565806,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B4C8B6E
190107272,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B54CE88
191040091,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B630A5B
191180083,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B652D33
191850545,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B6F6831
191946045,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B70DD3D
193029119,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B8163FF
193810990,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B8D522E
193969485,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B8FBD4D
194547603,0000010c43fc7d92,c90f,confirmed_clean,43fc7d_challenge_preview_01,challenge_preview_fmv,seed_pair_match,0B988F93
194813645,0000010c43fc7d92,c900,confirmed_clean,track_menu_preview_family_01,track_menu_preview_fmv,seed_pair_match,0B9C9ECD
195287425,0000010c43fc86e9,521f,needs_field_resolution,,,ambiguous_43fc86_pair,0BA3D981
195890308,0000010c43fc86e9,4cc3,needs_field_resolution,,,ambiguous_43fc86_pair,0BAD0C84
195954235,0000010c43fc86e9,521f,needs_field_resolution,,,ambiguous_43fc86_pair,0BAE063B
196160710,0000010c43fc86e9,521f,needs_field_resolution,,,ambiguous_43fc86_pair,0BB12CC6
196524627,0000010c43fc86e9,6487,reject_nonstandard,video_like_nonstandard,video_like_nonstandard,seed_pair_match,0BB6BA53
196598496,0000010c43fc86e9,4cc3,needs_field_resolution,,,ambiguous_43fc86_pair,0BB7DAE0
