record_offset,record_offset_hex,sig8,body_prefix,matched_field,content_class,family_id,promoted_status,semantic_label
196598496,0BB7DAE0,0000010c43fc86e9,4cc3,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
197418381,0BC45D8D,0000010c43fc86e9,521f,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
602351059,23E725D3,0000010c43fc86e9,4cc3,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
603170944,23F3A880,0000010c43fc86e9,521f,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
1006841143,3C032D37,0000010c43fc86e9,4cc3,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
1007654588,3C0F96BC,0000010c43fc86e9,521f,pos028,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant
195890308,0BAD0C84,0000010c43fc86e9,4cc3,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview
601642871,23DC5777,0000010c43fc86e9,4cc3,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview
1006138454,3BF87456,0000010c43fc86e9,4cc3,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview
196890762,0BBC508A,0000010c43fc86e9,530f,pos094,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview
602643325,23EB9B7D,0000010c43fc86e9,530f,pos094,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview
1007130993,3C079971,0000010c43fc86e9,530f,pos094,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview
196524627,0BB6BA53,0000010c43fc86e9,6487,pos020,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
602277190,23E60546,0000010c43fc86e9,6487,pos020,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
1006767870,3C020EFE,0000010c43fc86e9,6487,pos020,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
195954235,0BAE063B,0000010c43fc86e9,521f,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview
601706798,23DD512E,0000010c43fc86e9,521f,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview
1006201978,3BF96C7A,0000010c43fc86e9,521f,pos01c,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview
195890308,0BAD0C84,0000010c43fc86e9,4cc3,pos094,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview
601642871,23DC5777,0000010c43fc86e9,4cc3,pos094,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview
1006138454,3BF87456,0000010c43fc86e9,4cc3,pos094,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview
196524627,0BB6BA53,0000010c43fc86e9,6487,pos008,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
602277190,23E60546,0000010c43fc86e9,6487,pos008,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
1006767870,3C020EFE,0000010c43fc86e9,6487,pos008,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload
