field_off,target_value,target_hex,support,branch_count,top_branch,pack_start,pack_start_hex,delta_to_target,probe_video,probe_audio,codec_names,duration,candidate_rank
0x014,168617583,0x0A0CE66F,30,1,0000010c43fc98e9|7321,168483292.0,0x0A0AD9DC,-134291.0,True,True,mp2|mpeg2video,,1.0
0x014,42203643,0x0283F9FB,6,1,0000010c43fc98e9|7321,42084522.0,0x028228AA,-119121.0,True,False,|mpeg1video,,2.0
0x014,473071415,0x1C327F37,6,1,0000010c43fc98e9|7321,472936640.0,0x1C3070C0,-134775.0,True,False,mpeg1video,12.22,3.0
0x014,92765288,0x05877C68,6,1,0000010c43fc98e9|7321,92621605.0,0x05854B25,-143683.0,True,False,mpeg2video,,4.0
0x028,465553883,0x1BBFC9DB,6,1,0000010c43fc98e9|7321,465430652.0,0x1BBDE87C,-123231.0,True,True,mp2|mpeg1video,29630.414889,5.0
0x088,424935487,0x1954003F,6,1,0000010c43fc98e9|7321,424789414.0,0x1951C5A6,-146073.0,True,False,mpeg2video,2969.145489,6.0
0x094,813748443,0x3080D0DB,6,1,0000010c43fc98e9|7321,813625806.0,0x307EF1CE,-122637.0,True,False,mpeg2video,,7.0
0x0A4,447999905,0x1AB3EFA1,6,1,0000010c43fc98e9|7321,447870130.0,0x1AB1F4B2,-129775.0,True,False,|mpeg1video,95431.453467,
0x020,465134003,0x1BB961B3,4,1,0000010c43fc98e9|7321,464753170.0,0x1BB39212,-380833.0,True,True,mp2|mpeg1video,,
0x028,459928182,0x1B69F276,4,1,0000010c43fc98e9|7321,459650270.0,0x1B65B4DE,-277912.0,True,False,mpeg1video,40252.385911,
0x088,140350610,0x085D9492,4,1,0000010c43fc98e9|7321,140059174.0,0x08592226,-291436.0,True,False,mpeg2video,20.92,
0x0A4,10227072,0x009C0D80,4,1,0000010c43fc98e9|7321,10076357.0,0x0099C0C5,-150715.0,True,False,,2971.7136,
0x094,76855297,0x0494B801,3,1,0000010c43fc98e9|7321,76847906.0,0x04949B22,-7391.0,True,False,,,
0x020,467251416,0x1BD9B0D8,2,1,0000010c43fc98e9|7321,467041784.0,0x1BD67DF8,-209632.0,True,False,|mpeg2video,11.64,
0x024,189723644,0x0B4EF3FC,2,1,0000010c43fc98e9|7321,189505978.0,0x0B4BA1BA,-217666.0,True,False,|mpeg1video,28535.067756,
0x028,569216512,0x21ED8E00,2,1,0000010c43fc98e9|7321,568935109.0,0x21E942C5,-281403.0,True,True,mp2|mpeg1video,18.66,
0x088,538160790,0x2013AE96,2,1,0000010c43fc98e9|7321,538039676.0,0x2011D57C,-121114.0,True,False,mpeg1video,17.06,
0x0A4,852044,0x000D004C,2,1,0000010c43fc98e9|7321,676917.0,0x000A5435,-175127.0,True,False,mpeg1video,19.78,
0x01C,765354418,0x2D9E61B2,6,1,0000010c43fc98e9|7321,,,,False,False,,,
0x088,297412645,0x11BA2825,6,1,0000010c43fc98e9|7321,,,,False,False,,,
0x094,701422730,0x29CEDC8A,6,1,0000010c43fc98e9|7321,,,,False,False,,,
0x0A4,380014040,0x16A68DD8,6,1,0000010c43fc98e9|7321,,,,False,False,,,
0x094,725784526,0x2B4297CE,4,1,0000010c43fc98e9|7321,,,,False,False,,,
0x088,289461687,0x1140D5B7,3,1,0000010c43fc98e9|7321,,,,False,False,,,
0x0A4,361560150,0x158CF856,3,1,0000010c43fc98e9|7321,,,,False,False,,,
0x024,804760846,0x2FF7AD0E,2,1,0000010c43fc98e9|7321,,,,False,False,,,
0x088,293828606,0x118377FE,2,1,0000010c43fc98e9|7321,,,,False,False,,,
0x094,688570604,0x290AC0EC,2,1,0000010c43fc98e9|7321,,,,False,False,,,
0x0A4,731576268,0x2B9AF7CC,2,1,0000010c43fc98e9|7321,,,,False,False,,,
