field_off,support,cluster_count,top_values
0x014,48,4,0x0A0CE66F:30|0x0283F9FB:6|0x05877C68:6|0x1C327F37:6
0x088,23,6,0x11BA2825:6|0x1954003F:6|0x085D9492:4|0x1140D5B7:3|0x118377FE:2|0x2013AE96:2
0x0A4,23,6,0x16A68DD8:6|0x1AB3EFA1:6|0x009C0D80:4|0x158CF856:3|0x000D004C:2|0x2B9AF7CC:2
0x094,21,5,0x29CEDC8A:6|0x3080D0DB:6|0x2B4297CE:4|0x0494B801:3|0x290AC0EC:2
0x028,12,3,0x1BBFC9DB:6|0x1B69F276:4|0x21ED8E00:2
0x01C,6,1,0x2D9E61B2:6
0x020,6,2,0x1BB961B3:4|0x1BD9B0D8:2
0x024,4,2,0x0B4EF3FC:2|0x2FF7AD0E:2
0x008,0,0,
0x00C,0,0,
