offset,sig8,body_prefix,pos_008,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
68966,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,402739325,1178634523,1156816569
265660,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969
447457,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855
778056,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3967065300,1636762304,10376199
1133158,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141
1868899,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104
1930605,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602
2267183,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445
3084231,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214
3990595,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150
4240891,0000010c43fc9ae9,7321,1390485875,2126702556,4211577077,2633239968,4233235428,2864894491,273411293,260050752,2011085392
5104799,0000010c43fc9ae9,7321,1390485875,4152668089,2130688446,2474588544,3734295699,928126358,2105746934,17470,997154088
5581666,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2943306712,2124739579,1232585065,731006092,9536529,2767771142
6024836,0000010c43fc9ae9,7321,1390485875,3993624435,3995058389,2010265984,4171568648,1418044727,4134407851,12247559,2962213895
6117662,0000010c43fc9ae9,7321,1390485875,2126698460,3995009238,4003739520,4031458576,1377127023,1273814300,1148977338,2626202072
6563410,0000010c43fc9ae9,7321,1390485875,1835658121,1016188641,1264352611,3253324783,2926463594,3750006941,226511042,1462813879
6992822,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,939042206,2371126693,3239213879,520101760,4139546017
7597666,0000010c43fc9ae9,7321,1390485875,1267142695,1904738114,4207310882,2548013008,2496955091,306345530,546484295,2230900448
8620055,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969
8826465,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855
9345101,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,2708671133,2441362698,2289020263
9574459,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141
10368402,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,574897664,2970577998
10725334,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445
11539647,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,2097202231,3562782265,1636762304
120103137,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268
120556372,0000010c43fc9ae9,7321,1390485875,1032059387,3970766360,1558100056,2950477610,4122840372,2571118124,3160916736,4057422073
127361425,0000010c43fc9ae9,71d0,2851131505,4031490992,1738069247,162754444,2629762174,2610079361,298411683,4114551532,4132845059
128578709,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268
129034696,0000010c43fc9ae9,7321,1390485875,4094486127,2981583456,1507768417,2045099733,1457482660,70947941,1041958480,2914117259
405821528,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,402739325,1178634523,1156816569
406018223,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969
406200020,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855
406530619,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3967065300,1636762304,10376199
406885721,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141
407621462,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104
407683168,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602
408019746,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445
408836794,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214
409743158,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150
