record_offset,sig8,body_prefix,pos020,pos024,pos094,pos0a4
127361425,0000010c43fc9ae9,71d0,162754444,2629762174,4114551532,4132845059
533113988,0000010c43fc9ae9,71d0,162754444,2629762174,4114551532,4132845059
929497332,0000010c43fc9ae9,71d0,162754444,2629762174,4114551532,4132845059
934140139,0000010c43fc9ae9,71d0,162754444,2629762174,4114551532,4132845059
938014466,0000010c43fc9ae9,71d0,162754444,2629762174,4114551532,4132845059
68966,0000010c43fc9ae9,7321,632995377,3774146039,1178634523,1156816569
265660,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
447457,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
778056,0000010c43fc9ae9,7321,3032363422,3863452199,1636762304,10376199
1133158,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
1868899,0000010c43fc9ae9,7321,1312425936,3218342625,63968575,773127104
1930605,0000010c43fc9ae9,7321,4003739520,4031458576,4472320,3698977602
2267183,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
3084231,0000010c43fc9ae9,7321,4119720260,801058721,571046676,2288979214
3990595,0000010c43fc9ae9,7321,4245837791,70811129,2231164,361560150
4240891,0000010c43fc9ae9,7321,2633239968,4233235428,260050752,2011085392
5104799,0000010c43fc9ae9,7321,2474588544,3734295699,17470,997154088
5581666,0000010c43fc9ae9,7321,2943306712,2124739579,9536529,2767771142
6024836,0000010c43fc9ae9,7321,2010265984,4171568648,12247559,2962213895
6117662,0000010c43fc9ae9,7321,4003739520,4031458576,1148977338,2626202072
6563410,0000010c43fc9ae9,7321,1264352611,3253324783,226511042,1462813879
6992822,0000010c43fc9ae9,7321,2633812737,939042206,520101760,4139546017
7597666,0000010c43fc9ae9,7321,4207310882,2548013008,546484295,2230900448
8620055,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
8826465,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
9345101,0000010c43fc9ae9,7321,3184998262,876598009,2441362698,2289020263
9574459,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
10368402,0000010c43fc9ae9,7321,4003739520,4031458576,574897664,2970577998
10725334,0000010c43fc9ae9,7321,1551721276,3922456395,4461302,85835445
11539647,0000010c43fc9ae9,7321,4119720260,801058721,3562782265,1636762304
120103137,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
120556372,0000010c43fc9ae9,7321,1558100056,2950477610,3160916736,4057422073
128578709,0000010c43fc9ae9,7321,1055726563,886042620,2383936821,731576268
129034696,0000010c43fc9ae9,7321,1507768417,2045099733,1041958480,2914117259
405821528,0000010c43fc9ae9,7321,632995377,3774146039,1178634523,1156816569
406018223,0000010c43fc9ae9,7321,3302307782,1314881215,1686212354,3797674969
406200020,0000010c43fc9ae9,7321,3460947712,925218112,115344352,3083836855
406530619,0000010c43fc9ae9,7321,3032363422,3863452199,1636762304,10376199
406885721,0000010c43fc9ae9,7321,1325327616,2052280911,33030392,3983796141
407621462,0000010c43fc9ae9,7321,1312425936,3218342625,63968575,773127104
407683168,0000010c43fc9ae9,7321,4003739520,4031458576,4472320,3698977602
