body_prefix,field,value_u32,count
7321,pos020,4003739520,9
7321,pos024,4031458576,9
7321,pos020,3302307782,6
7321,pos020,4119720260,6
7321,pos024,801058721,6
7321,pos024,1314881215,6
7321,pos094,1686212354,6
7321,pos0a4,3797674969,6
7321,pos020,632995377,4
7321,pos020,3032363422,4
7321,pos020,1507768417,4
7321,pos020,2633812737,4
7321,pos020,3184998262,4
7321,pos024,3774146039,4
7321,pos024,3863452199,4
7321,pos024,876598009,4
7321,pos024,2045099733,4
7321,pos0a4,3698977602,4
7321,pos020,2633239968,3
7321,pos020,4245837791,3
7321,pos020,1312425936,3
7321,pos020,2474588544,3
7321,pos020,1264352611,3
7321,pos020,2010265984,3
7321,pos020,4207310882,3
7321,pos020,2943306712,3
7321,pos020,1558100056,3
7321,pos024,3218342625,3
7321,pos024,70811129,3
7321,pos024,3734295699,3
7321,pos024,4233235428,3
7321,pos024,2124739579,3
7321,pos024,4171568648,3
7321,pos024,939042206,3
7321,pos024,3253324783,3
7321,pos024,2548013008,3
7321,pos024,2950477610,3
7321,pos094,1178634523,3
7321,pos094,1636762304,3
7321,pos094,63968575,3
7321,pos094,4472320,3
7321,pos094,571046676,3
7321,pos094,2231164,3
7321,pos094,260050752,3
7321,pos094,9536529,3
7321,pos094,12247559,3
7321,pos094,520101760,3
7321,pos094,226511042,3
7321,pos094,1041958480,3
7321,pos094,3160916736,3
7321,pos094,546484295,3
7321,pos094,2441362698,3
7321,pos0a4,1156816569,3
7321,pos0a4,773127104,3
7321,pos0a4,2288979214,3
7321,pos0a4,2914117259,3
7321,pos0a4,361560150,3
7321,pos0a4,2011085392,3
7321,pos0a4,2767771142,3
7321,pos0a4,1462813879,3
7321,pos0a4,2289020263,3
7321,pos0a4,2230900448,3
7321,pos0a4,4139546017,3
7321,pos0a4,4057422073,3
7321,pos094,1148977338,2
7321,pos094,17470,2
7321,pos094,3562782265,2
7321,pos094,574897664,2
7321,pos0a4,10376199,2
7321,pos0a4,997154088,2
7321,pos0a4,2962213895,2
7321,pos0a4,2626202072,2
7321,pos0a4,2970577998,2
7321,pos0a4,1636762304,2
7321,pos020,2664495814,1
7321,pos020,3471818174,1
7321,pos020,671052288,1
7321,pos024,1895468660,1
7321,pos024,11008401,1
7321,pos024,3173624103,1
