matched_field,match_value,semantic_label,rationale
pos020,4003739520,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,4031458576,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,3302307782,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,4119720260,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,1314881215,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos094,1686212354,deferred out-of-bounds value cluster pos094,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,3797674969,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,3032363422,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,1507768417,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,2633812737,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,3184998262,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,3774146039,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,3863452199,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,2045099733,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,3698977602,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,2633239968,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,4245837791,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,1312425936,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,2474588544,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,1264352611,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,2010265984,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,4207310882,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,2943306712,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos020,1558100056,deferred out-of-bounds value cluster pos020,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,3218342625,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,3734295699,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,4233235428,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,2124739579,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,4171568648,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,3253324783,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,2548013008,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos024,2950477610,deferred out-of-bounds value cluster pos024,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos094,1636762304,deferred out-of-bounds value cluster pos094,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos094,3160916736,deferred out-of-bounds value cluster pos094,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos094,2441362698,deferred out-of-bounds value cluster pos094,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2288979214,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2914117259,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2011085392,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2767771142,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,1462813879,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2289020263,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,2230900448,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,4139546017,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
pos0a4,4057422073,deferred out-of-bounds value cluster pos0a4,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
