field,value_u32,count,start,end,probe_ok,duration,streams,codecs,video_streams,audio_streams,sheet_ok,size_bytes,bit_rate,widths,key,derived_disposition
pos024,801058721,6,800927649,803811233,False,,0,,0,0,False,,,,pos024|801058721,unclassified
pos020,632995377,4,632864305,635747889,False,,0,,0,0,False,,,,pos020|632995377,rejected_no_video
pos024,876598009,4,876466937,879350521,True,,1,mpeg2video,1,0,True,2883584.0,,512.0,pos024|876598009,soft_clean_challenge_preview
pos024,70811129,3,70680057,73563641,True,35693.933756,2,"mpeg1video,mp2",1,1,True,2883584.0,646.0,512.0,pos024|70811129,rejected_false_positive
pos024,939042206,3,938911134,941794718,True,14.8,1,mpeg2video,1,0,True,2883584.0,1558694.0,512.0,pos024|939042206,soft_clean_track_flythrough_preview
pos094,1178634523,3,1178503451,1181387035,False,,0,,0,0,False,,,,pos094|1178634523,unclassified
pos094,63968575,3,63837503,66721087,True,11.84,2,"mp3,",1,1,False,2883584.0,1948367.0,0.0,pos094|63968575,rejected_nonstable_pos094_cluster
pos094,4472320,3,4341248,7224832,True,15.4,1,mpeg2video,1,0,True,2883584.0,1497965.0,512.0,pos094|4472320,rejected_nonstable_pos094_cluster
pos094,571046676,3,570915604,573799188,True,26722.781322,1,mpeg1video,1,0,True,2883584.0,863.0,512.0,pos094|571046676,rejected_nonstable_pos094_cluster
pos094,2231164,3,2100092,4983676,True,,1,mpeg2video,1,0,True,2883584.0,,512.0,pos094|2231164,rejected_nonstable_pos094_cluster
pos094,260050752,3,259919680,262803264,False,,0,,0,0,False,,,,pos094|260050752,unclassified
pos094,9536529,3,9405457,12289041,True,17.24,1,mp3,0,1,False,2883584.0,1338090.0,,pos094|9536529,rejected_nonstable_pos094_cluster
pos094,12247559,3,12116487,15000071,True,15.08,1,mp3,0,1,False,2883584.0,1529752.0,,pos094|12247559,rejected_nonstable_pos094_cluster
pos094,520101760,3,519970688,522854272,True,15.68,1,mpeg2video,1,0,True,2883584.0,1471216.0,512.0,pos094|520101760,rejected_nonstable_pos094_cluster
pos094,226511042,3,226379970,229263554,False,,0,,0,0,False,,,,pos094|226511042,unclassified
pos094,1041958480,3,1041827408,1044710992,False,,0,,0,0,False,,,,pos094|1041958480,unclassified
pos094,546484295,3,546353223,549236807,True,18.12,2,"mpeg2video,mp2",1,1,True,2883584.0,1273105.0,512.0,pos094|546484295,rejected_nonstable_pos094_cluster
pos0a4,1156816569,3,1156685497,1159569081,False,,0,,0,0,False,,,,pos0a4|1156816569,rejected_no_video
pos0a4,773127104,3,772996032,775879616,False,,0,,0,0,False,,,,pos0a4|773127104,rejected_no_video
pos0a4,361560150,3,361429078,364312662,False,,0,,0,0,False,,,,pos0a4|361560150,rejected_no_video
