record_offset,sig8,body_prefix,matched_field,field_value,window_start,window_end,window_state,status,content_class,family_id,confidence,semantic_label,source_candidate,rationale
68966,0000010c43fc9ae9,7321,pos024,3774146039,3774014967,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos024,value_cluster_pos024_E0F4E5F7,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
265660,0000010c43fc9ae9,7321,pos020,3302307782,3302176710,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_C4D537C6,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
447457,0000010c43fc9ae9,7321,pos024,925218112,925087040,927970624,routable,clean,track_menu_preview,track_menu_preview_family_01,high,Fujitsu Siemens track/menu preview,fujitsu-NORM-43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,visual_confirmed|single_car_sponsor_backdrop
778056,0000010c43fc9ae9,7321,pos020,3032363422,3032232350,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_B4BE319E,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
1133158,0000010c43fc9ae9,7321,pos094,33030392,32899320,35782904,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
1868899,0000010c43fc9ae9,7321,pos020,1312425936,1312294864,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_4E3A07D0,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
1930605,0000010c43fc9ae9,7321,pos020,4003739520,4003608448,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_EEA43780,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
2267183,0000010c43fc9ae9,7321,pos094,4461302,4330230,7213814,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
3084231,0000010c43fc9ae9,7321,pos020,4119720260,4119589188,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_F58DF144,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
3990595,0000010c43fc9ae9,7321,pos020,4245837791,4245706719,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_FD1257DF,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
4240891,0000010c43fc9ae9,7321,pos020,2633239968,2633108896,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_9CF40DA0,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
5104799,0000010c43fc9ae9,7321,pos020,2474588544,2474457472,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_937F3980,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
5581666,0000010c43fc9ae9,7321,pos020,2943306712,2943175640,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_AF6F4BD8,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
6024836,0000010c43fc9ae9,7321,pos020,2010265984,2010134912,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_77D23980,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
6117662,0000010c43fc9ae9,7321,pos020,4003739520,4003608448,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_EEA43780,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
6563410,0000010c43fc9ae9,7321,pos020,1264352611,1264221539,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_4B5C7D63,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
6992822,0000010c43fc9ae9,7321,pos024,939042206,938911134,941794718,routable,soft_clean,track_flythrough_preview,track_flythrough_family_01,medium,GO-overlay track flythrough preview,43fc9a_pos024_37F8A59E_37F6A59E_3822A59E_c3.pss,visual_confirmed|go_overlay|course_flythrough|new_family_candidate
7597666,0000010c43fc9ae9,7321,pos020,4207310882,4207179810,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_FAC67822,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
8620055,0000010c43fc9ae9,7321,pos020,3302307782,3302176710,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_C4D537C6,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
8826465,0000010c43fc9ae9,7321,pos024,925218112,925087040,927970624,routable,clean,track_menu_preview,track_menu_preview_family_01,high,Fujitsu Siemens track/menu preview,fujitsu-NORM-43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,visual_confirmed|single_car_sponsor_backdrop
9345101,0000010c43fc9ae9,7321,pos024,876598009,876466937,879350521,routable,soft_clean,challenge_preview,challenge_preview_family_misc,medium_high,Elf multi-vehicle challenge preview,43fc9a_pos024_343FD2F9_343DD2F9_3469D2F9_c4.pss,visual_confirmed|elf_branding|multi_vehicle_backdrop|duration_missing_but_sheet_clear
9574459,0000010c43fc9ae9,7321,pos094,33030392,32899320,35782904,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
10368402,0000010c43fc9ae9,7321,pos020,4003739520,4003608448,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_EEA43780,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
10725334,0000010c43fc9ae9,7321,pos094,4461302,4330230,7213814,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
11539647,0000010c43fc9ae9,7321,pos020,4119720260,4119589188,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_F58DF144,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
120103137,0000010c43fc9ae9,7321,pos024,886042620,885911548,888795132,routable,clean,challenge_preview,challenge_preview_family_misc,high,challenge preview two-car backdrop,challenge-NORM-43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,visual_confirmed|two_cars_background|challenge_taxonomy
120556372,0000010c43fc9ae9,7321,pos020,1558100056,1557968984,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_5CDEB858,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
127361425,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
128578709,0000010c43fc9ae9,7321,pos024,886042620,885911548,888795132,routable,clean,challenge_preview,challenge_preview_family_misc,high,challenge preview two-car backdrop,challenge-NORM-43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,visual_confirmed|two_cars_background|challenge_taxonomy
129034696,0000010c43fc9ae9,7321,pos020,1507768417,1507637345,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_59DEB861,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
405821528,0000010c43fc9ae9,7321,pos024,3774146039,3774014967,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos024,value_cluster_pos024_E0F4E5F7,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
406018223,0000010c43fc9ae9,7321,pos020,3302307782,3302176710,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_C4D537C6,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
406200020,0000010c43fc9ae9,7321,pos024,925218112,925087040,927970624,routable,clean,track_menu_preview,track_menu_preview_family_01,high,Fujitsu Siemens track/menu preview,fujitsu-NORM-43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,visual_confirmed|single_car_sponsor_backdrop
406530619,0000010c43fc9ae9,7321,pos020,3032363422,3032232350,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_B4BE319E,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
406885721,0000010c43fc9ae9,7321,pos094,33030392,32899320,35782904,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
407621462,0000010c43fc9ae9,7321,pos020,1312425936,1312294864,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_4E3A07D0,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
407683168,0000010c43fc9ae9,7321,pos020,4003739520,4003608448,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_EEA43780,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
408019746,0000010c43fc9ae9,7321,pos094,4461302,4330230,7213814,routable,evidence,track_menu_preview,track_menu_preview_family_01,medium,degraded track/menu preview window,43fc9a_stage24_rank04/05/07_pos094_series,mpeg2video|sane_duration|mostly_black_or_degraded_contact_sheets
