body_prefix,field,value_u32,count
7321,pos020,2664495814,1
7321,pos020,3471818174,1
7321,pos020,671052288,1
7321,pos020,2960083928,1
7321,pos020,2479751540,1
7321,pos020,3891748575,1
7321,pos020,4063168464,1
7321,pos024,1895468660,1
7321,pos024,11008401,1
7321,pos024,3173624103,1
7321,pos024,2124739451,1
7321,pos024,632635576,1
7321,pos024,2194930760,1
7321,pos024,2610068082,1
7321,pos094,273275043,1
7321,pos094,2152251934,1
7321,pos094,4026658817,1
7321,pos094,3825240100,1
7321,pos094,255875068,1
7321,pos094,3355512905,1
7321,pos094,2462879937,1
7321,pos0a4,3780844316,1
7321,pos0a4,3239108442,1
7321,pos0a4,1944562955,1
7321,pos0a4,1930854626,1
7321,pos0a4,3125865475,1
7321,pos0a4,1739481284,1
7321,pos0a4,2898458726,1
