record_offset,sig8,body_prefix,media_id,family_id,content_class,routing_layer,confidence,source_domain
1035389302,0000010c43fc9bf6,ba01,43fc9b_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9b
19677091,0000010c43fc9b4d,7f94,43fc9b_track_menu_preview_02_trimmed,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,medium_high,43fc9b
425429654,0000010c43fc9b4d,7f94,43fc9b_track_menu_preview_02_trimmed,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,medium_high,43fc9b
831071670,0000010c43fc9b4d,7f94,43fc9b_track_menu_preview_02_trimmed,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,medium_high,43fc9b
120103137,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
128578709,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
525855700,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
534331272,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
930794804,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
939221671,0000010c43fc9ae9,7321,43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc9a
447457,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
8826465,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
406200020,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
414579028,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
811950391,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
820289382,0000010c43fc9ae9,7321,43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc9a
187643069,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
191946045,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
593395632,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
597698608,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
997939291,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
1002214599,0000010c43fc7d92,c90f,43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,primary_clean,high,43fc7d
189565806,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
193969485,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
595318369,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
599722048,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
999846432,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
1004221543,0000010c43fc7d92,c900,43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,primary_clean,high,43fc7d
