field,start,support,video,audio,codec,width,height,duration,score
8,168770492,12,1,0,mpeg2video,512.0,256.0,0.76,29
8,168770391,9,1,0,mpeg2video,512.0,256.0,0.76,26
28,928145520,7,1,0,mpeg2video,512.0,256.0,0.88,24
136,928391530,3,1,0,mpeg2video,512.0,256.0,0.96,20
148,222314787,7,1,0,,0.0,0.0,24088.4642,19
164,496998875,4,1,0,,0.0,0.0,0.8,16
148,473911811,4,1,0,,0.0,0.0,1.1e-05,16
140,78689957,3,1,0,,0.0,0.0,0.36,15
148,54364144,9,0,1,,,,0.8,13
164,453550010,9,0,2,,,,0.0,13
140,7035658,6,0,1,,,,1.12,10
148,444628477,6,0,1,,,,0.8,10
140,666813157,9,0,0,,,,0.0,9
8,528145023,3,0,1,,,,0.92,7
36,86135565,3,0,1,,,,0.72,7
8,354302652,5,0,0,,,,0.0,5
8,354317998,5,0,0,,,,0.0,5
20,733439305,5,0,0,,,,0.0,5
28,1175063758,5,0,0,,,,0.0,5
36,1148608191,5,0,0,,,,0.0,5
136,793458688,4,0,0,,,,0.0,4
20,790450886,3,0,0,,,,0.0,3
148,277790481,3,0,0,,,,0.0,3
20,790450902,2,0,0,,,,0.0,2
