pos,in_range,in_range_ratio,aligned16_ratio,aligned0x800_ratio,unique_vals,min_val,max_val,sample_starts
8,392,0.8929,0.9923,0.0,17,612686067,3895788872,3f0080cd3e68312f | be67be0cc403bc0c | 3f0080cd3e68312f
24,288,0.656,0.0312,0.0,40,101798103,4246863984,oor | 8a013169c03a0320 | oor
36,268,0.6105,0.0858,0.0224,65,0,3899045482,9544be5d0cb7cc06 | 7c60d09e4f7a3ba5 | f9a3c83769947a78
40,218,0.4966,0.0046,0.0,65,29944407,4249534902,oor | oor | oor
28,173,0.3941,0.0,0.0,67,24553119,4261269531,oor | oor | oor
84,164,0.3736,0.1341,0.0,117,2388480,3942889399,869e0a7aee403dc5 | oor | oor
328,164,0.3736,0.061,0.0,196,1518912,4276727119,oor | oor | eb67c785d254744b
108,163,0.3713,0.184,0.0245,125,0,4245389675,oor | oor | 000001e00ffa8300
184,162,0.369,0.1173,0.0,158,5774144,4294967295,oor | 6d022327cc00dccf | 0031ba009f97f5c0
68,157,0.3576,0.0064,0.0,81,75872970,4211983192,c47e88524183e3e0 | d612994001f00c18 | oor
156,156,0.3554,0.1026,0.0,153,61272,4263577226,oor | dcac0601f238f8be | 42ae540d000b202f
168,155,0.3531,0.071,0.0,152,1223279,4286939207,oor | oor | oor
120,154,0.3508,0.2208,0.039,130,0,4279256286,2b7fb91801010020 | oor | 03016c2a6cc2544a
56,152,0.3462,0.0855,0.0066,107,0,4256267931,a3b7565c3b065cac | 12ed9b4901c7690e | oor
472,148,0.3371,0.0405,0.0135,211,0,4285234401,44c02a5f76618934 | 10b48acc063e2f19 | oor
444,147,0.3349,0.1565,0.0204,208,32,4294967295,6e1b9cc179501700 | oor | oor
432,146,0.3326,0.0616,0.0137,208,4504065,4258000311,oor | 7f20a445e6ef2423 | bc162afd0c256c06
464,145,0.3303,0.1655,0.0207,209,0,4288347110,5c27000da46e06bb | oor | oor
160,145,0.3303,0.0759,0.0,151,320,4258699413,c90d000002016802 | oor | oor
188,145,0.3303,0.0552,0.0,157,10002419,4289115297,oor | oor | oor
424,145,0.3303,0.0345,0.0069,208,8219,4127201885,oor | 57af2a03a652dc3a | 49a6b233769ab47e
316,144,0.328,0.1597,0.0139,196,0,4285582301,oor | oor | oor
92,144,0.328,0.125,0.0,117,2203865,4270357492,1353bbb8a618be1f | oor | oor
340,144,0.328,0.1042,0.0347,198,0,4277041267,oor | oor | 00001af9f2f5f9fc
204,143,0.3257,0.1049,0.028,165,0,4282568758,oor | 763f29b406000a8c | oor
288,143,0.3257,0.0699,0.014,192,0,4286472063,674e6717ea431006 | oor | oor
356,142,0.3235,0.0986,0.0141,199,0,4275796992,08561528080ab47d | oor | oor
252,142,0.3235,0.0634,0.007,189,0,4213434911,oor | 2a61803e50665158 | 7235d1d65ae01b9a
320,142,0.3235,0.0563,0.0,195,32,4272336173,oor | oor | f51fce1018801896
400,141,0.3212,0.078,0.0355,204,0,4256753222,oor | oor | oor
124,141,0.3212,0.0355,0.0142,138,0,4289462837,oor | oor | oor
484,140,0.3189,0.0571,0.0357,209,0,4269409264,3245e7ad8981bd63 | oor | ee482f3fe48bc446
52,137,0.3121,0.1679,0.0,111,3559508,4057762446,oor | 0e3c273c030a603a | 72ff8e8777ff9387
248,137,0.3121,0.0949,0.0,187,311089,4294548419,oor | 900790000f01ce0d | oor
116,136,0.3098,0.0809,0.0515,131,0,4266042719,f95278db67ef72c9 | oor | oor
492,136,0.3098,0.0809,0.0147,211,1835888,4253307163,0e513a7cb5055c00 | oor | 0b8d90ba3fc96901
388,135,0.3075,0.0889,0.037,205,0,4278845571,oor | 696933a4e4033428 | oor
476,134,0.3052,0.1194,0.0373,209,0,4246143622,oor | oor | oor
428,134,0.3052,0.0672,0.0149,208,1536,4284879310,oor | oor | oor
144,134,0.3052,0.0522,0.0,151,541110,4294967295,oor | 2d0d94a1cbd066ea | 269e4010b25c3a0a
148,134,0.3052,0.0448,0.0,153,7892469,4246418751,oor | 075f9cdf5d4dc0eb | oor
332,133,0.303,0.1579,0.0526,196,0,4290523398,oor | b53568a210a1ce17 | 9d2ae0786e3da028
460,133,0.303,0.1053,0.0376,208,0,4280795475,oor | 80980a00e806003a | oor
228,133,0.303,0.0902,0.0,182,7000840,4135958282,oor | bb85d6f334d70be7 | oor
104,133,0.303,0.0752,0.0075,124,0,4285390618,oor | 1ba3fe5af5a0a471 | 12612a260480f248
60,133,0.303,0.0526,0.0,100,51853927,4099629953,e7419dfec6d16523 | oor | oor
176,131,0.2984,0.1985,0.0076,152,6220634,4294760042,oor | oor | 89be180c9ef80d1c
500,131,0.2984,0.1603,0.0153,211,2183268,4270145591,oor | oor | oor
372,131,0.2984,0.1374,0.0229,202,0,4272385776,oor | oor | oor
480,131,0.2984,0.1069,0.0382,209,0,4253074952,99cc067c398d0600 | oor | oor
440,131,0.2984,0.0687,0.0153,208,0,4294967295,oor | oor | oor
448,131,0.2984,0.0687,0.0,208,90268,4280572056,oor | oor | oor
232,131,0.2984,0.0534,0.0,183,32,4191023380,483fe16d8cbd8201 | oor | oor
392,131,0.2984,0.0229,0.0229,204,0,4270186622,oor | oor | oor
244,129,0.2938,0.1008,0.0,185,11019906,4292654962,oor | oor | oor
100,129,0.2938,0.0775,0.0,121,3080294,4278960345,oor | oor | 4b1b1d5a515e85b5
296,129,0.2938,0.0543,0.0155,194,1,4293330687,oor | 05ed25646ca0b137 | oor
268,128,0.2916,0.1094,0.0,191,1459261,4294967295,oor | oor | 850c26a00fe0ef5e
264,127,0.2893,0.126,0.0,189,67,4294967295,oor | oor | oor
420,127,0.2893,0.1102,0.0236,206,8214,4280674502,oor | oor | oor
348,126,0.287,0.1111,0.0,198,63,4269533382,oor | oor | 283463296861f503
