offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
15601293,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,239138390,2618553782
23571481,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,3115319728,3785996094
182705946,43fc8592,c90f,1175064521,1861487846,3199033781,3822043126,3620792955,1036025418,3487393458,58757100,165672911,3359327854,2475516193
182878322,43fc8592,cc87,922388428,1839717660,2247046858,2671242039,2884603199,4213792067,568765803,1145767,3120890083,1589629378,1907613530
182947172,43fc8592,c900,3617980617,3849253900,3753325996,1878850007,3910818429,3053967439,770141029,2013258834,26492416,568257959,2274813064
183666975,43fc8592,cc87,595953612,930744051,3755389018,4176705919,901053150,263233490,4001810838,100700140,148240335,261934538,1210948045
184226138,43fc8592,cc87,922388428,2007197488,4223022763,3795810767,2929841655,2072051092,3080301786,14688955,50019959,2758548864,3144195026
184537369,43fc858b,321e,2366905906,4287159580,4203586957,4053787757,1869092219,263233298,1231921661,2907450315,4053253165,475792480,1442358340
184981753,43fc8592,c90f,2381320137,3151049624,2103165802,1182973159,1869149629,263233298,1588948619,3234809380,1345642152,3414573114,4145796658
185047302,43fc8592,cc87,595953612,1872590451,696039317,4088353727,3036339960,2963264053,3419385176,1869207698,9735148,3262206960,4230413930
185615520,43fc8592,cc87,922388428,2119687452,1865170548,2134831064,2253840155,32920506,2679414492,3959799159,1702941741,1226709909,3998062166
185673898,43fc8592,cc80,1800634572,4000248844,4015773616,939457771,1947053502,3674467495,3105564251,2527100004,742194174,2996098406,3685531301
185858170,43fc8592,cc87,595953612,1097796814,1865182552,4277955536,229490231,32920546,3382052678,517602579,3745470209,471737255,1827198534
197215314,43fc8592,c909,3712485833,3139142415,516052491,3790052318,2990514367,2286279551,1794224833,3107741682,1050058608,2423710522,3164261190
421353856,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,239138390,2618553782
429324044,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,3115319728,3785996094
588458509,43fc8592,c90f,1175064521,1861487846,3199033781,3822043126,3620792955,1036025418,3487393458,58757100,165672911,3359327854,2475516193
588630885,43fc8592,cc87,922388428,1839717660,2247046858,2671242039,2884603199,4213792067,568765803,1145767,3120890083,1589629378,1907613530
588699735,43fc8592,c900,3617980617,3849253900,3753325996,1878850007,3910818429,3053967439,770141029,2013258834,26492416,568257959,2274813064
589419538,43fc8592,cc87,595953612,930744051,3755389018,4176705919,901053150,263233490,4001810838,100700140,148240335,261934538,1210948045
589978701,43fc8592,cc87,922388428,2007197488,4223022763,3795810767,2929841655,2072051092,3080301786,14688955,50019959,2758548864,3144195026
590289932,43fc858b,321e,2366905906,4287159580,4203586957,4053787757,1869092219,263233298,1231921661,2907450315,4053253165,475792480,1442358340
590734316,43fc8592,c90f,2381320137,3151049624,2103165802,1182973159,1869149629,263233298,1588948619,3234809380,1345642152,3414573114,4145796658
590799865,43fc8592,cc87,595953612,1872590451,696039317,4088353727,3036339960,2963264053,3419385176,1869207698,9735148,3262206960,4230413930
591368083,43fc8592,cc87,922388428,2119687452,1865170548,2134831064,2253840155,32920506,2679414492,3959799159,1702941741,1226709909,3998062166
591426461,43fc8592,cc80,1800634572,4000248844,4015773616,939457771,1947053502,3674467495,3105564251,2527100004,742194174,2996098406,3685531301
