pos,mode,inrange,strong_hits,exact_hits,unique_target_offsets,score,top_matches
108,abs,163,9,6,2,50.371,mpeg_video@0 x6 | pss_pack@1 x3
296,abs,129,1,1,1,8.294,mpeg_sys@0 x1
340,abs,144,3,0,1,7.328,mpeg_video@5 x3
348,abs,126,3,0,1,7.287,pss_pack@6 x3
136,abs,118,3,0,1,7.269,mpeg_video@12 x3
84,rel,90,2,0,2,6.205,pss_pack@1 x2
148,rel,88,2,0,2,6.2,mpeg_video@10 x2
340,rel,81,2,0,2,6.185,pss_pack@12 x2
284,rel,73,2,0,2,6.166,pss_pack@1 x2
484,abs,140,2,0,1,5.319,mpeg_video@3 x2
264,abs,127,2,0,1,5.289,pss_pack@2 x2
292,abs,109,2,0,1,5.248,mpeg_video@5 x2
472,abs,148,1,0,1,3.337,mpeg_video@3 x1
256,abs,118,1,0,1,3.269,pss_pack@2 x1
32,abs,115,1,0,1,3.262,pss_pack@6 x1
424,rel,91,1,0,1,3.207,mpeg_video@8 x1
196,rel,78,1,0,1,3.178,mpeg_video@1 x1
372,rel,75,1,0,1,3.171,mpeg_video@6 x1
264,rel,74,1,0,1,3.169,pss_pack@9 x1
192,rel,73,1,0,1,3.166,mpeg_video@10 x1
292,rel,68,1,0,1,3.155,mpeg_video@7 x1
412,rel,65,1,0,1,3.148,mpeg_video@12 x1
360,rel,64,1,0,1,3.146,mpeg_video@8 x1
376,rel,61,1,0,1,3.139,mpeg_video@9 x1
8,abs,392,0,0,0,0.893,
24,abs,288,0,0,0,0.656,
36,abs,268,0,0,0,0.61,
40,abs,218,0,0,0,0.497,
36,rel,198,0,0,0,0.451,
24,rel,185,0,0,0,0.421,
28,abs,173,0,0,0,0.394,
40,rel,167,0,0,0,0.38,
84,abs,164,0,0,0,0.374,
328,abs,164,0,0,0,0.374,
184,abs,162,0,0,0,0.369,
68,abs,157,0,0,0,0.358,
156,abs,156,0,0,0,0.355,
168,abs,155,0,0,0,0.353,
120,abs,154,0,0,0,0.351,
56,abs,152,0,0,0,0.346,
444,abs,147,0,0,0,0.335,
432,abs,146,0,0,0,0.333,
160,abs,145,0,0,0,0.33,
188,abs,145,0,0,0,0.33,
424,abs,145,0,0,0,0.33,
464,abs,145,0,0,0,0.33,
92,abs,144,0,0,0,0.328,
316,abs,144,0,0,0,0.328,
204,abs,143,0,0,0,0.326,
288,abs,143,0,0,0,0.326,
252,abs,142,0,0,0,0.323,
320,abs,142,0,0,0,0.323,
356,abs,142,0,0,0,0.323,
124,abs,141,0,0,0,0.321,
400,abs,141,0,0,0,0.321,
52,abs,137,0,0,0,0.312,
248,abs,137,0,0,0,0.312,
116,abs,136,0,0,0,0.31,
492,abs,136,0,0,0,0.31,
388,abs,135,0,0,0,0.308,
144,abs,134,0,0,0,0.305,
148,abs,134,0,0,0,0.305,
428,abs,134,0,0,0,0.305,
476,abs,134,0,0,0,0.305,
28,rel,133,0,0,0,0.303,
60,abs,133,0,0,0,0.303,
104,abs,133,0,0,0,0.303,
228,abs,133,0,0,0,0.303,
332,abs,133,0,0,0,0.303,
460,abs,133,0,0,0,0.303,
176,abs,131,0,0,0,0.298,
232,abs,131,0,0,0,0.298,
372,abs,131,0,0,0,0.298,
392,abs,131,0,0,0,0.298,
440,abs,131,0,0,0,0.298,
448,abs,131,0,0,0,0.298,
480,abs,131,0,0,0,0.298,
100,abs,129,0,0,0,0.294,
244,abs,129,0,0,0,0.294,
268,abs,128,0,0,0,0.292,
108,rel,127,0,0,0,0.289,
420,abs,127,0,0,0,0.289,
196,abs,126,0,0,0,0.287,
224,abs,126,0,0,0,0.287,
192,abs,125,0,0,0,0.285,
280,abs,125,0,0,0,0.285,
344,abs,125,0,0,0,0.285,
172,abs,124,0,0,0,0.282,
336,abs,124,0,0,0,0.282,
112,abs,123,0,0,0,0.28,
380,abs,123,0,0,0,0.28,
396,abs,123,0,0,0,0.28,
468,abs,123,0,0,0,0.28,
352,abs,122,0,0,0,0.278,
128,abs,121,0,0,0,0.276,
260,abs,120,0,0,0,0.273,
368,abs,120,0,0,0,0.273,
96,abs,119,0,0,0,0.271,
152,abs,118,0,0,0,0.269,
236,abs,118,0,0,0,0.269,
308,abs,118,0,0,0,0.269,
384,abs,118,0,0,0,0.269,
436,abs,118,0,0,0,0.269,
88,abs,117,0,0,0,0.267,
300,abs,117,0,0,0,0.267,
364,abs,117,0,0,0,0.267,
276,abs,116,0,0,0,0.264,
284,abs,116,0,0,0,0.264,
452,abs,116,0,0,0,0.264,
180,abs,115,0,0,0,0.262,
416,abs,115,0,0,0,0.262,
324,abs,114,0,0,0,0.26,
200,abs,111,0,0,0,0.253,
216,abs,110,0,0,0,0.251,
304,abs,110,0,0,0,0.251,
408,abs,110,0,0,0,0.251,
412,abs,110,0,0,0,0.251,
488,abs,110,0,0,0,0.251,
496,abs,110,0,0,0,0.251,
164,abs,108,0,0,0,0.246,
168,rel,107,0,0,0,0.244,
376,abs,107,0,0,0,0.244,
456,abs,107,0,0,0,0.244,
64,abs,106,0,0,0,0.241,
360,abs,106,0,0,0,0.241,
404,abs,104,0,0,0,0.237,
140,abs,103,0,0,0,0.235,
188,rel,102,0,0,0,0.232,
328,rel,101,0,0,0,0.23,
208,abs,100,0,0,0,0.228,
76,abs,99,0,0,0,0.226,
132,abs,99,0,0,0,0.226,
220,abs,99,0,0,0,0.226,
72,abs,97,0,0,0,0.221,
156,rel,97,0,0,0,0.221,
212,abs,97,0,0,0,0.221,
120,rel,94,0,0,0,0.214,
92,rel,93,0,0,0,0.212,
252,rel,93,0,0,0,0.212,
272,abs,93,0,0,0,0.212,
240,abs,92,0,0,0,0.21,
204,rel,91,0,0,0,0.207,
248,rel,90,0,0,0,0.205,
472,rel,89,0,0,0,0.203,
80,abs,88,0,0,0,0.2,
232,rel,88,0,0,0,0.2,
124,rel,87,0,0,0,0.198,
400,rel,87,0,0,0,0.198,
460,rel,87,0,0,0,0.198,
100,rel,86,0,0,0,0.196,
332,rel,86,0,0,0,0.196,
56,rel,85,0,0,0,0.194,
184,rel,85,0,0,0,0.194,
444,rel,84,0,0,0,0.191,
116,rel,83,0,0,0,0.189,
464,rel,82,0,0,0,0.187,
484,rel,82,0,0,0,0.187,
348,rel,81,0,0,0,0.185,
380,rel,81,0,0,0,0.185,
492,rel,81,0,0,0,0.185,
312,abs,80,0,0,0,0.182,
440,rel,80,0,0,0,0.182,
260,rel,79,0,0,0,0.18,
172,rel,78,0,0,0,0.178,
320,rel,78,0,0,0,0.178,
356,rel,78,0,0,0,0.178,
388,rel,78,0,0,0,0.178,
432,rel,78,0,0,0,0.178,
128,rel,77,0,0,0,0.175,
288,rel,77,0,0,0,0.175,
68,rel,75,0,0,0,0.171,
160,rel,75,0,0,0,0.171,
176,rel,75,0,0,0,0.171,
60,rel,74,0,0,0,0.169,
104,rel,74,0,0,0,0.169,
256,rel,74,0,0,0,0.169,
420,rel,74,0,0,0,0.169,
52,rel,73,0,0,0,0.166,
88,rel,73,0,0,0,0.166,
428,rel,73,0,0,0,0.166,
436,rel,73,0,0,0,0.166,
448,rel,73,0,0,0,0.166,
480,rel,73,0,0,0,0.166,
300,rel,72,0,0,0,0.164,
276,rel,71,0,0,0,0.162,
200,rel,70,0,0,0,0.159,
452,rel,70,0,0,0,0.159,
476,rel,70,0,0,0,0.159,
112,rel,69,0,0,0,0.157,
368,rel,69,0,0,0,0.157,
228,rel,68,0,0,0,0.155,
244,rel,68,0,0,0,0.155,
384,rel,68,0,0,0,0.155,
468,rel,68,0,0,0,0.155,
144,rel,67,0,0,0,0.153,
280,rel,67,0,0,0,0.153,
344,rel,67,0,0,0,0.153,
352,rel,67,0,0,0,0.153,
152,rel,66,0,0,0,0.15,
180,rel,66,0,0,0,0.15,
268,rel,66,0,0,0,0.15,
336,rel,66,0,0,0,0.15,
224,rel,65,0,0,0,0.148,
308,rel,65,0,0,0,0.148,
392,rel,65,0,0,0,0.148,
396,rel,65,0,0,0,0.148,
96,rel,64,0,0,0,0.146,
236,rel,64,0,0,0,0.146,
296,rel,64,0,0,0,0.146,
216,rel,63,0,0,0,0.144,
316,rel,63,0,0,0,0.144,
488,rel,62,0,0,0,0.141,
136,rel,61,0,0,0,0.139,
404,rel,61,0,0,0,0.139,
64,rel,60,0,0,0,0.137,
272,rel,60,0,0,0,0.137,
208,rel,59,0,0,0,0.134,
304,rel,59,0,0,0,0.134,
496,rel,59,0,0,0,0.134,
76,rel,58,0,0,0,0.132,
