start,end,support,unique_records,unique_positions,min_target,max_target,mean_delta,min_delta,max_delta,size,start_hex,end_hex
861489715,865487411,9,9,1,861502621,861502621,12906.0,12906,12906,3997700,0x33594A33,0x33964A33
32947164,36314931,9,9,1,32950284,32950284,3120.0,3120,3120,3367771,0x1F6BBDC,0x22A1F33
1068255766,1068435663,9,9,1,1068326454,1068326454,70688.0,70688,70688,179901,0x3FAC4A16,0x3FAF08CF
29851855,30186252,7,7,2,29910272,29914601,60272.28571428572,58417,62746,334401,0x1C780CF,0x1CC9B0C
7251713,12099717,7,7,1,7265636,7265636,13923.0,13923,13923,4848008,0x6EA701,0xB8A085
187028479,190688727,7,7,1,187030717,187030717,2238.0,2238,2238,3660252,0xB25D3FF,0xB5DADD7
213430281,223718626,6,6,1,213439963,213439963,9682.0,9682,9682,10288349,0xCB8B009,0xD55ACE2
467636925,472605967,6,6,1,467658753,467658753,21828.0,21828,21828,4969046,0x1BDF92BD,0x1C2B650F
916826893,920283917,6,6,1,916827302,916833428,3472.0,409,6535,3457028,0x36A5AB0D,0x36DA6B0D
115336095,117913451,6,6,1,115344352,115344352,8257.0,8257,8257,2577360,0x6DFE39F,0x707376B
1001212479,1005423167,4,4,2,1001215372,1001223392,8908.0,2893,10913,4210692,0x3BAD4A3F,0x3BED8A3F
427812499,430264549,4,4,1,427822976,427822976,10477.0,10477,10477,2452054,0x197FE693,0x19A550E5
960503352,976789048,3,3,1,960505083,960505083,1731.0,1731,1731,16285700,0x39401E38,0x3A389E38
963796536,976789048,3,3,1,963800835,963800835,4299.0,4299,4299,12992516,0x39725E38,0x3A389E38
1022949638,1033829890,3,3,1,1022958113,1022958113,8475.0,8475,8475,10880256,0x3CF8F906,0x3D9EFE02
213133944,223718626,3,3,1,213146614,213146614,12670.0,12670,12670,10584686,0xCB42A78,0xD55ACE2
176166133,186351707,3,3,1,176203675,176203675,37542.0,37542,37542,10185578,0xA8014F5,0xB1B805B
1024309651,1033829890,3,3,1,1024311484,1024311484,1833.0,1833,1833,9520243,0x3D0DB993,0x3D9EFE02
968007224,976789048,3,3,1,968013422,968013422,6198.0,6198,6198,8781828,0x39B29E38,0x3A389E38
166550533,175258633,3,3,1,166563082,166563082,12549.0,12549,12549,8708104,0x9ED5C05,0xA723C09
477086357,484739865,3,3,1,477098445,477098445,12088.0,12088,12088,7653512,0x1C6FC295,0x1CE48B19
1026562277,1033829890,3,3,1,1026578729,1026578729,16452.0,16452,16452,7267617,0x3D3018E5,0x3D9EFE02
574401128,581011196,3,3,1,574402805,574402805,1677.0,1677,1677,6610072,0x223CAA68,0x22A186FC
454196069,460107586,3,3,1,454203112,454203112,7043.0,7043,7043,5911521,0x1B127B65,0x1B6CAF42
6294081,12099717,3,3,1,6307692,6307692,13611.0,13611,13611,5805640,0x600A41,0xB8A085
48575778,54355023,3,3,1,48590757,48590757,14979.0,14979,14979,5779249,0x2E53522,0x33D644F
490747455,496190649,3,3,1,490763121,490763121,15666.0,15666,15666,5443198,0x1D40363F,0x1D9344B9
30963444,36314931,3,3,1,30964779,30964779,1335.0,1335,1335,5351491,0x1D876F4,0x22A1F33
6921631,12099717,3,3,1,6937880,6937880,16249.0,16249,16249,5178090,0x699D9F,0xB8A085
56322476,60760233,3,3,1,56337386,56337386,14910.0,14910,14910,4437761,0x35B69AC,0x39F20A9
462124657,466512796,3,3,1,462139855,462139855,15198.0,15198,15198,4388143,0x1B8B7671,0x1BCE6B9C
924396309,928623381,3,3,1,924407338,924407338,11029.0,11029,11029,4227076,0x37192B15,0x3759AB15
69,3985856,3,3,1,126,126,57.0,57,57,3985791,0x45,0x3CD1C0
182406639,186351707,3,3,1,182412990,182412990,6351.0,6351,6351,3945072,0xADF4DEF,0xB1B805B
182489304,186351707,3,3,1,182504475,182504475,15171.0,15171,15171,3862407,0xAE090D8,0xB1B805B
86615113,90438086,3,3,1,86627149,86627149,12036.0,12036,12036,3822977,0x529A449,0x563F9C6
861899315,865487411,3,3,1,861900073,861900073,758.0,758,758,3588100,0x335F8A33,0x33964A33
820350486,823545366,3,3,1,820355414,820355414,4928.0,4928,4928,3194884,0x30E58E16,0x31164E16
568935109,572121641,3,3,1,568947325,568947325,12216.0,12216,12216,3186536,0x21E942C5,0x2219E229
187622897,190688727,3,3,1,187636415,187636415,13518.0,13518,13518,3065834,0xB2EE5F1,0xB5DADD7
17863698,20805196,3,3,1,17874767,17874767,11069.0,11069,11069,2941502,0x1109412,0x13D764C
9185137,12099717,3,3,1,9189126,9189126,3989.0,3989,3989,2914584,0x8C2771,0xB8A085
