rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class
134756662,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
138638052,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
141150119,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected
540509225,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
544390615,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
546902682,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected
945360561,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
949227606,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
951728946,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected
953155499,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
