cluster_rank,cand_idx,start,end,size,back_shift,end_extend,support,ffmpeg_stderr_len,ffmpeg_line_count,score,ffprobe_ok,format_name,duration,stream_count,stream_types
1,1,861489715,865487411,3997700,0,0,9,94,2,120.712,True,mpeg,17.120000,1,video
1,2,861473331,865487411,4014084,16384,0,9,94,2,120.712,True,mpeg,17.080000,1,video
1,3,861456947,865487411,4030468,32768,0,9,94,2,120.712,True,mpeg,17.240000,1,video
1,4,861440563,865487411,4046852,49152,0,9,94,2,120.712,True,mpeg,17.200000,1,video
2,1,32947164,36314931,3367771,0,0,9,5798,109,103.954,True,mpeg,14.160000,1,video
2,2,32930631,36314931,3384304,16533,0,9,5672,106,104.356,True,mpeg,14.160000,1,video
2,3,32814924,36314931,3500011,132240,0,9,6250,115,102.75,True,mpeg,14.520000,1,video
2,4,32798378,36314931,3516557,148786,0,9,6200,114,102.9,True,mpeg,14.520000,1,video
4,1,29851855,30186252,334401,0,0,7,4092,45,108.566,True,mpeg,24060.988022,1,audio
4,2,29835313,30186252,350943,16542,0,7,4092,45,108.566,True,mpeg,24060.988022,1,audio
4,3,29818775,30186252,367481,33080,0,7,4276,47,108.098,True,mpeg,24060.988022,1,audio
4,4,29802245,30186252,384011,49610,0,7,158,3,118.534,True,mpeg,24061.028022,1,video
5,1,7251713,12099717,4848008,0,0,7,3144,59,109.762,True,mpeg,4.672122,1,video
5,2,7235214,12099717,4864507,16499,0,7,3144,59,109.762,True,mpeg,4.752122,1,video
5,3,7218671,12099717,4881050,33042,0,7,3144,59,109.762,True,mpeg,4.992122,1,video
5,4,7202243,12099717,4897478,49470,0,7,3204,60,109.592,True,mpeg,4.912122,1,video
7,1,213430281,223718626,10288349,0,0,6,8897,148,128.806,True,mpeg,27765.702633,4,"audio,video"
7,2,213430281,227475569,14045292,0,3756943,6,15700,267,205.25,True,mpeg,63432.553766,12,"audio,video"
7,3,213413976,223718626,10304654,16305,0,6,9156,151,128.138,True,mpeg,27765.702633,4,"audio,video"
7,4,213413976,227475569,14061597,16305,3756943,6,15914,269,204.722,True,mpeg,63432.553766,12,"audio,video"
7,5,213397793,223718626,10320837,32488,0,6,192107,2091,-334.764,True,mpeg,95482.877689,4,audio
7,6,213397793,227475569,14077780,32488,3756943,6,228539,2487,-331.428,True,mpeg,95482.877689,12,"audio,video"
7,7,213381260,223718626,10337370,49021,0,6,192843,2099,-336.636,True,mpeg,95482.997689,4,audio
7,8,213381260,227475569,14094313,49021,3756943,6,229275,2495,-333.3,True,mpeg,95482.997689,12,"audio,video"
