rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class
98119841,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
101362528,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
105480240,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
135417625,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
135648946,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687,aggressive_blob
139850194,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
503872404,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
507115091,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
511232803,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
541170188,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
541401509,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687,aggressive_blob
545602757,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
908927229,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
912159860,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
915212196,256,36207360,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,3276729,-295.635,ffprobe_only
916258656,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
946021097,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
946251384,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687,aggressive_blob
950434181,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
