rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class
95057330,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
98703425,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
102080325,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
104429196,256,9418629,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,2166916,-154.754,safe_playable
134463422,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
134604342,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
136355280,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
140652595,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
140891925,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619,safe_playable
500809893,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
504455988,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
507832888,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
510181759,256,9418629,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,2166916,-154.754,safe_playable
540215985,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
540356905,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
542107843,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
546405158,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
546644488,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619,safe_playable
905888616,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
909512894,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
912874311,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
942622176,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
945069609,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
945209494,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
946954467,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
951233573,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
951471901,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619,safe_playable
