rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class,stage6_class
98119841,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
101362528,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
105480240,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
134756662,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected,rejected_nonplayable
138638052,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected,rejected_nonplayable
141150119,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected,rejected_nonplayable
503872404,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
507115091,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
511232803,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
540509225,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected,rejected_nonplayable
544390615,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected,rejected_nonplayable
546902682,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected,rejected_nonplayable
908927229,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
912159860,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
915212196,256,36207360,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,3243669,-295.635,ffprobe_only,rejected_nonplayable
916258656,108,32950284,2,rank02_01F6FC6B_022A1F33.pss,32963691,36314931,-13407,101.957,ffprobe_only,rejected_nonplayable
945360561,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected,rejected_nonplayable
949227606,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected,rejected_nonplayable
951728946,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected,rejected_nonplayable
953155499,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected,rejected_nonplayable
