record_offset,route_count,statuses,classes,fields,any_routable
19677091,1,clean,track_menu_preview_fmv,,False
173548478,1,clean,track_menu_preview_fmv,,False
175186694,1,clean,track_menu_preview_fmv,,False
186744207,1,clean,challenge_preview_fmv,,False
186811565,1,clean,track_menu_preview_fmv,,False
187552617,1,clean,track_menu_preview_fmv,,False
187643069,1,clean,challenge_preview_fmv,,False
187732349,1,clean,track_menu_preview_fmv,,False
188769694,1,clean,track_menu_preview_fmv,,False
189416077,1,clean,challenge_preview_fmv,,False
189488311,1,clean,track_menu_preview_fmv,,False
189565806,1,clean,track_menu_preview_fmv,,False
190107272,1,clean,challenge_preview_fmv,,False
191040091,1,clean,challenge_preview_fmv,,False
191180083,1,clean,track_menu_preview_fmv,,False
191850545,1,clean,track_menu_preview_fmv,,False
191946045,1,clean,challenge_preview_fmv,,False
193029119,1,clean,track_menu_preview_fmv,,False
193810990,1,clean,challenge_preview_fmv,,False
193969485,1,clean,track_menu_preview_fmv,,False
194547603,1,clean,challenge_preview_fmv,,False
194813645,1,clean,track_menu_preview_fmv,,False
195287425,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,False
195890308,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,True
195954235,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,True
196160710,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,False
196524627,3,rejected,video_like_nonstandard,pos008|pos020,True
196598496,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,True
196890762,2,clean,track_menu_preview|track_menu_preview_fmv,pos094,True
197418381,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,True
197931551,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,False
198186576,2,clean,track_menu_preview|track_menu_preview_fmv,pos094,True
425429654,1,clean,track_menu_preview_fmv,,False
579301041,1,clean,track_menu_preview_fmv,,False
580939257,1,clean,track_menu_preview_fmv,,False
592496770,1,clean,challenge_preview_fmv,,False
592564128,1,clean,track_menu_preview_fmv,,False
593305180,1,clean,track_menu_preview_fmv,,False
593395632,1,clean,challenge_preview_fmv,,False
593484912,1,clean,track_menu_preview_fmv,,False
594522257,1,clean,track_menu_preview_fmv,,False
595168640,1,clean,challenge_preview_fmv,,False
595240874,1,clean,track_menu_preview_fmv,,False
595318369,1,clean,track_menu_preview_fmv,,False
595859835,1,clean,challenge_preview_fmv,,False
596792654,1,clean,challenge_preview_fmv,,False
596932646,1,clean,track_menu_preview_fmv,,False
597603108,1,clean,track_menu_preview_fmv,,False
597698608,1,clean,challenge_preview_fmv,,False
598781682,1,clean,track_menu_preview_fmv,,False
599563553,1,clean,challenge_preview_fmv,,False
599722048,1,clean,track_menu_preview_fmv,,False
600300166,1,clean,challenge_preview_fmv,,False
600566208,1,clean,track_menu_preview_fmv,,False
601039988,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,False
601642871,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,True
601706798,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,True
601913273,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,False
602277190,3,rejected,video_like_nonstandard,pos008|pos020,True
602351059,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,True
602643325,2,clean,track_menu_preview|track_menu_preview_fmv,pos094,True
603170944,2,clean|evidence,challenge_preview|track_menu_preview,pos01c|pos028,True
603684114,3,clean|evidence|soft_clean,challenge_preview|track_menu_preview,pos01c|pos028|pos094,False
603939139,2,clean,track_menu_preview|track_menu_preview_fmv,pos094,True
826925893,1,clean,track_menu_preview_fmv,,False
831071670,1,clean,track_menu_preview_fmv,,False
834864348,1,clean,track_menu_preview_fmv,,False
983921745,1,clean,track_menu_preview_fmv,,False
985547353,1,clean,track_menu_preview_fmv,,False
997047000,1,clean,challenge_preview_fmv,,False
997113905,1,clean,track_menu_preview_fmv,,False
997185389,1,clean,track_menu_preview_fmv,,False
997849595,1,clean,track_menu_preview_fmv,,False
997939291,1,clean,challenge_preview_fmv,,False
998027827,1,clean,track_menu_preview_fmv,,False
998952694,1,clean,challenge_preview_fmv,,False
999056067,1,clean,track_menu_preview_fmv,,False
999697539,1,clean,challenge_preview_fmv,,False
999769509,1,clean,track_menu_preview_fmv,,False
999846432,1,clean,track_menu_preview_fmv,,False
999918278,1,clean,challenge_preview_fmv,,False
1000384078,1,clean,challenge_preview_fmv,,False
1000544760,1,clean,challenge_preview_fmv,,False
1000627763,1,clean,track_menu_preview_fmv,,False
1001315591,1,clean,challenge_preview_fmv,,False
1001384947,1,clean,track_menu_preview_fmv,,False
1001454622,1,clean,track_menu_preview_fmv,,False
1002119933,1,clean,track_menu_preview_fmv,,False
1002214599,1,clean,challenge_preview_fmv,,False
1002306855,1,clean,track_menu_preview_fmv,,False
1003199231,1,clean,challenge_preview_fmv,,False
1003288425,1,clean,track_menu_preview_fmv,,False
1004064069,1,clean,challenge_preview_fmv,,False
1004141174,1,clean,track_menu_preview_fmv,,False
1004221543,1,clean,track_menu_preview_fmv,,False
1004303718,1,clean,challenge_preview_fmv,,False
1004794990,1,clean,challenge_preview_fmv,,False
1005058785,1,clean,track_menu_preview_fmv,,False
