rule_type,sig8,body_prefix,matched_field,field_offset,content_class,family_id,confidence,status,semantic_label,source_candidates
field_aware,0000010c43fc86e9,4cc3,pos01c,28,track_menu_preview,track_menu_preview_family_01,high,soft_clean,Elf track/menu preview,43fc86_stage41_rank02_pos01c_3625B5A0_362875A0.pss
field_aware,0000010c43fc86e9,4cc3,pos028,40,challenge_preview,challenge_preview_family_misc,medium,evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
field_aware,0000010c43fc86e9,4cc3,pos094,148,challenge_preview,challenge_preview_family_misc,high,clean,Chevreuse challenge preview,43fc86_stage41_rank06_pos094_350D5479_35101479.pss
field_aware,0000010c43fc86e9,521f,pos01c,28,track_menu_preview,track_menu_preview_family_01,high,clean,Bago track/menu preview,43fc86_stage41_rank05_pos01c_30B67AE2_30B93AE2.pss
field_aware,0000010c43fc86e9,521f,pos028,40,challenge_preview,challenge_preview_family_misc,medium,evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
field_aware,0000010c43fc86e9,530f,pos094,148,track_menu_preview,track_menu_preview_family_01,high,clean,Fujitsu Siemens track/menu preview,43fc86_stage41_rank03_pos094_36AA429B_36AD029B.pss
field_aware,0000010c43fc86e9,6487,pos008,8,video_like_nonstandard,video_like_nonstandard,high,rejected,broken nonstandard video-like payload,43fc86_stage41_rank07_pos008_23858764_23884764.pss
field_aware,0000010c43fc86e9,6487,pos020,32,video_like_nonstandard,video_like_nonstandard,high,rejected,broken nonstandard video-like payload,43fc86_stage41_rank04_pos020_2436F4D6_2439B4D6.pss
pair_only,0000010c43fc7d92,c900,,,track_menu_preview_fmv,track_menu_preview_family_01,high,clean,43fc7d_track_menu_preview_01,43fc7d
pair_only,0000010c43fc7d92,c90f,,,challenge_preview_fmv,43fc7d_challenge_preview_01,high,clean,43fc7d_challenge_preview_01,43fc7d
pair_only,0000010c43fc9b4d,7f94,,,track_menu_preview_fmv,track_menu_preview_family_01,medium_high,clean,43fc9b_track_menu_preview_02_trimmed,43fc9b
pair_only,0000010c43fc9bf6,ba01,,,track_menu_preview_fmv,track_menu_preview_family_01,high,clean,43fc9b_track_menu_preview_01,43fc9b
pair_only,0000010c43fc86e9,530f,,,track_menu_preview_fmv,track_menu_preview_family_01,high,clean,43fc86_stage47_rank03,43fc86
pair_only,0000010c43fc86e9,6487,,,video_like_nonstandard,video_like_nonstandard,medium,rejected,43fc86_stage47_rejected_nonstandard,43fc86
